
[00:00:00.000 --> 00:00:02.380]  講到此我們有個祈禱
[00:00:02.380 --> 00:00:06.040]  親愛的天父我們感謝你
[00:00:06.040 --> 00:00:09.280]  讓我們有一個美好的中午來到你的殿前
[00:00:09.280 --> 00:00:10.920]  聽你的說話
[00:00:10.920 --> 00:00:12.820]  求你讓聽的講的
[00:00:12.820 --> 00:00:15.760]  都能將你的話語記在心裡面
[00:00:15.760 --> 00:00:16.960]  並且走出來
[00:00:16.960 --> 00:00:18.480]  多謝你聽我們祈禱
[00:00:18.480 --> 00:00:20.460]  奉主耶穌基督得聖名字
[00:00:20.460 --> 00:00:21.700]  而求阿們
[00:00:21.700 --> 00:00:23.960]  好
[00:00:23.960 --> 00:00:26.760]  我今天的講道題目是
[00:00:26.760 --> 00:00:28.040]  《扳押時機》
[00:00:28.400 --> 00:00:30.400]  講到時間
[00:00:30.400 --> 00:00:33.380]  我發覺我們日常生活
[00:00:33.380 --> 00:00:36.680]  都是充滿著時間表
[00:00:36.680 --> 00:00:39.880]  好像上班、下班、上學、下課
[00:00:39.880 --> 00:00:41.380]  電視節目
[00:00:41.380 --> 00:00:43.520]  工作的時間表
[00:00:43.520 --> 00:00:45.980]  很多都是充滿著時間表
[00:00:45.980 --> 00:00:49.320]  但原來有些時間表有限期的
[00:00:49.320 --> 00:00:52.800]  好像過了指定日子就不太好
[00:00:52.800 --> 00:00:57.600]  好像食物有限的日期
[00:00:57.600 --> 00:01:00.540]  過了限期後食物有機會變壞
[00:01:00.540 --> 00:01:01.740]  不好吃
[00:01:01.740 --> 00:01:04.640]  看電影或演唱會的時間
[00:01:04.640 --> 00:01:07.140]  過了時間
[00:01:07.140 --> 00:01:11.380]  又有可能看不到開頭的精彩片段
[00:01:11.380 --> 00:01:16.780]  這種時間我們可以看得清楚
[00:01:16.780 --> 00:01:20.080]  還可以衡量它的長短
[00:01:20.080 --> 00:01:22.620]  可以計算它的分秒
[00:01:22.620 --> 00:01:25.360]  我們聖經裡面叫做
[00:01:25.360 --> 00:01:26.620]  chorals
[00:01:26.620 --> 00:01:28.900]  即是普通的時間
[00:01:28.900 --> 00:01:30.940]  這種時間是會流逝的
[00:01:30.940 --> 00:01:32.900]  我們可以在月曆上面
[00:01:32.900 --> 00:01:35.100]  在鬧鐘上面清楚地看到
[00:01:35.100 --> 00:01:37.100]  能夠量化的
[00:01:37.100 --> 00:01:40.940]  但原來聖經還有另一個字
[00:01:40.940 --> 00:01:42.880]  是跟時間有關的
[00:01:42.880 --> 00:01:44.380]  叫做chorals
[00:01:44.380 --> 00:01:46.380]  意思是時機
[00:01:46.380 --> 00:01:50.080]  是形容一個正確的時代
[00:01:50.080 --> 00:01:54.520]  這個是不可以用時數計算得到的
[00:01:54.520 --> 00:01:59.520]  要用心去留意當中的細節
[00:01:59.520 --> 00:02:01.700]  當中的訊息才能看到
[00:02:01.700 --> 00:02:05.600]  就好像一個準備生產的婦人
[00:02:05.600 --> 00:02:07.600]  你知道她的肚子在痛
[00:02:07.600 --> 00:02:10.300]  但你要留意當中的細節
[00:02:10.300 --> 00:02:12.740]  原來她不是肚子痛那麼簡單
[00:02:12.740 --> 00:02:15.780]  而是她準備要生小朋友
[00:02:15.780 --> 00:02:18.180]  聖經告訴我們
[00:02:18.180 --> 00:02:20.180]  知道今天
