
[00:00:00.000 --> 00:00:05.120]  上星期我們的訊息和敬拜的主題
[00:00:05.120 --> 00:00:08.000]  叫做獻上榮耀的祭
[00:00:08.000 --> 00:00:14.880]  剛才夫婦團體也繼續獻上一個非常榮美的祭
[00:00:14.880 --> 00:00:17.280]  但獻祭是甚麼意思呢?
[00:00:17.280 --> 00:00:19.840]  簡單來說就是奉獻
[00:00:19.840 --> 00:00:22.080]  奉獻不單有獻祭的意思
[00:00:22.080 --> 00:00:26.080]  也有敬拜和立約的意義
[00:00:26.080 --> 00:00:28.160]  在舊約裏面我們看見
[00:00:28.160 --> 00:00:31.280]  獻祭不單只將牛羊生畜
[00:00:31.280 --> 00:00:35.680]  或者斑溝、甲子這些有生命的東西
[00:00:35.680 --> 00:00:38.160]  作為祭身獻給神
[00:00:38.160 --> 00:00:40.560]  《創世紀》說到最初的祭
[00:00:40.560 --> 00:00:43.840]  是該人阿伯獻的祭
[00:00:43.840 --> 00:00:46.240]  獻祭不外乎兩個目的
[00:00:46.240 --> 00:00:49.600]  就是贖罪和感恩
[00:00:49.600 --> 00:00:53.120]  然後與神立約和好
[00:00:53.120 --> 00:00:55.920]  不單止有生畜的奉獻
[00:00:55.920 --> 00:00:58.480]  舊約亦有物資的奉獻
[00:00:58.480 --> 00:01:06.160]  包括初熟的果子、土產、酒和油
[00:01:06.160 --> 00:01:08.720]  供應聖殿所需
[00:01:08.720 --> 00:01:14.480]  還有器皿甚至祭司的璞福
[00:01:14.480 --> 00:01:19.360]  這些都是可以奉獻的一種項目
[00:01:19.360 --> 00:01:22.080]  金錢的奉獻
[00:01:22.080 --> 00:01:26.240]  金錢十分一是供應聖殿所需
[00:01:26.240 --> 00:01:30.080]  用今天來說就是常費
[00:01:30.080 --> 00:01:31.680]  燈油、火蠟
[00:01:31.680 --> 00:01:38.480]  我們整個硬件的維修、購置、維修等等
[00:01:38.480 --> 00:01:42.560]  這些都是供應聖殿所需
[00:01:42.560 --> 00:01:44.320]  除此之外
[00:01:44.320 --> 00:01:48.000]  有關礦塘建殿的材料
[00:01:48.000 --> 00:01:50.880]  舊約裏面的胸襟非常之闊
[00:01:50.880 --> 00:01:55.120]  不單止是神的子民才可以奉獻
[00:01:55.120 --> 00:01:57.280]  你看看《哈蓋書》
[00:01:57.280 --> 00:02:00.160]  你看看這個所羅門建殿
[00:02:00.160 --> 00:02:05.200]  連那些外邦君王所捐的尼巴嫩的香柏木
[00:02:05.200 --> 00:02:06.720]  甚至《哈蓋書》說
[00:02:06.720 --> 00:02:08.880]  萬國的金銀都要來
[00:02:08.880 --> 00:02:11.920]  是要建造耶和華榮耀的殿
[00:02:11.920 --> 00:02:14.240]  所以金錢的奉獻
[00:02:14.240 --> 00:02:16.720]  可以協助礦塘的工程
[00:02:16.720 --> 00:02:19.200]  以及殿的維修
[00:02:19.200 --> 00:02:21.200]  除了這三樣物質
[00:02:21.200 --> 00:02:23.200]  我們看見舊約裏面
[00:02:23.200 --> 00:02:26.560]  還有一些是族裔的奉獻
[00:02:26.560 --> 00:02:28.560]  這麼多的支派裏面
[00:02:28.560 --> 00:02:31.200]  有一個支派是沒有地的
[00:02:31.200 --> 00:02:33.840]  有一個支派是不需要打仗
[00:02:33.840 --> 00:02:35.680]  不需要勞動
[00:02:35.680 --> 00:02:37.680]  他們專做一件事
[00:02:37.680 --> 00:02:40.880]  就是帶領著以色列人
[00:02:40.880 --> 00:02:42.640]  代表著以色列人
[00:02:42.640 --> 00:02:45.920]  來敬拜和服侍神
[00:02:45.920 --> 00:02:48.880]  這些就是祭司的利美族
[00:02:48.880 --> 00:02:52.960]  還有是分別為性的拿勢爾人
[00:02:52.960 --> 00:02:54.560]  史詩參宣
[00:02:54.560 --> 00:02:57.680]  從武福裏面就被分別出來
[00:02:57.680 --> 00:02:59.920]  清酒濃酒不可以喝
[00:02:59.920 --> 00:03:02.640]  頭髮被剃不能夠被剃
[00:03:02.640 --> 00:03:04.640]  一剃它就沒有能力
[00:03:04.640 --> 00:03:07.360]  撒姆爾亦都是一樣
[00:03:07.360 --> 00:03:09.360]  但是整個舊約
[00:03:09.360 --> 00:03:12.080]  最高的奉獻精神
[00:03:12.080 --> 00:03:14.080]  不是這些的族裔
[00:03:14.080 --> 00:03:16.080]  亦都不是這些的物質
[00:03:16.080 --> 00:03:19.040]  那是一個生命的奉獻
[00:03:19.040 --> 00:03:22.080]  舊約阿不拉罕獻以薩
[00:03:22.080 --> 00:03:25.600]  是奉獻當中最高的意義
