
[00:00:00.000 --> 00:00:01.240]  節目的朋友們,早安!
[00:00:01.240 --> 00:00:07.300]  問大家一個問題,如果生命可以再次選擇的話,你會考慮選擇些什麼呢?
[00:00:07.300 --> 00:00:13.400]  大家十幾秒鐘的時間,你想想,生命裡面有些什麼的情況、處境,或者是過去的選擇
[00:00:13.400 --> 00:00:17.680]  喜歡不喜歡,有沒有後悔,或者是成功或失敗的情況,你想想
[00:00:17.680 --> 00:00:21.740]  如果生命可以再次選擇的話
[00:00:21.740 --> 00:00:25.080]  哪些東西你會來考慮選擇呢?
[00:00:30.000 --> 00:00:37.860]  有幾多個想到自己有選擇的舉手?
[00:00:37.860 --> 00:00:47.360]  有幾多個覺得自己是不需要再選擇過的?
[00:00:47.360 --> 00:00:59.360]  其實生命不能回頭再重新選擇過、想過,或者只能夠向前
[00:00:59.360 --> 00:01:07.040]  如果你選擇了向左的,向左邊你可以再左一點,但你走一走左邊可以轉右邊一點,或者繼續向前走
[00:01:07.040 --> 00:01:14.280]  或者你選擇了向右邊走的時候,你走一走左邊可以轉左邊一點,或者繼續越來越右的,或者向前走
[00:01:14.280 --> 00:01:16.500]  總是向前不能回頭
[00:01:16.500 --> 00:01:26.920]  如果你生命裡面覺得自己是不需要選擇過的話,有兩個可能性,或者最少有兩個可能性
[00:01:27.540 --> 00:01:35.900]  一個就是你很滿意你現在的狀況,或者很happy,不需要再選擇過,安於自己現在的情況
[00:01:35.900 --> 00:01:46.820]  一個可能性就是,雖然現在的處境一般般,甚至很失望,很不理想,但你仍然堅持留在這個處境裡面
[00:01:46.820 --> 00:01:49.940]  因為你有信心,你知道自己沒有選錯
[00:01:51.280 --> 00:02:02.320]  即使在苦的裡面,在被埋怨的裡面,在不明朗的裡面,你仍然堅持著立定心智來做你現在手上所做的事情
[00:02:02.320 --> 00:02:04.940]  或者處在你現在的處境裡面
[00:02:15.820 --> 00:02:22.940]  立定心智做什麼事情呢?我們每一個人都會不同,但今天我們一起去立定心智做一件事
[00:02:22.940 --> 00:02:30.140]  今日的經文裡面只是讀了幾節聖經,其實在讀那幾節聖經之前,我們需要回頭多講一點
[00:02:30.140 --> 00:02:37.720]  因為今天讀的聖經裡面有四節可以,所以,所以什麼,所以什麼,所以什麼
[00:02:37.720 --> 00:02:45.340]  所以我們需要回頭多一點,看看那個因為,因為什麼的緣故,因為什麼的理由
[00:02:46.140 --> 00:02:49.920]  我們所要做的,接下來想要決定的那幾件事呢?
[00:02:49.920 --> 00:02:57.600]  我們將今日那幾節的經文,加上之前那幾節,從第五章第一節開始看
[00:02:57.600 --> 00:03:03.640]  看到今日第二十節的聖經,分為六段的段落來看這幾節的經文
[00:03:03.640 --> 00:03:10.200]  第一段是永恆的歸宿,有沒有人喜歡去露營的?
[00:03:11.860 --> 00:03:18.320]  夏天即將到來,去露營,去宿營,很喜歡,這間屋子也不錯,跟真正的屋子的樣子很相似
[00:03:18.320 --> 00:03:25.240]  露營的時候我們也會想一下,弄得舒舒服服,弄得好像一間真正的屋子一樣
[00:03:25.240 --> 00:03:32.480]  但你知道露營最終都要回家,露營只是短短幾天的時間,最後都要回到自己的家
[00:03:33.880 --> 00:03:47.720]  保羅跟我們說,因為我們知道在地上的帳篷如果拆毀了,神所造的居所將來會為我們預備
[00:03:47.720 --> 00:03:51.400]  不是人手所造的,而是在天上永存的
[00:03:51.400 --> 00:04:00.920]  這一句的說法,用帳篷來講這個比喻,對當代的以色列人來說就容易明白
[00:04:01.760 --> 00:04:11.760]  你可以想像以色列人在阿巴拉罕時代,他們已經離開自己的地方,在一個流離,拆帳篷,到處去居住不同地方的生活一段時間
[00:04:11.760 --> 00:04:23.640]  直到最後進入迦南地,約瑟雅帶著以色列人進入迦南地之後,仍然都沒有在一個永恆乾息的地方,只是在地上暫住的地方
[00:04:25.160 --> 00:04:40.160]  保羅用這個比喻,其實不是在講他們住的地方,而是在講他們的肉體,地上的肉體,這個帳篷,有一天都會拆毀的,有一天都會毀壞的
[00:04:40.160 --> 00:04:47.160]  但是我們天上有一個居所,有一間屋,不是人手所造的,而是天上永存的屋
[00:04:48.160 --> 00:04:58.160]  保羅說我們知道,因為我們知道我們這件事,我們期待著將來永恆裡面我們有一個新的身體,有一個永恆的居所在這裡,等候著我們
[00:04:58.160 --> 00:05:08.160]  這個知道對我們有什麼影響呢?就會影響我們今生的選擇,今生的取捨,今生的價值觀,今生的先後次序的排位不同
[00:05:08.160 --> 00:05:14.160]  永恆裡面的歸宿,影響我們今生很多的決定和選擇
[00:05:19.160 --> 00:05:30.160]  保羅也知道我們在這個帳篷裡面,其實過著一些勞苦嘆息的日子,每個人都有不同的時間都會生病,我們都會老
[00:05:30.160 --> 00:05:40.160]  如果我們知道天上有一個永恆的居所等我們,我們知道將來有一個復活了的身體等著我們的時候,我們就會對生命不再一樣
[00:05:41.160 --> 00:05:51.160]  我們不害怕生老病死的問題,我們就用不同的心情去面對今天的處境,保羅說我們並不是願意很快的去除了這件事
