
[00:00:00.000 --> 00:00:12.000]  老子有一句「禍兮福之所依,福兮禍之所復」
[00:00:12.000 --> 00:00:23.000]  意思是「禍福互為因果,禍福難預料」
[00:00:23.000 --> 00:00:31.000]  正如我們有一句成語「塞翁失馬,焉知非福」
[00:00:31.000 --> 00:00:35.000]  我想這個故事大家都知道,我都不用說
[00:00:35.000 --> 00:00:40.000]  「禍」反而是「福」的「因」
[00:00:40.000 --> 00:00:47.000]  其實這是一個道家陰陽二元的宿命論
[00:00:47.000 --> 00:00:55.000]  但聖經對「禍」和「福」有另一種看法
[00:00:55.000 --> 00:00:57.000]  因為聖經告訴我們
[00:00:57.000 --> 00:01:03.000]  其實「禍」和「福」是世間兩條很不同的道路
[00:01:03.000 --> 00:01:10.000]  今天我想從詩篇第一篇和大家一起看看
[00:01:10.000 --> 00:01:14.000]  到底神是怎樣說的
[00:01:14.000 --> 00:01:18.000]  從這首詩剛才大家所讀的來看
[00:01:18.000 --> 00:01:25.000]  它的內容是屬於一首講律法的自慰詩
[00:01:25.000 --> 00:01:28.000]  大家可能心裏也有些疑問
[00:01:28.000 --> 00:01:33.000]  詩篇不是一些詩歌的集合嗎?
[00:01:33.000 --> 00:01:39.000]  是用來在聖殿敬拜神用的
[00:01:39.000 --> 00:01:43.000]  我們今天所唱的很多讚美詩
[00:01:43.000 --> 00:01:51.000]  其實都是出自於詩篇的改編或直接唱出來
[00:01:51.000 --> 00:02:00.000]  為何詩篇一開始卻是以教導我們律法來做開始呢?
[00:02:00.000 --> 00:02:02.000]  我們就要來看看
[00:02:02.000 --> 00:02:06.000]  其實詩篇的收集範圍是很廣的
[00:02:06.000 --> 00:02:11.000]  有摩西的詩,例如第九十篇
[00:02:11.000 --> 00:02:15.000]  大衛的詩,起碼有幾十首
[00:02:15.000 --> 00:02:19.000]  亦有秘魯回歸的詩等等
[00:02:19.000 --> 00:02:22.000]  其實是橫跨千年
[00:02:22.000 --> 00:02:27.000]  所以我們相信這些詩歌集和詩篇
[00:02:27.000 --> 00:02:32.000]  是在秘魯回歸之後才收集完成
[00:02:32.000 --> 00:02:37.000]  由於沒有按時間來排序
[00:02:37.000 --> 00:02:41.000]  有些人說詩篇是隨意來製
[00:02:41.000 --> 00:02:43.000]  但並非如此
