
[00:00:00.000 --> 00:00:04.000]  請接著我們繼續思想聖經希伯來書的信息
[00:00:04.000 --> 00:00:09.000]  大家都知道整個經卷不斷來鼓勵我們
[00:00:09.000 --> 00:00:14.000]  信主道弟 一路信教主 一路信教主
[00:00:14.000 --> 00:00:16.000]  我們大家一起祈禱
[00:00:16.000 --> 00:00:26.000]  多謝天父讓我們在一起來敬拜祢
[00:00:26.000 --> 00:00:30.000]  多謝祢要賜下祢自己真理之言
[00:00:30.000 --> 00:00:33.000]  成為我們生命的糧食
[00:00:33.000 --> 00:00:38.000]  主讓我們知道祢渴望我們能夠不斷地長大
[00:00:38.000 --> 00:00:43.000]  主讓祢的確用很多不同的方法去塑造我們
[00:00:43.000 --> 00:00:45.000]  去更新我們
[00:00:45.000 --> 00:00:50.000]  以致我們能夠得著祢定義要給我們的豐盛的生命
[00:00:50.000 --> 00:00:53.000]  主也求祢幫我們讀聖經的時候
[00:00:53.000 --> 00:00:56.000]  祢在我們心中感動我們
[00:00:56.000 --> 00:00:59.000]  叫我們更加樂意與祢來配合
[00:00:59.000 --> 00:01:04.000]  按照祢給我們的引導 幫助 追求成長
[00:01:04.000 --> 00:01:08.000]  祢自己會喜悅我們都無恩
[00:01:08.000 --> 00:01:10.000]  求主賜福這段時間
[00:01:10.000 --> 00:01:14.000]  仰望祈禱 奉耶穌名字求 阿們
[00:01:14.000 --> 00:01:18.000]  我請大家再欣賞分開聖經希伯來書第五章
[00:01:18.000 --> 00:01:20.000]  我們剛才讀過的經文
[00:01:24.000 --> 00:01:29.000]  當你想到必須要長大成人這句說話的時候
[00:01:29.000 --> 00:01:33.000]  我就想起我們中國人一句常常說的話
[00:01:33.000 --> 00:01:35.000]  大家都會熟悉的
[00:01:35.000 --> 00:01:41.000]  就是逆水行舟 不進則退
[00:01:41.000 --> 00:01:47.000]  逆水行舟 你不前進就等於你退後近
[00:01:47.000 --> 00:01:50.000]  同樣屬靈生命的成長
[00:01:50.000 --> 00:01:55.000]  如果你不是給自己繼續的成長 繼續的前進
[00:01:55.000 --> 00:02:00.000]  你是不會停頓 而是會退後
[00:02:00.000 --> 00:02:06.000]  不單止是停頓 而且會退後
[00:02:06.000 --> 00:02:09.000]  聖經裡面很多時候都會這樣來勉勵我們
[00:02:09.000 --> 00:02:12.000]  弟兄姊妹 當你一路追求成長的時候
[00:02:12.000 --> 00:02:16.000]  不要停頓 要繼續的成長
[00:02:16.000 --> 00:02:18.000]  免得我們會退後
