
[00:00:00.000 --> 00:00:07.320]  正當香港因著各種政治議題的爭拗而苦無出路的時候
[00:00:07.320 --> 00:00:11.720]  似乎最近香港的社會就出現了新的亮點
[00:00:11.720 --> 00:00:15.880]  是一個全新的免費電視台的出現
[00:00:15.880 --> 00:00:22.360]  這個電視台啟播不單止打破了一台獨大的局面
[00:00:22.360 --> 00:00:29.040]  它的創意節目也成為很多市民茶餘飯後的話題
[00:00:29.040 --> 00:00:33.840]  其中一個可以說是非一般的旅遊節目
[00:00:33.840 --> 00:00:36.080]  不過與其說它是旅遊節目
[00:00:36.080 --> 00:00:40.840]  其實我想說它是真人騷可能更加貼切
[00:00:40.840 --> 00:00:46.560]  他們就請來了好幾對有矛盾立場的名人
[00:00:46.560 --> 00:00:50.240]  去到外地進行矛盾之旅
[00:00:50.240 --> 00:00:55.360]  第一對出街的就是有「長毛」之稱
[00:00:55.360 --> 00:01:01.920]  又很擅長做手工的那位立法會議員梁國雄
[00:01:01.920 --> 00:01:05.520]  與他一起去旅行的經常說
[00:01:05.520 --> 00:01:07.840]  「梁國雄議員請你返位」
[00:01:07.840 --> 00:01:11.400]  「梁國雄議員請你立即離開議事廳」
[00:01:11.400 --> 00:01:15.880]  那位立法會主席曾鈺成
[00:01:15.880 --> 00:01:20.000]  他們兩個很明顯在政治立場上有矛盾
[00:01:20.000 --> 00:01:24.360]  除了這一對之外還有其他好幾對
[00:01:24.360 --> 00:01:30.960]  他們有世代矛盾、信仰矛盾、價值觀矛盾
[00:01:30.960 --> 00:01:34.240]  也有性取向的矛盾
[00:01:34.240 --> 00:01:38.920]  這些矛盾正正是香港人現在面對的
[00:01:38.920 --> 00:01:40.880]  我們除了要面對這些之外
[00:01:40.880 --> 00:01:45.120]  我們更加是面對人際關係的矛盾
[00:01:45.120 --> 00:01:50.880]  利益關係的矛盾、文化背景的矛盾
[00:01:50.880 --> 00:01:55.040]  有時其實不是我們自己想激發這些矛盾
[00:01:55.040 --> 00:01:59.840]  只不過我們不同的角色就形成了彼此的差異
[00:01:59.840 --> 00:02:02.000]  甚至是對立
[00:02:02.000 --> 00:02:08.360]  這些差異和對立就成為了一些矛盾位造成衝突
[00:02:08.360 --> 00:02:12.280]  到底聖經在這方面有沒有什麼指引呢?
[00:02:12.280 --> 00:02:15.560]  我們可以在裡面有什麼提醒呢?
[00:02:15.560 --> 00:02:19.080]  今天我就想跟大家一起來看《約翰福音》的十一章
