
[00:00:00.000 --> 00:00:01.200]  各位弟妹平安
[00:00:01.200 --> 00:00:04.580]  今日是教會所定的聖誕主日
[00:00:04.580 --> 00:00:08.000]  我們在當中紀念主耶穌基督
[00:00:08.000 --> 00:00:10.580]  救主降生的日子
[00:00:10.580 --> 00:00:12.440]  道成了肉身
[00:00:12.440 --> 00:00:14.240]  住在我們中間
[00:00:14.240 --> 00:00:16.200]  充充滿滿
[00:00:16.200 --> 00:00:18.440]  有恩典有真理
[00:00:18.440 --> 00:00:20.940]  我們日常生活裏面
[00:00:20.940 --> 00:00:23.440]  光是一個很基本
[00:00:23.440 --> 00:00:26.280]  是很珍貴很需要的東西
[00:00:26.280 --> 00:00:27.980]  如果沒有光呢
[00:00:28.380 --> 00:00:30.080]  我們有時會寸步難行
[00:00:30.080 --> 00:00:31.480]  沒有光呢
[00:00:31.480 --> 00:00:34.680]  我們世界甚至會陷入停滯裏面
[00:00:34.680 --> 00:00:39.280]  光是讓我們看清楚道路
[00:00:39.280 --> 00:00:41.280]  避免跌倒
[00:00:41.280 --> 00:00:44.380]  光又會讓植物生長
[00:00:44.380 --> 00:00:46.380]  生命可以繼續延續
[00:00:46.380 --> 00:00:49.080]  光又會給我們方向
[00:00:49.080 --> 00:00:52.280]  使我們在黑暗裏面不至於迷失
[00:00:52.280 --> 00:00:54.380]  所以想想如果沒有光呢
[00:00:54.380 --> 00:00:57.880]  生活上是會充滿了很多恐懼
[00:00:58.080 --> 00:00:58.880]  以及不安
[00:00:58.880 --> 00:01:02.180]  心靈都會失去盼望
[00:01:02.180 --> 00:01:05.980]  所以光不單單是照亮環境
[00:01:05.980 --> 00:01:08.580]  更加是照亮我們的生命
[00:01:08.580 --> 00:01:10.580]  支撐著我們的人生
[00:01:10.580 --> 00:01:14.380]  正因為光在生活裏面是這麼重要
[00:01:14.380 --> 00:01:16.780]  所以聖經都是用光
[00:01:16.780 --> 00:01:19.880]  形容神的同在
[00:01:19.880 --> 00:01:21.780]  神的作為
[00:01:21.780 --> 00:01:24.580]  所以當我們在聖誕節期間
[00:01:25.080 --> 00:01:28.680]  我們去思想聖誕的意義的時候
[00:01:28.680 --> 00:01:30.980]  經文提醒我們
[00:01:30.980 --> 00:01:35.280]  耶穌的降生不單單是一個歷史的事件
[00:01:35.280 --> 00:01:40.580]  而且是光進入到人世間裏面
[00:01:40.580 --> 00:01:41.980]  這是榮光
[00:01:41.980 --> 00:01:43.880]  駐在我們中間
[00:01:43.880 --> 00:01:45.680]  所以祂的臨在
[00:01:45.680 --> 00:01:47.180]  就好像光一樣
[00:01:47.180 --> 00:01:49.080]  讓我們帶來方向
[00:01:49.080 --> 00:01:50.380]  帶來生命
[00:01:50.380 --> 00:01:51.480]  帶來盼望
[00:01:51.480 --> 00:01:52.880]  所以弟兄姊妹
[00:01:52.880 --> 00:01:54.680]  今天是聖誕主日
[00:01:55.180 --> 00:01:59.380]  我們都開始去看一些聖誕的燈飾
[00:01:59.380 --> 00:02:01.480]  燈飾是很漂亮
[00:02:01.480 --> 00:02:04.780]  商場有這些聖誕詩歌去配合
[00:02:04.780 --> 00:02:08.080]  但是聖誕節的亮光
[00:02:08.080 --> 00:02:10.780]  就不是從這些燈飾的燈泡出來
[00:02:10.780 --> 00:02:13.580]  是從神裏面而來的
[00:02:13.580 --> 00:02:18.180]  不知道大家有沒有今天經過尖東噴水池的地方
[00:02:18.180 --> 00:02:20.680]  有沒有留意到有一個很大的光體
[00:02:20.680 --> 00:02:23.280]  可能晚上會更加明顯
[00:02:23.680 --> 00:02:26.980]  今天當然是為了聖誕節的一些裝飾
[00:02:26.980 --> 00:02:29.180]  我們會留在這裏注目
[00:02:29.180 --> 00:02:30.280]  欣賞
[00:02:30.280 --> 00:02:30.980]  打卡
[00:02:30.980 --> 00:02:33.480]  但是我們不要忘記
[00:02:33.480 --> 00:02:35.080]  真正的光
[00:02:35.080 --> 00:02:37.280]  是從神而來的
[00:02:37.280 --> 00:02:38.980]  所以提醒我們
[00:02:38.980 --> 00:02:41.880]  真正的光不是掛在聖誕樹上的
[00:02:41.880 --> 00:02:43.880]  不是掛在燈飾裏面的
[00:02:43.880 --> 00:02:48.680]  不是在不同的地方商場裏面的裝飾
[00:02:48.680 --> 00:02:49.880]  而是
[00:02:49.880 --> 00:02:52.380]  駐在我們中間
[00:02:53.280 --> 00:02:55.880]  所以今天我們就和幾節的經文
[00:02:55.880 --> 00:02:57.080]  是關於光的
[00:02:57.080 --> 00:02:59.180]  是大家一起去看
[00:02:59.180 --> 00:03:01.380]  光是怎樣進到世界
[00:03:01.380 --> 00:03:03.580]  光是怎樣引導我們
[00:03:03.580 --> 00:03:05.680]  和我們怎樣回應光
[00:03:05.680 --> 00:03:07.680]  撥出世上的光
[00:03:07.680 --> 00:03:11.380]  題目是「光駐在我們中間」
[00:03:11.380 --> 00:03:13.380]  分開三方面
[00:03:13.380 --> 00:03:16.580]  第一方面是「滿有因典真理的榮光」
[00:03:16.580 --> 00:03:18.180]  第二就是
