
[00:00:00.000 --> 00:00:11.640]  我想在美國,我們天天打開報紙看新聞,
[00:00:11.640 --> 00:00:16.240]  你都會發現很精彩,每一天都有新事發生,有沒有?
[00:00:16.240 --> 00:00:25.160]  我們看見,真的是整個世界,就像聖經上所說的,
[00:00:25.160 --> 00:00:29.640]  民要攻打民,國要攻打國,是不是?
[00:00:30.600 --> 00:00:35.800]  據說今天,會發生什麼事情?
[00:00:35.800 --> 00:00:41.040]  美國要打伊朗,這個是報紙上說的,我沒有說。
[00:00:41.040 --> 00:00:47.120]  但是你可以看見,美國的明尼蘇達州,
[00:00:47.120 --> 00:00:50.840]  我們在外面,這個軍隊出去了,
[00:00:50.840 --> 00:00:56.120]  但裏面呢,你會發現,爭執不斷,是不是?
[00:00:56.840 --> 00:01:03.720]  沒完沒了,民要攻打民,國要攻打國,明天會更好嗎?
[00:01:03.720 --> 00:01:10.280]  你從聖經上,你會看見一件事情,
[00:01:10.280 --> 00:01:17.000]  這個世界,就像齊斯祿所說的,走到最後,災難越來越多,
[00:01:17.000 --> 00:01:23.680]  人的愛心漸漸冷淡,專顧自己,這些都是陌生的現象。
[00:01:24.600 --> 00:01:27.800]  只是說,我們看到這些陌生的現象的時候,
[00:01:27.800 --> 00:01:29.960]  可能我們心中有一種無力感,
[00:01:29.960 --> 00:01:32.680]  可能我們心中有一種不知道該怎麼辦,
[00:01:32.680 --> 00:01:34.840]  但是今天我們要一起來看,
[00:01:34.840 --> 00:01:38.920]  比特勤書這裏告訴我們說,萬物的結局盡了,
[00:01:38.920 --> 00:01:40.680]  所以怎麼樣?
[00:01:40.680 --> 00:01:47.360]  你們要謹慎自首,謹行禱告,接下來說什麼?
[00:01:50.280 --> 00:01:58.120]  最要緊的是彼此切實相愛,跟你旁邊說,我們要彼此切實相愛。
[00:01:58.120 --> 00:02:06.640]  彼得在講到相愛的時候,
[00:02:06.640 --> 00:02:10.920]  彼得勤書第四章,他講到萬物的結局盡了,
[00:02:10.920 --> 00:02:12.840]  所以我們要彼此切實相愛。
[00:02:12.840 --> 00:02:16.680]  那麼在彼得勤書第二章的時候,
[00:02:17.120 --> 00:02:21.400]  彼得講到你們既然順從真理,潔淨了自己,
[00:02:21.400 --> 00:02:24.040]  所以接着又說什麼呢?
[00:02:24.040 --> 00:02:27.160]  所以你們要彼此切實相愛。
[00:02:27.160 --> 00:02:34.920]  彼得講這些東西,因爲彼得的對象當時候就是在一個
[00:02:34.920 --> 00:02:39.040]  如果我們今天要讀有關主再來,
[00:02:39.040 --> 00:02:41.640]  這末世的情形,彼得勤書、彼得後書、
[00:02:41.640 --> 00:02:45.320]  鐵撒羅歷加勤書、後書,這些都是在講到末世的。
[00:02:45.840 --> 00:02:47.960]  那麼彼得在講這些東西的時候,
[00:02:47.960 --> 00:02:51.000]  當時候的整個環境就會面臨到逼迫,
[00:02:51.000 --> 00:02:55.360]  所以他會提到,他感覺到那個情形就好像是
[00:02:55.360 --> 00:02:57.280]  讓他感覺到這個末世的光景。
[00:02:57.280 --> 00:03:01.600]  今天我們講到主耶穌要再來,已經講了多少年了?
[00:03:01.600 --> 00:03:06.000]  從主耶穌第一次來到現在,已經講了兩千年,
[00:03:06.000 --> 00:03:09.360]  所以彼得在後面纔會提醒說,
[00:03:09.360 --> 00:03:13.440]  有人就譏笑說,你講這麼久,講了這麼多年,還沒有來啊,
[00:03:13.440 --> 00:03:15.880]  哎呀,不要在這邊爲人聳聽了吧。
[00:03:15.880 --> 00:03:18.760]  但親愛的弟兄姊妹,主耶穌什麼時候會來?
[00:03:18.760 --> 00:03:22.240]  不知道,什麼時候會來?
[00:03:22.240 --> 00:03:23.680]  今天會不會來?
[00:03:23.680 --> 00:03:25.160]  現在會不會來?
[00:03:25.160 --> 00:03:29.440]  聖經大告說,我們說不知道,但是呢,
[00:03:29.440 --> 00:03:31.600]  主隨時都會來,Amen?
[00:03:31.600 --> 00:03:32.920]  Are you ready?
[00:03:32.920 --> 00:03:35.720]  所以今天我們要看見,
[00:03:35.720 --> 00:03:40.160]  我們要用彼此相愛來預備主的再來。
[00:03:44.440 --> 00:03:49.440]  今天我們讀到這裏,提到說主要再來,
[00:03:49.440 --> 00:03:54.120]  奇怪了,主耶穌要再來,跟彼此相愛有什麼關係?
[00:03:54.120 --> 00:04:00.440]  你看見當時候整個的彼得在面臨到那個社會,
[00:04:00.440 --> 00:04:05.400]  那種外面有逼迫,羅馬政權的逼迫,
[00:04:05.400 --> 00:04:08.360]  這個教會受到逼迫,
[00:04:09.040 --> 00:04:17.440]  信徒之間,甚至想到當年在中國教會剛剛解放的時候,
[00:04:17.440 --> 00:04:21.440]  教會慢慢開始要面臨逼迫的時候,教會發生什麼事情呢?
[00:04:21.440 --> 00:04:33.440]  變成教會牧者被弟兄姊妹出賣,彼此揭發,彼此控告。
[00:04:34.440 --> 00:04:39.440]  這一類的事情在教會里面也被掀起來,
[00:04:39.440 --> 00:04:44.440]  所以弟兄姊妹彼此之間就開始產生懷疑了,對不對?
[00:04:44.440 --> 00:04:47.440]  會不會你是間諜啊?
[00:04:47.440 --> 00:04:51.440]  你會不會是派來這邊要出賣我的人啊?
[00:04:51.440 --> 00:05:00.440]  所以在這個情況之下,彼得在這裏告訴我們說彼此要切實地相愛,
[00:05:02.440 --> 00:05:09.440]  萬物的結局即能,所以你們要。
[00:05:09.440 --> 00:05:13.440]  在這裏講到這個"要"是什麼呢?
[00:05:13.440 --> 00:05:18.440]  是表明這是一個命令,這不是一個期望,
[00:05:18.440 --> 00:05:22.440]  這是一個命令,主吩咐我們要命令我們。
[00:05:22.440 --> 00:05:28.440]  那麼約翰一書整個聖經裏面出現了51次有關愛,
[00:05:28.440 --> 00:05:33.440]  彼此相愛是約翰一書,老約翰也是在講到末世的情形,
[00:05:33.440 --> 00:05:36.440]  他也講到愛的重要性,
