
[00:00:00.000 --> 00:00:04.840]  好,今日是一個很重要的日子
[00:00:04.840 --> 00:00:10.360]  我們今日是要帶著感恩和喜樂的心
[00:00:10.360 --> 00:00:13.880]  去慶祝我們動土禮一週年
[00:00:13.880 --> 00:00:22.640]  在去年的四月份
[00:00:22.640 --> 00:00:25.520]  大家記不記得呢?
[00:00:25.520 --> 00:00:27.940]  就是在我們復活節崇拜的那一天
[00:00:30.680 --> 00:00:33.800]  我們就啟動了「起來建造經歷神」
[00:00:33.800 --> 00:00:38.560]  一個建堂的籌款運動
[00:00:38.560 --> 00:00:42.080]  好像很遙遠似的
[00:00:42.080 --> 00:00:47.080]  但是好像只是昨天
[00:00:47.080 --> 00:00:52.080]  究竟我們一起經歷了些什麼呢?
[00:00:52.080 --> 00:00:57.440]  過一年我們經歷過工程的延誤
[00:00:57.440 --> 00:00:58.840]  財政的需要
[00:00:58.840 --> 00:01:01.280]  銀行貸款申請帶來的考驗
[00:01:01.280 --> 00:01:09.560]  有掙扎,有憂慮
[00:01:09.560 --> 00:01:12.520]  也有等候
[00:01:12.520 --> 00:01:18.160]  但是今天我們可以一齊去見證
[00:01:18.160 --> 00:01:24.000]  神帶領我們跨越一個又一個的難關
[00:01:24.000 --> 00:01:28.240]  銀行貸款是批准了
[00:01:29.840 --> 00:01:31.680]  籌款的目標不僅是達到
[00:01:31.680 --> 00:01:33.600]  並且是超額的去完成
[00:01:33.600 --> 00:01:38.720]  而建堂的工程在上一個星期
[00:01:38.720 --> 00:01:40.680]  剛剛開始去水
[00:01:40.680 --> 00:01:43.520]  它的淹水開始進行了
[00:01:43.520 --> 00:01:49.840]  我們確實有很多感恩的事情
[00:01:49.840 --> 00:01:55.160]  但是神擺在我心裏面有一個很重的負擔
[00:01:57.440 --> 00:01:59.560]  就是我們在慶祝之前
[00:01:59.560 --> 00:02:01.120]  我們要思想一下
[00:02:01.120 --> 00:02:07.440]  在建堂的過程裏面
[00:02:07.440 --> 00:02:10.920]  究竟神又怎樣培育了你和我的生命呢?
[00:02:10.920 --> 00:02:20.280]  因為神要建造的不是一座建築物
[00:02:20.280 --> 00:02:22.640]  而是一群屬於祂的子民
[00:02:27.000 --> 00:02:30.880]  祂所關心的不僅僅是工程有沒有突破
[00:02:30.880 --> 00:02:33.240]  祂更關心的就是我們自己
[00:02:33.240 --> 00:02:35.120]  你和我有沒有突破
[00:02:35.120 --> 00:02:44.560]  所以今天當我們要向神獻上一個感恩的祭的時候
[00:02:44.560 --> 00:02:52.720]  這個感恩祭是述說祂在建堂旅程之中
[00:02:52.720 --> 00:02:54.000]  奇妙的作為
[00:02:57.440 --> 00:03:02.120]  但是究竟什麼才是真正蒙神月立的現情呢?
[00:03:02.120 --> 00:03:10.560]  我們在建堂的過程這十年裏面
[00:03:10.560 --> 00:03:14.320]  已經說過超過兩次尼西米記情捲書
[00:03:14.320 --> 00:03:19.960]  每一次說都以為是下個月起的
[00:03:19.960 --> 00:03:23.520]  這次我站在這裏說
[00:03:23.520 --> 00:03:25.440]  有些比較安心一點
[00:03:25.440 --> 00:03:27.080]  就是我們真的正在建造
[00:03:27.080 --> 00:03:35.320]  尼西米記第八章到十二章
[00:03:35.320 --> 00:03:38.120]  告訴我們一件很重要的提醒
[00:03:38.120 --> 00:03:46.080]  就是神帶領群體的一個重要的節奏
[00:03:46.080 --> 00:03:49.920]  我們要聽神的話語
[00:03:49.920 --> 00:03:52.760]  我們要回應神的話語
[00:03:52.760 --> 00:03:54.800]  透過認罪、悔改、立約
[00:03:56.440 --> 00:03:58.240]  每一個星期的崇拜
[00:03:58.240 --> 00:03:59.440]  我們一起在這裏祈禱
[00:03:59.440 --> 00:04:00.360]  有時候你也會問
[00:04:00.360 --> 00:04:01.880]  究竟我們在祈什麼呢?
[00:04:01.880 --> 00:04:08.440]  我有一句是一定包括在內的
[00:04:08.440 --> 00:04:14.040]  就是我們要將我們改變的生命
[00:04:14.040 --> 00:04:15.840]  今天呈獻給神
[00:04:15.840 --> 00:04:21.680]  那個是一件很重要的提醒
[00:04:21.680 --> 00:04:27.560]  那是一個蒙神悅立的祈拜
[00:04:27.560 --> 00:04:32.400]  所以你見到第八章到十二章
[00:04:32.400 --> 00:04:37.360]  就規劃了當我們要奉獻感恩之前
[00:04:37.360 --> 00:04:39.600]  我們需要去承認我們的罪
[00:04:39.600 --> 00:04:47.520]  所以今天很想和大家
[00:04:49.320 --> 00:04:52.000]  一起經歷神的靈在我們當中的工作
[00:04:52.000 --> 00:05:00.200]  這是一個講道的一部分
[00:05:00.200 --> 00:05:03.880]  我希望神今天也向你說話
[00:05:03.880 --> 00:05:07.920]  就是過去一年
[00:05:07.920 --> 00:05:11.360]  其實我和你經歷了一些什麼屬靈的爭戰呢?
[00:05:16.200 --> 00:05:19.640]  讓我們一起帶著一個去審查
[00:05:19.640 --> 00:05:21.520]  認罪悔改的心
[00:05:21.520 --> 00:05:24.800]  進入我們未來這五分鐘、六分鐘
[00:05:24.800 --> 00:05:25.520]  好嗎?
[00:05:25.520 --> 00:05:30.080]  因為這一個部分
[00:05:30.080 --> 00:05:33.040]  是神最悅立我們現成的敬拜
[00:05:40.840 --> 00:05:49.680]  聖經說在詩篇第五十一章十七節
[00:06:10.480 --> 00:06:14.360]  在詩篇第一百三十九篇二十三到二十四節
[00:06:14.360 --> 00:06:16.200]  大衛有這樣的禱告
[00:06:16.200 --> 00:06:22.800]  神啊!求祢監察我
[00:06:22.800 --> 00:06:24.400]  知道我的心思
[00:06:24.400 --> 00:06:25.360]  撕裂我
[00:06:25.360 --> 00:06:26.960]  知道我的意念
[00:06:26.960 --> 00:06:29.520]  看看我裡面有什麼惡行沒有
[00:06:29.520 --> 00:06:31.880]  引導我走永生的道路
[00:06:41.480 --> 00:06:44.000]  很想祢進入一個禱告的心裡面
[00:06:44.000 --> 00:06:48.960]  有三個角度
[00:06:48.960 --> 00:06:52.480]  希望祢去默想回應神
[00:06:52.480 --> 00:06:59.680]  主啊!在這個旅程裡面
[00:06:59.680 --> 00:07:02.800]  祢讓我們看到自己有什麼軟弱和罪
[00:07:11.480 --> 00:07:14.480]  我們經過不同的壓力和考驗
[00:07:14.480 --> 00:07:25.080]  這些處境不單顯明了神的信實
[00:07:25.080 --> 00:07:32.280]  也顯明了我們內心的光景
[00:07:32.280 --> 00:07:39.280]  可能我們有小信的時候
[00:07:41.280 --> 00:07:46.280]  可能我們有不信任彼此的時候
[00:07:46.280 --> 00:07:53.280]  或者我們太重視目標或者成果
[00:07:53.280 --> 00:08:02.280]  而要將完成工作看得比建立關係更加重要
[00:08:07.280 --> 00:08:10.480]  可能我們都會很堅持自己的意見
[00:08:10.480 --> 00:08:18.680]  不願意聆聽、接納和信服共同的決定
[00:08:18.680 --> 00:08:28.480]  也許我們很容易看到別人的錯誤
[00:08:28.480 --> 00:08:34.480]  也許我們沒有察覺自己的驕傲
[00:08:37.480 --> 00:08:38.480]  質疑
[00:08:38.480 --> 00:08:41.080]  埋怨
[00:08:41.080 --> 00:08:43.480]  或者不足
[00:08:43.480 --> 00:08:48.080]  或者無意之中論斷別人或者說閒話
[00:08:48.080 --> 00:08:54.480]  而沒有說到造就別人的話
[00:08:54.480 --> 00:09:02.280]  對神、對人的不信任等
[00:09:07.280 --> 00:09:10.880]  神的恩典又如何幫助你得著突破和成長呢?
[00:09:10.880 --> 00:09:17.880]  一年過去
[00:09:17.880 --> 00:09:24.280]  你有什麼需要向神承認、放下和交託的呢?
[00:09:24.280 --> 00:09:34.480]  我給你兩分鐘的時間
[00:09:34.480 --> 00:09:36.680]  你向神禱告
[00:09:38.280 --> 00:09:40.280]  這是你向神獻情的祭
[00:09:40.280 --> 00:09:46.280]  就是一個潔淨自己、潔淨生命的祭
[00:10:08.280 --> 00:10:10.280]  祝你生日快樂
[00:10:10.280 --> 00:10:15.280]  祝你生日快樂
[00:10:15.280 --> 00:10:20.280]  祝你生日快樂
[00:10:20.280 --> 00:10:25.280]  祝你生日快樂
[00:10:25.280 --> 00:10:31.280]  祝你生日快樂
[00:10:36.280 --> 00:10:38.280]  祝你生日快樂
[00:10:38.280 --> 00:10:57.280]  感謝神的恩典
[00:10:57.280 --> 00:11:02.280]  祂沒有因為我們的軟弱而放棄我們
[00:11:07.280 --> 00:11:09.280]  祂藉著困難光照我們
[00:11:09.280 --> 00:11:15.280]  藉著等候去塑造我們
[00:11:15.280 --> 00:11:21.280]  藉著祂恩典幫助我們
[00:11:21.280 --> 00:11:25.280]  從懼怕走去信靠
[00:11:25.280 --> 00:11:30.280]  從憂慮走去交託
[00:11:30.280 --> 00:11:34.280]  從倚靠自己去到倚靠神
[00:11:36.280 --> 00:11:38.280]  我希望你向神禱告
[00:11:38.280 --> 00:11:43.280]  去感恩
