
[00:00:00.000 --> 00:00:03.860]  《出埃及記》的第十四章
[00:00:03.860 --> 00:00:06.940]  大家看到第十四章的標題是「過紅海」
[00:00:06.940 --> 00:00:10.320]  之前如果大家聽過
[00:00:10.320 --> 00:00:12.540]  都知道在埃及
[00:00:12.540 --> 00:00:15.540]  神救以色列人離開的時候
[00:00:15.540 --> 00:00:18.180]  用了十個大神跡
[00:00:18.180 --> 00:00:23.620]  才能夠迫使埃及的法老王放他們出去
[00:00:23.620 --> 00:00:26.980]  埃及的法老王都很頑固
[00:00:26.980 --> 00:00:28.080]  很心硬
[00:00:28.080 --> 00:00:30.860]  神最後用了一個絕招
[00:00:30.860 --> 00:00:36.800]  要所有埃及人的家裡都有人會死
[00:00:36.800 --> 00:00:39.560]  有人會死的原因是
[00:00:39.560 --> 00:00:41.640]  神按照這個方法
[00:00:41.640 --> 00:00:44.000]  每一家人的長子
[00:00:44.000 --> 00:00:46.440]  除非那家人是母兒女
[00:00:46.440 --> 00:00:47.400]  否則的話
[00:00:47.400 --> 00:00:48.480]  有兒女的話
[00:00:48.480 --> 00:00:52.120]  第一個長子就會殺了他
[00:00:52.120 --> 00:00:57.040]  連畜生頭一胎的牛、羊都殺了他
[00:00:57.040 --> 00:00:58.520]  所以那一晚
[00:00:58.520 --> 00:01:03.640]  所有埃及人的家裡
[00:01:03.640 --> 00:01:05.180]  全部有人會死
[00:01:05.180 --> 00:01:06.200]  畜生頭一胎都會死
[00:01:06.200 --> 00:01:07.640]  很傷心
[00:01:07.640 --> 00:01:08.960]  法老王知道
[00:01:08.960 --> 00:01:11.280]  就趕那些以色列人離開
[00:01:11.280 --> 00:01:15.040]  就是這麼簡單的事情
[00:01:15.040 --> 00:01:16.720]  這些以色列人
[00:01:16.720 --> 00:01:18.440]  其實在這段期間
[00:01:18.440 --> 00:01:19.640]  一直在經歷著
[00:01:19.640 --> 00:01:22.640]  看著神如何用十災
[00:01:22.640 --> 00:01:25.920]  來迫使法老王放他們走
[00:01:25.920 --> 00:01:28.200]  所以他們的心情應該是怎樣?
[00:01:28.200 --> 00:01:30.080]  心情應該是
[00:01:30.080 --> 00:01:32.120]  之前一直被迫要做奴隸
[00:01:32.120 --> 00:01:32.880]  很辛苦
[00:01:32.880 --> 00:01:34.960]  他們向神呼求
[00:01:34.960 --> 00:01:36.520]  叫神拯救他們
[00:01:36.520 --> 00:01:38.480]  現在神真的拯救他們了
[00:01:38.480 --> 00:01:40.480]  所以應該是一個很感恩的心
[00:01:40.480 --> 00:01:41.360]  很開心
[00:01:41.360 --> 00:01:44.760]  終於能夠脫離這個長期的苦難
[00:01:44.760 --> 00:01:46.080]  來到離開
[00:01:46.080 --> 00:01:47.280]  離開的時候
[00:01:47.280 --> 00:01:51.000]  我們進入到今天講的第一個小段的故事
[00:01:51.000 --> 00:01:55.880]  就是《春秋記》十四章第十至第十二節
[00:01:55.880 --> 00:01:57.720]  第十至第十二節
[00:01:57.720 --> 00:01:59.240]  大家可以看文字
[00:01:59.240 --> 00:02:00.320]  我們一邊講
[00:02:00.320 --> 00:02:03.400]  就是法老王放他們走之後
[00:02:03.400 --> 00:02:06.040]  想著想著後悔
[00:02:06.040 --> 00:02:08.240]  說這樣放走他們
[00:02:08.240 --> 00:02:10.360]  也是不行的
[00:02:10.360 --> 00:02:11.520]  便宜了他們
[00:02:11.520 --> 00:02:12.960]  把他們追回來
[00:02:12.960 --> 00:02:14.320]  這樣也行?
[00:02:14.320 --> 00:02:18.960]  這些以色列人一直走著走著
[00:02:18.960 --> 00:02:20.920]  為什麼後面有人追?
[00:02:20.920 --> 00:02:23.280]  別人要追回我們
[00:02:23.280 --> 00:02:25.200]  當然很害怕
[00:02:25.200 --> 00:02:26.880]  剛剛才說逃脫了
[00:02:26.880 --> 00:02:28.320]  現在竟然被人追回
[00:02:28.320 --> 00:02:31.960]  當時已經走到海邊
