
[00:00:00.000 --> 00:00:02.400]  今天我們開始會在崇拜
[00:00:02.400 --> 00:00:05.480]  用一個新的講道的系列
[00:00:05.480 --> 00:00:10.000]  我們會以呼音書作為我們講道的訊息
[00:00:10.000 --> 00:00:12.000]  最主要會從馬克福音
[00:00:12.000 --> 00:00:14.500]  或者有時都會用其他四卷的
[00:00:14.500 --> 00:00:17.800]  另外三卷呼音書當中的一些經文
[00:00:17.800 --> 00:00:19.400]  我給他們今天的題目是
[00:00:19.400 --> 00:00:22.800]  「高舉基督,更新同行」
[00:00:22.800 --> 00:00:24.300]  如果大家進來禮堂
[00:00:24.300 --> 00:00:26.400]  也可以看到我們教會
[00:00:26.400 --> 00:00:29.600]  已經掛了「高舉基督,更新同行」
[00:00:29.600 --> 00:00:30.700]  兩個的對聯
[00:00:30.700 --> 00:00:33.000]  或者是一個我們教會
[00:00:33.000 --> 00:00:35.800]  新的一年一個的方向目標
[00:00:35.800 --> 00:00:38.000]  所以我想從今天的聖經裏面
[00:00:38.000 --> 00:00:39.900]  跟大家一齊來好好準備
[00:00:39.900 --> 00:00:41.400]  我們怎樣在新的一年
[00:00:41.400 --> 00:00:45.400]  我們可以成為一個高舉基督的基督徒
[00:00:45.400 --> 00:00:48.700]  我邀請大家一齊來讀完這一段經文
[00:00:48.700 --> 00:00:51.500]  馬克福音一章一到十一節
[00:00:51.500 --> 00:00:53.300]  你可以看看你手上的聖經
[00:00:53.300 --> 00:00:54.800]  或者看看螢光幕
[00:00:54.800 --> 00:00:57.000]  我們一齊來讀完這一段經文
[00:00:57.000 --> 00:00:59.000]  預備起
[00:00:59.000 --> 00:01:03.600]  神的兒子耶穌基督福音的起頭
[00:01:03.600 --> 00:01:07.800]  正如先知以塞亞書上記著說
[00:01:07.800 --> 00:01:12.800]  看哪!我要差遣我的使者在你前面
[00:01:12.800 --> 00:01:14.600]  預備道路
[00:01:14.600 --> 00:01:18.000]  在曠野有人聲喊著說
[00:01:18.000 --> 00:01:19.800]  預備主的道
[00:01:19.800 --> 00:01:22.000]  修直他的路
[00:01:22.000 --> 00:01:24.900]  照這話若汗來了
[00:01:24.900 --> 00:01:27.100]  在曠野施浸
[00:01:27.100 --> 00:01:31.300]  傳悔改的浸泥使罪得赦
[00:01:31.300 --> 00:01:34.800]  猶太傳遞和耶路撒冷的人
[00:01:34.800 --> 00:01:38.100]  都出去到若汗那裡
[00:01:38.100 --> 00:01:40.200]  承認他們的罪
[00:01:40.200 --> 00:01:43.800]  在若旦河裡受他的浸
