
[00:00:00.000 --> 00:00:02.600]  我們一起去禱告
[00:00:02.600 --> 00:00:07.600]  天父我們感謝你給我們教會一同埋有恩典
[00:00:07.600 --> 00:00:09.600]  是因為你是恩典的源頭
[00:00:09.600 --> 00:00:13.000]  以著我們一班弟兄姊妹一同享受這個恩典
[00:00:13.000 --> 00:00:17.800]  我們的相交能夠以恩典去成為我們的出路
[00:00:17.800 --> 00:00:21.200]  我們對人處事都是可以用恩典
[00:00:21.200 --> 00:00:23.200]  主求主你幫助我們
[00:00:23.200 --> 00:00:26.200]  祈禱奉主耶穌基督的名 阿們
[00:00:26.200 --> 00:00:29.200]  美國有一個牧者叫做Paul Trump
[00:00:29.200 --> 00:00:33.200]  他有很多的體會
[00:00:33.200 --> 00:00:36.200]  他發覺教會需要建立一個恩典的文化
[00:00:36.200 --> 00:00:38.200]  為什麼這麼說呢
[00:00:38.200 --> 00:00:42.200]  因為教會裏面很多人都是成長的
[00:00:42.200 --> 00:00:46.200]  我們難免會有些犯罪
[00:00:46.200 --> 00:00:50.200]  高高低低我們會有得罪神的地方
[00:00:50.200 --> 00:00:52.200]  我們怎樣去面對呢
[00:00:52.200 --> 00:00:54.200]  一個群體怎樣去面對呢
[00:00:54.200 --> 00:00:59.200]  一是我們可能會用一種指控
[00:00:59.200 --> 00:01:01.200]  覺得你有罪 你不對
[00:01:01.200 --> 00:01:03.200]  我們會做一種拒絕
[00:01:03.200 --> 00:01:05.200]  對人一種拒絕
[00:01:05.200 --> 00:01:09.200]  另外一種就是恩典的挽回
[00:01:09.200 --> 00:01:11.200]  我們屬於哪一種呢
[00:01:11.200 --> 00:01:13.200]  或許我們兩種都有
[00:01:13.200 --> 00:01:15.200]  哪一種比較多呢
[00:01:15.200 --> 00:01:19.200]  Paul Trump就說了
[00:01:19.200 --> 00:01:21.200]  不止一個牧者
[00:01:21.200 --> 00:01:23.200]  幾個牧者經常跟我說一句話
[00:01:23.200 --> 00:01:25.200]  我有時候很害怕
[00:01:25.200 --> 00:01:26.200]  害怕什麼呢
[00:01:26.200 --> 00:01:30.200]  害怕我的回眾知道我是一個罪人
[00:01:30.200 --> 00:01:33.200]  如果我將我裏面的問題跟別人分享
[00:01:33.200 --> 00:01:36.200]  恐怕我連教職都難保
[00:01:36.200 --> 00:01:38.200]  我沒了這份工作
[00:01:38.200 --> 00:01:42.200]  我被人的尊重可能都沒了
[00:01:42.200 --> 00:01:45.200]  所以真的不太敢
[00:01:45.200 --> 00:01:49.200]  教會裏面每個人都可以分享他的認罪
[00:01:49.200 --> 00:01:51.200]  但是我很困難
[00:01:51.200 --> 00:01:53.200]  當我這樣做的時候可能我完蛋了
[00:01:53.200 --> 00:01:55.200]  我不知道大家同不同意
[00:01:55.200 --> 00:01:57.200]  會不會這樣
[00:01:57.200 --> 00:01:59.200]  應該不會
[00:01:59.200 --> 00:02:03.200]  我想我們都面對這個
[00:02:03.200 --> 00:02:05.200]  其實我們教會是一個什麼地方呢
[00:02:05.200 --> 00:02:09.200]  不是一個大家都沒有錯的地方
[00:02:09.200 --> 00:02:12.200]  反正我們經常都會有出錯
[00:02:12.200 --> 00:02:15.200]  所以Paul Trump就覺得
[00:02:15.200 --> 00:02:17.200]  無論牧者無論弟兄姊妹
[00:02:17.200 --> 00:02:19.200]  我們都是教會的一員
[00:02:19.200 --> 00:02:22.200]  所以在教會裏面我們互為之體
[00:02:22.200 --> 00:02:25.200]  沒有分牧者或弟兄姊妹
[00:02:25.200 --> 00:02:28.200]  我們都需要彼此的一個扶持
[00:02:28.200 --> 00:02:31.200]  一個牧者聘請回來的
[00:02:31.200 --> 00:02:33.200]  他有好的恩賜
[00:02:33.200 --> 00:02:36.200]  有好的知識或經驗
[00:02:36.200 --> 00:02:38.200]  好啊我們請回來一個牧師
[00:02:38.200 --> 00:02:40.200]  但這個不是完全的
[00:02:40.200 --> 00:02:42.200]  最重要是牧者的心
[00:02:42.200 --> 00:02:43.200]  他的內心是怎樣
[00:02:43.200 --> 00:02:45.200]  他怎樣跟他的子女相處
[00:02:45.200 --> 00:02:47.200]  他怎樣跟家人相處
[00:02:47.200 --> 00:02:49.200]  他有什麼掙扎
[00:02:49.200 --> 00:02:51.200]  他是一個有血有肉的人
[00:02:51.200 --> 00:02:53.200]  這個才是真正的牧者
[00:02:53.200 --> 00:02:55.200]  才能夠做到人
[00:02:55.200 --> 00:02:57.200]  所以他就說
[00:02:57.200 --> 00:02:59.200]  其實牧者可以分享自己的掙扎
[00:02:59.200 --> 00:03:01.200]  他很鼓勵牧者
[00:03:01.200 --> 00:03:03.200]  能夠彼此的代禱
[00:03:03.200 --> 00:03:05.200]  一起的禱告
[00:03:05.200 --> 00:03:07.200]  我不知道弟兄姊妹又怎樣呢
[00:03:07.200 --> 00:03:09.200]  我們弟兄姊妹牧者其實一樣
[00:03:09.200 --> 00:03:15.200]  其實Paul Trump也說了一個事實
[00:03:15.200 --> 00:03:18.200]  他說其實我們的成性的過程
[00:03:18.200 --> 00:03:22.200]  是一個不斷的進程
[00:03:22.200 --> 00:03:25.200]  不是一個成就了的事實
[00:03:25.200 --> 00:03:27.200]  我們不斷地去改變
[00:03:27.200 --> 00:03:29.200]  你想想如果這樣的情況
[00:03:29.200 --> 00:03:32.200]  在當中成長容易被人看到的一些錯處
[00:03:32.200 --> 00:03:34.200]  一定有的
[00:03:34.200 --> 00:03:36.200]  況且Paul就覺得
