
[00:00:00.000 --> 00:00:03.460]  好,今天想跟大家分享一個題目
[00:00:03.460 --> 00:00:06.700]  就是「你認清自己的身份嗎?」
[00:00:06.700 --> 00:00:10.740]  今天的經文很短
[00:00:10.740 --> 00:00:13.040]  在彼得前書二章九至十節
[00:00:13.040 --> 00:00:14.800]  兩節經文是很熟悉的
[00:00:14.800 --> 00:00:17.300]  剛才大家唱詩歌也唱了出來
[00:00:17.300 --> 00:00:19.000]  我們也讀一讀,好嗎?
[00:00:19.000 --> 00:00:21.240]  我們一起讀一讀這段經文吧
[00:00:21.240 --> 00:00:22.940]  預備,一二三
[00:00:22.940 --> 00:00:26.540]  「唯有你們是被揀選的族類」
[00:00:26.540 --> 00:00:29.200]  「是有君尊的祭司」
[00:00:29.200 --> 00:00:31.260]  「是聖潔的國道」
[00:00:31.260 --> 00:00:33.460]  「是屬神的子民」
[00:00:33.460 --> 00:00:35.700]  「要叫你們宣揚那」
[00:00:35.700 --> 00:00:37.700]  「照你們出黑暗」
[00:00:37.700 --> 00:00:40.900]  「入奇妙光明者的美德」
[00:00:40.900 --> 00:00:44.100]  「你們從前算不得子民」
[00:00:44.100 --> 00:00:47.500]  「現在卻作了神的子民」
[00:00:47.500 --> 00:00:50.500]  「從前未曾蒙憐憫」
[00:00:50.500 --> 00:00:53.400]  「現在卻蒙了憐恤」
[00:00:53.400 --> 00:00:56.160]  這一段經文在彼得前書
[00:00:56.160 --> 00:01:00.500]  彼得前書就是仕途彼得
[00:01:00.500 --> 00:01:05.300]  寫給當時在小亞細亞的信徒
[00:01:05.300 --> 00:01:09.600]  他承書大概主厚六十四至六十六年左右
[00:01:09.600 --> 00:01:13.500]  那時候的信徒經歷著什麼呢?
[00:01:13.500 --> 00:01:17.400]  當時是羅馬的管治
[00:01:17.400 --> 00:01:22.600]  他們經歷著一個以殘酷見稱的皇帝
[00:01:22.600 --> 00:01:24.600]  叫做尼祿王
[00:01:24.600 --> 00:01:26.500]  那他會做什麼呢?
[00:01:26.500 --> 00:01:29.100]  他會捉了基督徒
[00:01:29.100 --> 00:01:32.100]  他會把他們扔進鬥獸場
[00:01:32.100 --> 00:01:35.200]  活生生被猛獸咬死
[00:01:35.200 --> 00:01:39.600]  或者他會把基督徒綁在柱子上
[00:01:39.600 --> 00:01:40.600]  然後燒他們
[00:01:40.600 --> 00:01:43.400]  好像蠟燭一樣燒死他們
[00:01:43.400 --> 00:01:47.600]  其實當時的信徒面對一個很困難
[00:01:47.600 --> 00:01:50.900]  也面對著生死的挑戰
[00:01:50.900 --> 00:01:52.900]  是一點都不容易
[00:01:52.900 --> 00:01:57.000]  但是這幫信徒他們很堅守
[00:01:57.000 --> 00:01:58.300]  他們很堅忍
[00:01:58.300 --> 00:02:02.800]  所以彼得就寫這封書信去鼓勵他們
[00:02:02.800 --> 00:02:06.600]  叫他們不要看著現在面對的困難
[00:02:06.600 --> 00:02:09.600]  而是看著神給他們的應許
[00:02:09.600 --> 00:02:11.600]  神給他們的盼望
[00:02:11.600 --> 00:02:14.700]  也神給他們一個新的身份
[00:02:14.700 --> 00:02:17.900]  彼得前書二章一開始
[00:02:17.900 --> 00:02:20.000]  其實彼得已經說了
