
[00:00:00.000 --> 00:00:02.000]  各位電視媒早晨,各位來賓早晨
[00:00:02.000 --> 00:00:07.000]  今天是二零二三年一月一日
[00:00:07.000 --> 00:00:10.000]  很多個第一,你數數有多少個第一呢?
[00:00:10.000 --> 00:00:16.000]  一月一日,第一個日子,第一年的第一日
[00:00:16.000 --> 00:00:18.000]  主日的第一堂熟賣
[00:00:18.000 --> 00:00:20.000]  還有沒有?
[00:00:20.000 --> 00:00:22.000]  第一個星期日
[00:00:22.000 --> 00:00:24.000]  還有沒有?
[00:00:24.000 --> 00:00:30.000]  貼索羅尼加前書,第一次開始,第一章
[00:00:30.000 --> 00:00:32.000]  很多個第一
[00:00:32.000 --> 00:00:34.000]  我想我們更加重要的看到
[00:00:34.000 --> 00:00:36.000]  這個第一的是我們的上帝
[00:00:36.000 --> 00:00:40.000]  他首先帶給我們這個救贖的恩典
[00:00:40.000 --> 00:00:43.000]  愛,還有祝福
[00:00:43.000 --> 00:00:45.000]  讓我們能夠在當中經歷著平安
[00:00:45.000 --> 00:00:49.000]  讓我們一起同心禱告
[00:00:49.000 --> 00:00:51.000]  主要是那位首先的
[00:00:51.000 --> 00:00:55.000]  也是那位末後的,終極的上帝
[00:00:55.000 --> 00:00:57.000]  三職的上帝
[00:00:57.000 --> 00:01:00.000]  我們在這裏歌頌讚美你
[00:01:00.000 --> 00:01:02.000]  你藉著耶穌基督這個愛子
[00:01:02.000 --> 00:01:04.000]  到成肉身來到世界
[00:01:04.000 --> 00:01:05.000]  帶給我們救恩
[00:01:05.000 --> 00:01:07.000]  讓我們和你和好
[00:01:07.000 --> 00:01:10.000]  讓我們能夠得以得著永生的福氣
[00:01:10.000 --> 00:01:12.000]  一切都是你的恩典
[00:01:12.000 --> 00:01:14.000]  我們在新的一年裏面
[00:01:14.000 --> 00:01:15.000]  願意我們更好的
[00:01:15.000 --> 00:01:17.000]  在當中去領受你的恩情
[00:01:17.000 --> 00:01:19.000]  更好的,來跟隨你
[00:01:19.000 --> 00:01:23.000]  按你的吩咐,行事為人,見正主
[00:01:23.000 --> 00:01:27.000]  讓我們今天一起去學習
[00:01:27.000 --> 00:01:29.000]  這個貼索羅里加前書的時候
[00:01:29.000 --> 00:01:31.000]  讓我們同時來到更好的
[00:01:31.000 --> 00:01:34.000]  也知道主風風負的恩典
[00:01:34.000 --> 00:01:38.000]  如何在歷史上帶給我們美好的腳蹤
[00:01:38.000 --> 00:01:40.000]  讓我們看到上帝你的恩情
[00:01:40.000 --> 00:01:43.000]  更好的,跟隨你,信服你
[00:01:43.000 --> 00:01:46.000]  禱告鳳爺,小基督聖靈祈求,阿們
[00:01:46.000 --> 00:01:48.000]  貼索羅里加前書
[00:01:48.000 --> 00:01:51.000]  是保羅的第二封的書信
[00:01:51.000 --> 00:01:54.000]  他寫的書信第一封是《迦太書》
[00:01:54.000 --> 00:01:57.000]  而第二封就是貼索羅里加前書
[00:01:57.000 --> 00:02:02.000]  我今天會先簡單介紹一下
[00:02:02.000 --> 00:02:05.000]  貼索羅里加教會的背景
[00:02:05.000 --> 00:02:09.000]  然後進入經文的分享
[00:02:09.000 --> 00:02:11.000]  貼索羅里加城是保羅
[00:02:11.000 --> 00:02:13.000]  在第二次宣教旅程上
