
[00:00:00.000 --> 00:00:05.100]  今天也挺特別 無論是領詩的 詩琴的 還有講道的
[00:00:05.100 --> 00:00:09.600]  都是姓朱的 剛才牧師開玩笑說三隻小豬
[00:00:09.600 --> 00:00:12.900]  三隻小豬不要緊 最緊要有主在這裡說
[00:00:12.900 --> 00:00:16.000]  萬事如意 我們但願如主的心意
[00:00:16.000 --> 00:00:17.600]  今天我們先有個禱告
[00:00:17.600 --> 00:00:20.400]  按著主的心意來領受祂的話語
[00:00:20.400 --> 00:00:24.300]  親愛的天父 我們來到打開祢的話語的時候
[00:00:24.300 --> 00:00:26.100]  懇求聖靈打開我們的心
[00:00:26.100 --> 00:00:29.300]  我們禱告奉主名給 阿們
[00:00:29.300 --> 00:00:34.400]  這個地方 雖然我第一次跟大家分享神的話語
[00:00:34.400 --> 00:00:36.100]  但是我都算是很熟悉
[00:00:36.100 --> 00:00:38.700]  因為我們借用傳恩堂的地方
[00:00:38.700 --> 00:00:42.900]  禮拜六晚有一個周六晚堂的崇拜
[00:00:42.900 --> 00:00:47.800]  感謝主 傳恩堂很有和宗教會一同服事的心
[00:00:47.800 --> 00:00:49.400]  所以我們一同去合作
[00:00:49.400 --> 00:00:53.600]  也都已經借用了 租用了貴教會的地方一段時間
[00:00:53.600 --> 00:00:55.700]  以致我們福音可以一同去拓展
[00:00:55.700 --> 00:00:58.500]  為此去獻上感恩
[00:00:58.500 --> 00:01:01.700]  題目叫「有危有機有機」
[00:01:01.700 --> 00:01:03.200]  經常說危機危機
[00:01:03.200 --> 00:01:07.500]  中間所說的「機」要有「機篤」才是真正有傳機
[00:01:07.500 --> 00:01:11.300]  一年到晚 通常在年底的時候
[00:01:11.300 --> 00:01:14.000]  很多世界各地的傳媒機構
[00:01:14.000 --> 00:01:17.400]  都會有一個近年叫做「揀全年一字」
[00:01:17.400 --> 00:01:21.200]  用一隻字眼就說出全年你那個地方
[00:01:21.200 --> 00:01:23.900]  覺得最關注的字眼是什麼
[00:01:23.900 --> 00:01:26.900]  例如最近日本或者台灣 香港等等
[00:01:26.900 --> 00:01:29.100]  很多人選的字眼都包含了幾個
[00:01:29.100 --> 00:01:30.900]  一個是「危」 危險的「危」
[00:01:30.900 --> 00:01:34.200]  因為這幾年都很多的危機 很多的轉變
[00:01:34.200 --> 00:01:36.600]  另一個字是「疫」 疫情的「疫」
[00:01:36.600 --> 00:01:39.200]  很多人都選了 例如台灣都會選這個「疫」字
[00:01:39.200 --> 00:01:41.700]  認為疫情就改變了世界
