
[00:00:00.000 --> 00:00:02.000]  (主席) 請你到旁邊講一聲
[00:00:02.000 --> 00:00:05.000]  (主席) 你今天要與這位聖潔的主相遇
[00:00:05.000 --> 00:00:08.000]  (主席) 你今天要與這位聖潔的主相遇
[00:00:08.000 --> 00:00:15.000]  (主席) 請大家打開《爾策書》第六章第五節到十三節
[00:00:15.000 --> 00:00:18.000]  (主席) 我上星期講了《爾策書》第六章一到四節
[00:00:18.000 --> 00:00:25.000]  (主席) 今個星期我們會講《爾策書》第六章的第五節開始至十三節
[00:00:26.000 --> 00:00:34.000]  (主席) 我們講完今天的訊息 你就會知道究竟聖潔的主和擴張警戒的關係是什麼呢
[00:00:34.000 --> 00:00:37.000]  (主席) 聖潔的主和擴張警戒的關係是什麼呢
[00:00:37.000 --> 00:00:40.000]  (主席) 在第六章的第五節
[00:00:40.000 --> 00:00:44.000]  (主席) 六章的第五節開始十三節 請聽我讀出
[00:00:44.000 --> 00:00:46.000]  (主席) 那時我處禍災我滅亡了
[00:00:46.000 --> 00:00:50.000]  (主席) 因為我是咀唇不見的人 又住在咀唇不見的民當中
[00:00:50.000 --> 00:00:53.000]  (主席) 又因我眼見大軍亡 萬軍的搖滑
[00:00:53.000 --> 00:01:00.000]  (主席) 有一剎那忽飛到我庚前 手裡拿著紅炭 是用火箭從壇上取下來的
[00:01:00.000 --> 00:01:07.000]  (主席) 將炭沾在我口說 看下這炭沾了你的嘴 你的罪孽必除掉 你的罪惡就赦免了
[00:01:07.000 --> 00:01:12.000]  (主席) 我聽見主的聲音說 我可以差遣誰呢 誰肯為我門去呢
[00:01:12.000 --> 00:01:15.000]  (主席) 我說我在這裏正差遣我
[00:01:15.000 --> 00:01:19.000]  (主席) 他說 你去告訴這百姓說 你們聽少聽見卻不明白
[00:01:19.000 --> 00:01:25.000]  (主席) 看少看見卻不曉得 要是使這百姓心無知由 以多發沉眼睛
[00:01:25.000 --> 00:01:29.000]  (主席) 眼睛昏迷 恐怕他們眼睛看見 以多聽見 心裡明白
