
[00:00:00.000 --> 00:00:03.480]  大家姊妹平安
[00:00:03.480 --> 00:00:10.320]  中文的題目是一個意象
[00:00:10.320 --> 00:00:17.640]  英文的題目是一個具體內容
[00:00:17.640 --> 00:00:20.720]  寒夜數星星
[00:00:20.720 --> 00:00:25.280]  令我想起一首很舊很舊的歌
[00:00:25.280 --> 00:00:32.040]  唱歌的人叫做關正傑
[00:00:32.040 --> 00:00:34.200]  懂得點頭的
[00:00:34.200 --> 00:00:39.320]  有一定的聽歌的資歷
[00:00:39.320 --> 00:00:43.000]  那首歌的歌詞是這樣說
[00:00:43.000 --> 00:00:47.840]  閉起雙眼睛 心中感覺清靜
[00:00:47.840 --> 00:00:52.120]  再張開眼睛 怕觀望前程
[00:00:52.120 --> 00:00:56.240]  夜冷風更清 這一片荒野地
[00:00:56.240 --> 00:01:00.640]  沿途是歧路 我方向未能明
[00:01:00.640 --> 00:01:03.280]  啊 不見朗月
[00:01:03.280 --> 00:01:06.720]  道我迷途 只有星
[00:01:06.720 --> 00:01:11.560]  荒野路伴我獨行 是流盈
[00:01:11.560 --> 00:01:14.000]  眾步獨行
[00:01:14.000 --> 00:01:17.760]  沿途寂靜 似只有呼吸聲
[00:01:17.760 --> 00:01:24.440]  緩步前往 決意走崎嶇山徑
[00:01:24.440 --> 00:01:26.720]  剛才阿印林也跟我們說
[00:01:26.720 --> 00:01:32.800]  今天是2019年最後一次的主日崇拜
[00:01:32.800 --> 00:01:35.520]  也是2019年即將結束的日子
[00:01:35.520 --> 00:01:41.200]  在這些時候通常都是做大事回顧的日子
[00:01:41.200 --> 00:01:44.320]  過去一年發生了很多事情
[00:01:44.320 --> 00:01:48.400]  跟很多很多年都不一樣
[00:01:48.400 --> 00:01:51.040]  可能很多人都想
[00:01:51.040 --> 00:01:53.320]  過往發生的事情
[00:01:53.320 --> 00:01:56.000]  在過去幾十年從沒想像過
[00:01:56.000 --> 00:01:59.320]  會在這個城市裏面出現
[00:01:59.320 --> 00:02:01.920]  這首歌的歌詞
[00:02:01.920 --> 00:02:05.360]  某些地方好像是我們的寫照
[00:02:05.360 --> 00:02:08.240]  但某些地方又未必是
[00:02:08.240 --> 00:02:12.760]  回想起一幕幕煙火連天的畫面
[00:02:12.760 --> 00:02:15.040]  就算是閉起雙眼睛
[00:02:15.040 --> 00:02:19.680]  心中都未必感覺到安靜
[00:02:19.680 --> 00:02:24.800]  再張開眼睛的確是怕觀望前程
[00:02:24.800 --> 00:02:29.240]  夜冷風更清 正是不少人的慨嘆
[00:02:29.240 --> 00:02:33.440]  繁華的鬧市彷彿變成荒野地
[00:02:33.440 --> 00:02:36.800]  沿途是歧路 方向未能明
[00:02:36.800 --> 00:02:40.480]  的確是很多人的徬徨
[00:02:40.480 --> 00:02:45.040]  在黑夜裏彷彿甚麼都看不到
[00:02:45.040 --> 00:02:49.880]  好像甚麼都沒有了
[00:02:49.880 --> 00:02:54.240]  歌詞說不是甚麼都沒有了
[00:02:54.240 --> 00:02:57.320]  而是景物不同了
[00:02:57.320 --> 00:02:59.400]  縱使不見朗月
[00:02:59.400 --> 00:03:02.600]  但有星星導我迷途
[00:03:02.600 --> 00:03:04.280]  縱使在荒野地
[00:03:04.280 --> 00:03:06.760]  但有流云相伴
[00:03:06.760 --> 00:03:09.680]  縱使獨行寂靜
[00:03:09.680 --> 00:03:13.400]  但有呼吸聲相隨
[00:03:13.400 --> 00:03:15.640]  2019年
[00:03:15.640 --> 00:03:20.160]  我們的確好像失去了很多很多東西
[00:03:20.160 --> 00:03:26.000]  甚至有人感覺到甚麼都沒有了
[00:03:26.000 --> 00:03:27.960]  在這一年結束的時候
[00:03:27.960 --> 00:03:34.360]  或者我們除了這一種的感覺和視野之外
[00:03:34.360 --> 00:03:40.080]  我們可以用另一種的視野來看一看
[00:03:40.080 --> 00:03:43.960]  可能不是甚麼都沒有了
[00:03:43.960 --> 00:03:47.360]  可能只是景物不同了
[00:03:47.360 --> 00:03:48.640]  事實上
[00:03:48.640 --> 00:03:50.920]  寒夜並不是空無
[00:03:50.920 --> 00:03:52.760]  也不是黑暗
[00:03:52.760 --> 00:03:55.640]  因為天上仍然有或多或少
[00:03:55.640 --> 00:03:58.280]  或明或暗的星星
[00:03:58.280 --> 00:04:01.320]  我們今天跟聖經作者一起
[00:04:01.320 --> 00:04:04.920]  嘗試在寒夜裏面尋找星星
[00:04:04.920 --> 00:04:10.480]  看看還有沒有值得我們珍惜的事物和地方
[00:04:10.480 --> 00:04:13.520]  我們再看今天的經課
[00:04:13.520 --> 00:04:15.880]  首先我們看《以賽亞書》
[00:04:15.880 --> 00:04:23.440]  63章7至9節
[00:04:23.440 --> 00:04:37.320]  在舊約聖經的822頁
[00:04:37.320 --> 00:04:44.280]  《以賽亞書》63章7至9節
[00:04:44.280 --> 00:04:45.680]  第七節
[00:04:45.680 --> 00:04:48.920]  我要照耶和華一切所賜給我們的
[00:04:48.920 --> 00:04:51.840]  提起他慈愛和美德
[00:04:51.840 --> 00:04:55.160]  並他向以色列家所施的大恩
[00:04:55.160 --> 00:05:09.920]  這恩是照他的憐憫和豐盛的慈愛賜給他們的
[00:05:09.920 --> 00:05:13.240]  以賽亞先知在甚麼狀況之下
[00:05:13.240 --> 00:05:23.120]  呼籲以色列人述說上帝的慈愛和美德呢?
[00:05:23.120 --> 00:05:30.240]  那是甚麼情況仍然可以述說上帝的慈愛和美德呢?
[00:05:30.240 --> 00:05:34.720]  是否一個歌舞昇平
[00:05:34.720 --> 00:05:36.880]  一個國泰民安
[00:05:36.880 --> 00:05:41.360]  一個大家都在開聖誕派對的時候呢?
[00:05:41.360 --> 00:05:42.560]  我們經常都以為是這樣的
[00:05:42.560 --> 00:05:45.000]  所以在我們的情況底下
[00:05:45.000 --> 00:05:49.080]  我們不覺得還有甚麼慈愛和美德可以述說
[00:05:49.080 --> 00:05:51.040]  但如果我們留意
[00:05:51.040 --> 00:05:55.960]  《以賽亞書》63章第七節前面
[00:05:55.960 --> 00:06:00.200]  即是第一節至第六節
[00:06:00.200 --> 00:06:02.720]  他所說的上文
[00:06:02.720 --> 00:06:03.880]  第一節他說
[00:06:03.880 --> 00:06:11.440]  「這些以東的波斯拉來穿紅衣服
[00:06:11.440 --> 00:06:13.040]  裝扮華美
[00:06:13.040 --> 00:06:14.240]  能力擴大
[00:06:14.240 --> 00:06:17.000]  大步行走的是誰呢?」
[00:06:17.000 --> 00:06:21.160]  他說「這些從以東的波斯拉來」
[00:06:21.160 --> 00:06:21.760]  是誰呢?
[00:06:21.760 --> 00:06:23.640]  「就是我是憑公義說話
[00:06:23.640 --> 00:06:27.200]  以大能施行拯救」
[00:06:27.200 --> 00:06:29.760]  這裏說的是甚麼呢?
[00:06:29.760 --> 00:06:36.040]  這裏說的是上主對以東的審判
[00:06:36.040 --> 00:06:41.440]  為甚麼會提到對以東的審判呢?
[00:06:41.440 --> 00:06:46.000]  究竟以東人當時怎樣對待猶太人呢?
[00:06:46.000 --> 00:06:47.960]  以東人對猶太人做了甚麼呢?
[00:06:47.960 --> 00:06:50.360]  對以色列人做了甚麼呢?
[00:06:50.360 --> 00:06:53.800]  有一本《先知書》叫做《俄巴底亞書》
[00:06:53.800 --> 00:07:01.080]  整本書都是說以東怎樣對待當時的猶太人
[00:07:01.080 --> 00:07:05.160]  其實整本書只有一章
[00:07:05.160 --> 00:07:07.560]  俄巴底亞先知這樣說
[00:07:07.560 --> 00:07:12.560]  「當陌生人擄掠瓦國的財物
[00:07:12.560 --> 00:07:15.040]  當外邦人進入他的城門
[00:07:15.040 --> 00:07:18.560]  為耶路撒冷抽籤分取財物的日子
[00:07:18.560 --> 00:07:20.800]  你竟站在一旁
[00:07:20.800 --> 00:07:23.280]  仗義他們同夥
[00:07:23.280 --> 00:07:25.160]  你兄弟遭難的日子
[00:07:25.160 --> 00:07:27.520]  你不該燈著眼看
[00:07:27.520 --> 00:07:29.160]  猶太人被滅的日子
[00:07:29.160 --> 00:07:31.240]  你不該行災樂禍
[00:07:31.240 --> 00:07:33.600]  他們遇難的日子
[00:07:33.600 --> 00:07:38.120]  你不該說狂傲的話
[00:07:38.120 --> 00:07:39.840]  我指問遭災的日子
[00:07:39.840 --> 00:07:41.880]  你不該進他們的城門
[00:07:41.880 --> 00:07:43.360]  他們遭災的日子
[00:07:43.360 --> 00:07:46.160]  你不該燈著眼看他們受苦
[00:07:46.160 --> 00:07:47.840]  他們遭災的日子
[00:07:47.840 --> 00:07:51.200]  你不該伸手搶他們的財物
[00:07:51.200 --> 00:07:52.600]  他們遭難的日子
[00:07:52.600 --> 00:07:54.680]  你不該站在岔路口
[00:07:54.680 --> 00:07:57.600]  剪除他們逃脫的人
[00:07:57.600 --> 00:08:02.240]  你不該交出他們的倖存者」
[00:08:02.240 --> 00:08:06.320]  以賽亞書63章1至6節
[00:08:06.320 --> 00:08:11.080]  講述耶和華上帝對以東的審判
[00:08:11.080 --> 00:08:13.800]  因為他們曾經這樣對待
[00:08:13.800 --> 00:08:18.320]  在猶太遭難的時候的人民
[00:08:18.320 --> 00:08:20.360]  其實也側面肯定了
[00:08:20.360 --> 00:08:27.680]  猶太當時面對的痛苦和遭遇
[00:08:27.680 --> 00:08:31.640]  甚麼都沒有
[00:08:31.640 --> 00:08:33.360]  被強國打敗
[00:08:33.360 --> 00:08:37.760]  旁邊那個還要下井下石
[00:08:37.760 --> 00:08:43.640]  還有甚麼恩典和慈愛可以敘述呢
[00:08:43.640 --> 00:08:45.320]  在這樣的情況下
[00:08:45.320 --> 00:08:49.080]  以賽亞才提醒當時的猶太人
[00:08:49.080 --> 00:08:54.440]  處境的確是改變了
[00:08:54.440 --> 00:08:57.880]  失去了的確是很多
[00:08:57.880 --> 00:09:01.720]  但不等於一無所有
[00:09:01.720 --> 00:09:02.680]  以賽亞提醒他們
[00:09:02.680 --> 00:09:05.240]  還有三項是他們仍然擁有
[00:09:05.240 --> 00:09:07.360]  並且應該珍惜的
[00:09:07.360 --> 00:09:10.640]  那些就是他們寒夜裡的星星
[00:09:10.640 --> 00:09:13.640]  是黑暗裡的盼望
[00:09:13.640 --> 00:09:15.480]  第一
