
[00:00:00.000 --> 00:00:05.160]  「這是天賦世界,我們的心不必憂傷。」
[00:00:05.160 --> 00:00:09.260]  我們教會在2013年有我們的新的使命
[00:00:09.260 --> 00:00:15.000]  而過去這兩個月,我們一年的有我們的使命宣言的系列
[00:00:15.000 --> 00:00:18.880]  今天我們去到第二部分,我們奉派
[00:00:18.880 --> 00:00:21.240]  而在世上做什麼呢?
[00:00:21.240 --> 00:00:23.540]  之前我們會有
[00:00:23.540 --> 00:00:26.400]  以聖潔守護我們的家庭
[00:00:26.400 --> 00:00:28.560]  以仁愛關懷疾苦
[00:00:28.560 --> 00:00:33.640]  今天我們跟大家分享,我們要以真理更新文化
[00:00:33.640 --> 00:00:36.540]  用到以真理更新文化,就是告訴我們
[00:00:36.540 --> 00:00:43.240]  我們的教會要奉派以聖經的真理來影響這個世界
[00:00:43.240 --> 00:00:44.960]  我想問一下大家
[00:00:44.960 --> 00:00:48.280]  你覺得究竟在你的觀感,在你的認知裏面
[00:00:48.280 --> 00:00:52.380]  我們現在是被世界影響著
[00:00:52.380 --> 00:00:54.920]  多一點,還是我們影響世界多一點?
[00:00:54.920 --> 00:00:56.460]  你覺得是哪樣東西?
[00:00:56.460 --> 00:01:00.240]  你覺得你影響著你身邊的人
[00:01:00.240 --> 00:01:04.140]  還是身邊的人影響著你?
[00:01:04.140 --> 00:01:08.100]  讓我們去思考這個問題
[00:01:08.100 --> 00:01:12.320]  今天我們跟大家看一段經文,是在馬太福音第五章
[00:01:12.320 --> 00:01:13.760]  登山寶芬
[00:01:13.760 --> 00:01:15.800]  登山寶芬就正正是耶穌基督
[00:01:15.800 --> 00:01:18.320]  將天國的文化和價值觀
[00:01:18.320 --> 00:01:21.060]  帶到我們的生命裏面
[00:01:21.060 --> 00:01:24.100]  而要抗衡當時這一班
[00:01:24.100 --> 00:01:27.560]  猶太人裏面的文士和法利賽人
[00:01:27.560 --> 00:01:35.760]  所帶給這班猶太人的生活的影響
[00:01:35.760 --> 00:01:38.900]  耶穌要帶進天國的文化和價值觀
[00:01:38.900 --> 00:01:41.240]  抗衡當時一些扭曲了的
[00:01:41.240 --> 00:01:46.800]  不符合真理的流行文化和價值觀
[00:01:46.800 --> 00:01:49.840]  耶穌說
[00:01:49.840 --> 00:01:52.980]  一班門徒就是炎,就是光
[00:01:52.980 --> 00:01:57.640]  有時炎卻失了味
[00:01:57.640 --> 00:02:03.040]  即是說這個炎卻不能發揮它防腐的影響力
[00:02:03.040 --> 00:02:11.300]  防腐就代表了讓這個世界沒那麼快扭壞
[00:02:11.300 --> 00:02:13.180]  我們看看馬太福音第五章
[00:02:13.180 --> 00:02:15.680]  我們一起打開聖經
[00:02:15.680 --> 00:02:17.840]  我們看看第十三節
[00:02:17.840 --> 00:02:23.440]  「你們世上的炎,炎若失了味,怎能叫它再咸呢?
[00:02:23.440 --> 00:02:29.040]  以後無用,不過凋在外面,被人踐踏了。」
[00:02:29.040 --> 00:02:32.340]  炎失了味,再無它的用處
[00:02:32.340 --> 00:02:33.640]  炎是一個很穩定的物質
[00:02:33.640 --> 00:02:36.140]  但為何它會失了味呢?
[00:02:36.140 --> 00:02:40.340]  正是因為它侵入了很多很多的雜質
[00:02:40.340 --> 00:02:42.240]  就好像今天我們基督徒的生命
[00:02:42.240 --> 00:02:46.180]  假若我們被流行文化來影響我們的時候
[00:02:46.180 --> 00:02:49.940]  被社會的價值觀影響我們的時候
[00:02:49.940 --> 00:02:54.840]  我們的生命就充滿了雜質
[00:02:54.840 --> 00:02:57.640]  我們的生活就好像一般人一樣
[00:02:57.640 --> 00:03:02.440]  失去了那個影響力
[00:03:02.440 --> 00:03:03.840]  你好,你可能會說
[00:03:03.840 --> 00:03:05.940]  既然是這樣,不如我保持中立吧
[00:03:05.940 --> 00:03:08.640]  我又不會影響人,人又不會影響到我
[00:03:08.640 --> 00:03:10.140]  可以嗎?
[00:03:10.140 --> 00:03:13.240]  我相信除非大家搬到深山野嶺
[00:03:13.240 --> 00:03:15.740]  如果不是,只有兩個選擇
[00:03:15.740 --> 00:03:19.340]  不是你影響別人,就是別人影響你
[00:03:19.340 --> 00:03:22.140]  不是教會影響這個社會
[00:03:22.140 --> 00:03:24.940]  就是這個社會影響教會
[00:03:24.940 --> 00:03:28.140]  再沒有其他的方法
[00:03:28.140 --> 00:03:29.940]  而《羅馬書》第十二章第二節說
[00:03:29.940 --> 00:03:32.740]  「不要效法這個世界」
[00:03:32.740 --> 00:03:36.440]  好像是我們要主動去做這件事
[00:03:36.440 --> 00:03:37.940]  但有其他在日本,它說甚麼呢?
[00:03:37.940 --> 00:03:40.840]  它說「不要讓這世代去模造你」
[00:03:40.840 --> 00:03:43.640]  有時我們不想,但是整個潮流
[00:03:43.640 --> 00:03:49.040]  整個群體,或者社會的趨向
[00:03:49.040 --> 00:03:53.140]  那個追求的東西
[00:03:53.140 --> 00:03:54.940]  就是這個時候
[00:03:54.940 --> 00:04:00.040]  好像我們不能夠倖免一樣
[00:04:00.040 --> 00:04:07.440]  我們會想,基督徒為甚麼會容易被同化呢?
[00:04:07.440 --> 00:04:09.440]  因為我們知道
[00:04:09.440 --> 00:04:13.240]  要活得不一樣,是需要有代價
[00:04:13.240 --> 00:04:16.340]  好像未必會那麼受歡迎
[00:04:16.340 --> 00:04:19.040]  少的就好像在一個職場裏面
[00:04:19.040 --> 00:04:22.140]  大家一起買六合彩,要買金多寶的時候
[00:04:22.140 --> 00:04:25.640]  你不一起夾的時候,別人會覺得
[00:04:25.640 --> 00:04:27.740]  你也是不合談的
[00:04:27.740 --> 00:04:33.140]  又或者是大到好像是我以前做銀行的時候
[00:04:33.140 --> 00:04:35.140]  其實他們在裏面做一些
[00:04:35.140 --> 00:04:38.140]  外匯上不法的事
[00:04:38.140 --> 00:04:43.340]  後來我知道其中有一班人已經被抓去坐牢
[00:04:43.340 --> 00:04:46.840]  但是你不參與的時候
[00:04:46.840 --> 00:04:51.340]  他們就會在你身邊事事私語
[00:04:51.340 --> 00:04:56.240]  不會讓你參與他們其他的部份
[00:04:56.240 --> 00:04:58.540]  守約者,這個Promise Keeper
[00:04:58.540 --> 00:05:00.240]  這個創辦人
[00:05:00.240 --> 00:05:02.140]  他見到在美國基督徒裏面
[00:05:02.140 --> 00:05:03.840]  仍舊有很多白人基督徒
[00:05:03.840 --> 00:05:07.140]  他們不願意他們的社區裏面
[00:05:07.140 --> 00:05:09.740]  他的鄰居是一些有色的人種
[00:05:09.740 --> 00:05:12.240]  他覺得真理不是這樣
[00:05:12.240 --> 00:05:17.840]  他在他的聚會裏面要呼喚種族的融和
[00:05:17.840 --> 00:05:21.840]  消除種族的歧視
