
[00:00:00.000 --> 00:00:01.280]  整姐妹平安
[00:00:01.280 --> 00:00:05.640]  當我們看到今天的世界越來越多
[00:00:05.640 --> 00:00:08.200]  問題和災難的時候
[00:00:08.200 --> 00:00:11.260]  可能我們的腦海裏面馬上都會想
[00:00:11.260 --> 00:00:14.840]  出了四個字,世界末日這幾個字
[00:00:14.840 --> 00:00:21.000]  世界末日都成為了很多人心中一個不解之謎
[00:00:21.000 --> 00:00:23.560]  我們很想知道世界末日
[00:00:23.560 --> 00:00:26.360]  將會是怎樣的一番景象呢
[00:00:26.360 --> 00:00:29.960]  過去多年其實在電影界
[00:00:30.200 --> 00:00:34.040]  都拍過很多和世界末日有關的電影
[00:00:34.040 --> 00:00:40.960]  經典的電影,關於世界末日的有15部左右,其中一個很經典的就是
[00:00:40.960 --> 00:00:43.000]  這個
[00:00:43.000 --> 00:00:44.540]  這個
[00:00:44.540 --> 00:00:46.840]  Almageddon
[00:00:46.840 --> 00:00:53.240]  中文叫做《逆做世界末日》,香港就叫做《絕世天劫》,不知道大家有沒有看過
[00:00:56.320 --> 00:01:00.160]  這個世界著名的物理學家霍金
[00:01:00.160 --> 00:01:04.260]  他更加有一份自己的世界毀滅
[00:01:04.260 --> 00:01:08.360]  預言的時間表,不知道你又會怎樣看
[00:01:08.360 --> 00:01:09.880]  他說
[00:01:09.880 --> 00:01:13.480]  到了2050年,人類就會移民火星
[00:01:13.480 --> 00:01:16.280]  到時我們不知道會不會
[00:01:16.280 --> 00:01:21.400]  經歷到這個景象,2050年的時候我們在哪裏呢,我也不知道
[00:01:21.400 --> 00:01:25.760]  到2100年,他說人類會進入外太空
[00:01:26.020 --> 00:01:27.560]  新的人種會出現
[00:01:27.560 --> 00:01:30.380]  這個新的人種又是怎樣的呢,我也不知道
[00:01:30.380 --> 00:01:33.960]  2215年的時候,地球將面臨毀滅
[00:01:33.960 --> 00:01:36.780]  到了2600年,還有多少年呢
[00:01:36.780 --> 00:01:41.120]  地球會變成熾熱的火球
[00:01:41.120 --> 00:01:48.300]  很多人都有他的一套,甚至以前我們都聽過有些人說,世界末日什麼時候到了
[00:01:48.300 --> 00:01:50.600]  我們什麼都不用做了,我們去某一處
[00:01:50.600 --> 00:01:51.880]  就等
[00:01:51.880 --> 00:01:54.700]  那個世界末日的到來
[00:01:55.200 --> 00:01:57.240]  其實關於世界末日
[00:01:57.240 --> 00:02:00.060]  聖經有最清楚的技術
[00:02:00.060 --> 00:02:02.360]  今天我們就來看看
[00:02:02.360 --> 00:02:04.420]  路加福音
[00:02:04.420 --> 00:02:06.720]  有兩段關於
[00:02:06.720 --> 00:02:08.260]  末世的經文
[00:02:08.260 --> 00:02:10.820]  一段就是我們剛剛讀的這一段
[00:02:10.820 --> 00:02:16.440]  另一段就在21章的5到33節,如果你回家你可以看看
[00:02:16.440 --> 00:02:19.260]  但比較這兩段的經文
[00:02:19.260 --> 00:02:20.800]  今天這一段
[00:02:20.800 --> 00:02:24.120]  是更加具一個末世的警示
[00:02:24.380 --> 00:02:27.200]  和是給人一個更加迫切的感覺
[00:02:27.200 --> 00:02:30.520]  今天我們就會專注看這一段
[00:02:30.520 --> 00:02:32.820]  到底上帝藉著這段經文
[00:02:32.820 --> 00:02:35.900]  要給我們一些什麼啟示呢
[00:02:35.900 --> 00:02:39.480]  在這一段的經文裏面
[00:02:39.480 --> 00:02:44.340]  耶穌就被人問了兩個關於神國降臨的問題
[00:02:44.340 --> 00:02:47.420]  那幫法利賽人就問耶穌
[00:02:47.420 --> 00:02:48.960]  神的國
[00:02:48.960 --> 00:02:50.740]  什麼時候會來到呀
[00:02:50.740 --> 00:02:53.320]  而他的門徒就問
[00:02:54.080 --> 00:02:56.900]  這些事會在哪裡發生呢
[00:02:56.900 --> 00:03:00.480]  耶穌對他們的回應
[00:03:00.480 --> 00:03:04.320]  有時候你會覺得耶穌總是好像答非所問
[00:03:04.320 --> 00:03:09.700]  當然其實這個是耶穌的智慧,我們其實都要學一下耶穌
[00:03:09.700 --> 00:03:12.760]  但是從他的回應裏面
[00:03:12.760 --> 00:03:16.860]  耶穌帶出了幾個很重要的教導
[00:03:16.860 --> 00:03:19.680]  今天我們都會一起來看看
[00:03:19.680 --> 00:03:23.520]  在這一段經文裏面
[00:03:23.780 --> 00:03:27.620]  耶穌回應法利賽人那個時間的問題
[00:03:27.620 --> 00:03:29.160]  他說神的國
[00:03:29.160 --> 00:03:31.980]  來到是眼睛看不見的
[00:03:31.980 --> 00:03:33.760]  還有神的國
[00:03:33.760 --> 00:03:35.820]  就在你們裏面
[00:03:35.820 --> 00:03:39.660]  我們從他的這一番說話裏面
[00:03:39.660 --> 00:03:41.700]  我們會看一下
[00:03:41.700 --> 00:03:43.740]  神國的
[00:03:43.740 --> 00:03:45.540]  本質
[00:03:45.540 --> 00:03:48.360]  在其他的經文裏面
[00:03:48.360 --> 00:03:52.720]  其實都有關於這個末世神的國
[00:03:53.220 --> 00:03:57.320]  就是主再來的日子的一些啟示
[00:03:57.320 --> 00:03:58.860]  其實
[00:03:58.860 --> 00:03:59.620]  當
[00:03:59.620 --> 00:04:03.720]  路加福音記載耶穌跟他們說這番話的時候
[00:04:03.720 --> 00:04:05.760]  其實在那個年代
[00:04:05.760 --> 00:04:10.880]  當時出現了很多很多的謠言
[00:04:10.880 --> 00:04:13.700]  有些就說
[00:04:13.700 --> 00:04:16.000]  主的國
[00:04:16.000 --> 00:04:18.820]  主再來的日子已經到了
[00:04:19.340 --> 00:04:23.680]  記載在這個帖撒羅尼加後書二章那裏
[00:04:23.680 --> 00:04:24.720]  有些人就說
[00:04:24.720 --> 00:04:26.260]  已經來了
[00:04:26.260 --> 00:04:28.300]  所以保羅在這裏也提醒那些人
[00:04:28.300 --> 00:04:30.600]  就是因為有些人冒他的名
[00:04:30.600 --> 00:04:33.680]  又或者用各種的理由就說
[00:04:33.680 --> 00:04:35.460]  主的日子到了
[00:04:35.460 --> 00:04:39.820]  但是保羅提醒他們,你們不要輕易動心,也不要驚慌
[00:04:39.820 --> 00:04:43.660]  但是同樣也有些人質疑
[00:04:43.660 --> 00:04:45.720]  其實主的
