
[00:00:00.000 --> 00:00:04.360]  我其實不是一個很熱愛大自然的人
[00:00:04.360 --> 00:00:13.160]  所以我很佩服那些很喜歡行山、看大自然的人
[00:00:13.160 --> 00:00:17.800]  特別是揹著很多工具
[00:00:17.800 --> 00:00:20.800]  望遠鏡、相機、長鏡頭
[00:00:20.800 --> 00:00:22.800]  去觀鳥
[00:00:22.800 --> 00:00:26.000]  不知道大家有沒有去過觀鳥
[00:00:26.000 --> 00:00:28.000]  看鳥鳥
[00:00:28.000 --> 00:00:30.000]  我記得很多年前
[00:00:30.000 --> 00:00:36.000]  我曾經去過米埔的濕地公園
[00:00:36.000 --> 00:00:38.000]  如果你有去過的話
[00:00:38.000 --> 00:00:40.000]  可能你有印象
[00:00:40.000 --> 00:00:41.000]  你走著走著
[00:00:41.000 --> 00:00:43.000]  其實那裏有些小屋
[00:00:43.000 --> 00:00:46.000]  那些屋你可以走進去
[00:00:46.000 --> 00:00:49.000]  看那些鳥鳥
[00:00:49.000 --> 00:00:57.000]  甚至因為裏面已經架設了很多望遠鏡
[00:00:57.000 --> 00:01:01.000]  你就看到很多的候鳥在那裏
[00:01:01.000 --> 00:01:04.000]  其實都挺漂亮的
[00:01:04.000 --> 00:01:06.000]  我是一個門外漢
[00:01:06.000 --> 00:01:10.000]  我不是很知道什麼鳥打什麼鳥
[00:01:10.000 --> 00:01:11.000]  搞不定的
[00:01:11.000 --> 00:01:14.000]  甚至怎樣搞那些工具
[00:01:14.000 --> 00:01:18.000]  那些望遠鏡都是一樣那麼不行的
[00:01:18.000 --> 00:01:22.000]  所以我以為
[00:01:22.000 --> 00:01:25.000]  當你看到那些鳥很遠
[00:01:25.000 --> 00:01:28.000]  好像挺漂亮
[00:01:28.000 --> 00:01:32.000]  我就將望遠鏡的鏡頭向著它
[00:01:32.000 --> 00:01:35.000]  希望近一點
[00:01:35.000 --> 00:01:37.000]  看到它的動態
[00:01:37.000 --> 00:01:40.000]  但是發現原來看不到的
