
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹早晨 後面的弟兄姊妹都聽到
[00:00:04.000 --> 00:00:09.000]  今年是2017年 其實是基督教的信仰裏面
[00:00:09.000 --> 00:00:12.000]  可以說是很特別的一年 知不知道為甚麼
[00:00:12.000 --> 00:00:16.000]  因為今年是宗教改革500週年
[00:00:16.000 --> 00:00:21.000]  剛剛在500年前 即是1517年的10月31日
[00:00:21.000 --> 00:00:23.000]  有一位德國的神學家叫做馬丁奴特
[00:00:23.000 --> 00:00:27.000]  他在教會的門外貼了95條論綱
[00:00:27.000 --> 00:00:34.000]  指出當時的天主教會受賣贖罪券這個很嚴重的錯誤
[00:00:34.000 --> 00:00:37.000]  這個錯誤遠遠的離開了真理
[00:00:37.000 --> 00:00:43.000]  因為當他細心去研讀聖經 尤其是羅馬書的時候
[00:00:43.000 --> 00:00:49.000]  他發現到原來人要是被上帝拯救 別無他
[00:00:49.000 --> 00:00:55.000]  即是只有一個方法 就是耶穌可以是我們的拯救
[00:00:55.000 --> 00:01:01.000]  我們不可以靠任何的行為 包括向教會購買贖罪券
[00:01:01.000 --> 00:01:04.000]  或者做任何事情去積存一些功德
[00:01:04.000 --> 00:01:09.000]  以致可以換取我們自己或我們的親人可以早些上天堂
[00:01:09.000 --> 00:01:11.000]  沒有這樣的事
[00:01:11.000 --> 00:01:15.000]  馬丁奴特原本是一位天主教的修士
[00:01:15.000 --> 00:01:18.000]  他亦在神學院裏面教授神學
[00:01:18.000 --> 00:01:21.000]  他原本不是想去搞對抗
[00:01:21.000 --> 00:01:24.000]  他只是想引發一些討論 想撥亂反正
[00:01:24.000 --> 00:01:29.000]  去讓教會重新回到上帝真理的正軌裏
[00:01:29.000 --> 00:01:32.000]  不過當時的教會實在是腐敗不堪
[00:01:32.000 --> 00:01:36.000]  他的善意得不到當時的羅馬教廷的支持
[00:01:36.000 --> 00:01:38.000]  而且還樹立了很多的敵人
[00:01:38.000 --> 00:01:41.000]  這些是敵人 甚至要將他殺死
[00:01:41.000 --> 00:01:48.000]  就在一次的宗教會議之後 他就被判斷成為異端
[00:01:48.000 --> 00:01:51.000]  之後他就突然消失了
[00:01:51.000 --> 00:01:56.000]  很多人都以為他已經被綁架被殺害了
[00:01:56.000 --> 00:01:59.000]  但原來只剩下21年的時間
[00:01:59.000 --> 00:02:03.000]  原來當時有一個宮后將他拯救了
[00:02:03.000 --> 00:02:06.000]  在一年他失蹤的日子裏面
[00:02:06.000 --> 00:02:09.000]  就將他匿藏在一個城堡裏面
[00:02:09.000 --> 00:02:11.000]  就在這段日子裏面
[00:02:11.000 --> 00:02:14.000]  他就將新約聖經的原文希臘文
[00:02:14.000 --> 00:02:21.000]  翻譯成當時百姓都看得懂的第一本德文的聖經
[00:02:21.000 --> 00:02:27.000]  馬丁路德的神學很主張三個唯一
[00:02:27.000 --> 00:02:29.000]  三個唯獨
[00:02:29.000 --> 00:02:33.000]  唯獨聖經 唯獨恩典 唯獨信心
[00:02:33.000 --> 00:02:40.000]  這正是我們基督教信仰一直堅守的教義所在
[00:02:40.000 --> 00:02:44.000]  我們那位掌管著歷史的上帝
[00:02:44.000 --> 00:02:47.000]  他帶領拯救這位他的僕人
[00:02:47.000 --> 00:02:50.000]  他也是愛他的教會
[00:02:50.000 --> 00:02:53.000]  藉著他的拯救
[00:02:53.000 --> 00:02:55.000]  也讓世上更加多的人
[00:02:55.000 --> 00:02:58.000]  讓他的教會真的可以明白
[00:02:58.000 --> 00:03:01.000]  那個福音信仰的真義
[00:03:01.000 --> 00:03:05.000]  真的可以得到那個福音的福氣
[00:03:05.000 --> 00:03:08.000]  不過其實這件事又不是那麼新鮮
[00:03:08.000 --> 00:03:10.000]  早在2000年前
[00:03:10.000 --> 00:03:13.000]  其實上帝同樣在一個歷史場景裡
[00:03:13.000 --> 00:03:15.000]  都做過一個類似的事件
[00:03:15.000 --> 00:03:18.000]  他同樣帶領拯救了他另一位的僕人
[00:03:18.000 --> 00:03:20.000]  叫做保羅
[00:03:20.000 --> 00:03:23.000]  今天我們會看一段經文
[00:03:23.000 --> 00:03:25.000]  就是關於這件事的事跡
[00:03:25.000 --> 00:03:28.000]  我們看《仕途行傳》來到第21章
[00:03:28.000 --> 00:03:31.000]  已經是全書的四分之三
[00:03:31.000 --> 00:03:35.000]  保羅在建的時候也完成了他三次的宣教旅程
[00:03:35.000 --> 00:03:38.000]  他現在回到了耶路撒冷城
[00:03:38.000 --> 00:03:40.000]  之前那兩次
[00:03:40.000 --> 00:03:41.000]  如果大家還記得
[00:03:41.000 --> 00:03:42.000]  陳牧師跟我們提到
[00:03:42.000 --> 00:03:46.000]  保羅他很想趕緊在五除節前
[00:03:46.000 --> 00:03:48.000]  可以去到耶路撒冷
[00:03:48.000 --> 00:03:50.000]  縱然在路途裡
[00:03:50.000 --> 00:03:53.000]  其實聖靈也不斷透過不同的人去預告
[00:03:53.000 --> 00:03:57.000]  其實他此行有如送死一樣
[00:03:57.000 --> 00:04:00.000]  很多弟兄姊妹在途中也力勸保羅
[00:04:00.000 --> 00:04:02.000]  你不要去
[00:04:02.000 --> 00:04:04.000]  但是保羅他沒有
[00:04:04.000 --> 00:04:06.000]  他仍然堅持去做
[00:04:06.000 --> 00:04:08.000]  是因為他很清楚
[00:04:08.000 --> 00:04:12.000]  這是上帝聖靈在他身上的帶領
[00:04:12.000 --> 00:04:13.000]  是他要帶他走的路
[00:04:13.000 --> 00:04:15.000]  不可以不走
[00:04:15.000 --> 00:04:17.000]  他去到耶路撒冷
[00:04:17.000 --> 00:04:19.000]  當地的教會領袖雅各
[00:04:19.000 --> 00:04:21.000]  也特別提醒他
[00:04:21.000 --> 00:04:22.000]  在那裡
[00:04:22.000 --> 00:04:24.000]  無論是信主還是不信主的猶太人
[00:04:24.000 --> 00:04:26.000]  這個時候他們也知道
[00:04:26.000 --> 00:04:29.000]  他們也知道保羅這個人
[00:04:29.000 --> 00:04:38.000]  並且他們覺得保羅是一個要提倡猶太人不守摩西律法的人
[00:04:38.000 --> 00:04:42.000]  當然這是一個誤會
[00:04:42.000 --> 00:04:45.000]  為了消解這些誤會
[00:04:45.000 --> 00:04:47.000]  雅各也提出
[00:04:47.000 --> 00:04:49.000]  保羅也跟幾位弟兄
[00:04:49.000 --> 00:04:52.000]  特意去聖殿做了一個潔淨禮
[00:04:52.000 --> 00:04:53.000]  如果大家還記得
[00:04:53.000 --> 00:04:55.000]  上一次李五強牧師在我們當中
[00:04:55.000 --> 00:04:57.000]  跟我們說的就是經文
[00:04:57.000 --> 00:05:00.000]  而今天就是接續這一段經文
[00:05:00.000 --> 00:05:03.000]  不如我們在繼續之前先一起祈禱
[00:05:03.000 --> 00:05:26.000]  第十七節說到
[00:05:26.000 --> 00:05:29.000]  那七日將圓的意思就是說
[00:05:29.000 --> 00:05:33.000]  這個潔淨禮即將要完成的日子
[00:05:33.000 --> 00:05:36.000]  在這個五旬節的日子
[00:05:36.000 --> 00:05:39.000]  聖殿裡面一定是人山人海
[00:05:39.000 --> 00:05:43.000]  不單止是本地耶路撒冷城裡的猶太人
[00:05:43.000 --> 00:05:46.000]  就是周圍去到很遠的地方的猶太人
[00:05:46.000 --> 00:05:48.000]  這個時候都會朝聖
[00:05:48.000 --> 00:05:50.000]  回到耶路撒冷這裡
[00:05:50.000 --> 00:05:52.000]  為了要獻祭
[00:05:52.000 --> 00:05:53.000]  為了要過節
[00:05:53.000 --> 00:05:59.000]  當中也包括一些從亞細亞地區來到的猶太人
[00:05:59.000 --> 00:06:00.000]  如果大家還有印象
[00:06:00.000 --> 00:06:03.000]  在兩章之前寫的第十九章
[00:06:03.000 --> 00:06:07.000]  保羅在伊弗所那裡有好幾年的日子
[00:06:07.000 --> 00:06:11.000]  保羅在那裡去教導建立當地的教會
[00:06:11.000 --> 00:06:15.000]  伊弗所這個地方就是亞細亞地區裡面
[00:06:15.000 --> 00:06:18.000]  一個最大的城市
[00:06:18.000 --> 00:06:19.000]  如果你還記得
[00:06:19.000 --> 00:06:22.000]  那時候他曾經在伊弗所那裡講道
[00:06:22.000 --> 00:06:26.000]  他提到後來有人因為心裡剛硬
[00:06:26.000 --> 00:06:29.000]  在眾人面前誹謗者道
[00:06:29.000 --> 00:06:31.000]  就是這些猶太人
[00:06:31.000 --> 00:06:33.000]  於是保羅唯有離開他們
[00:06:33.000 --> 00:06:37.000]  去了另一個叫吞雅路的地方去講道
[00:06:37.000 --> 00:06:42.000]  這些猶太人現在去到老遠的耶路撒冷
[00:06:42.000 --> 00:06:46.000]  竟然在一個這麼神聖的聖殿裡面
[00:06:46.000 --> 00:06:52.000]  撞到這個意想不到的眼中釘
[00:06:52.000 --> 00:06:55.000]  保羅可謂冤家路窄
[00:06:55.000 --> 00:06:57.000]  所以他們什麼都不用說
[00:06:57.000 --> 00:07:00.000]  就煽動聖殿裡面很多的群眾
[00:07:00.000 --> 00:07:03.000]  叫他們下手去抓住保羅
[00:07:03.000 --> 00:07:07.000]  他們說以色列人來幫忙
[00:07:07.000 --> 00:07:11.000]  這個就是各處到處去教導眾人
[00:07:11.000 --> 00:07:15.000]  糟蹋我們百姓、律法和這個地方的人
[00:07:15.000 --> 00:07:21.000]  他還帶領希臘人進入聖殿
[00:07:21.000 --> 00:07:24.000]  污穢了這個聖地
[00:07:24.000 --> 00:07:27.000]  這個地方就是聖殿的意思
[00:07:27.000 --> 00:07:30.000]  這裡說到各處教導眾人
[00:07:30.000 --> 00:07:32.000]  很明顯就是要算一筆舊賬
[00:07:32.000 --> 00:07:35.000]  說回以前在亞細亞地區的時候
[00:07:35.000 --> 00:07:37.000]  就是他們的事了
[00:07:37.000 --> 00:07:42.000]  這個律法當然是指他們所高舉的摩西律法
[00:07:42.000 --> 00:07:44.000]  按著以色列的傳統
