
[00:00:00.000 --> 00:00:04.000]  那麼今天我們來到一個新的講道的系列
[00:00:04.000 --> 00:00:08.000]  在這個系列裡面我們會講到成為和聲信義的教會
[00:00:08.000 --> 00:00:10.000]  我們會講到教會
[00:00:10.000 --> 00:00:13.000]  跟大家介紹說教會到底是什麼一回事呢
[00:00:13.000 --> 00:00:17.000]  我在中國大陸生活的時候其實從來沒有去過教會
[00:00:17.000 --> 00:00:19.000]  我也從來不知道教會到底是什麼
[00:00:19.000 --> 00:00:23.000]  所以當那時候如果你跟我提到教會的時候
[00:00:23.000 --> 00:00:25.000]  我通常都會
[00:00:25.000 --> 00:00:28.000]  可以給你們看一幅照片嗎
[00:00:28.000 --> 00:00:33.000]  我通常都會想到這樣的一幅畫面
[00:00:33.000 --> 00:00:35.000]  當我們講到教會的時候
[00:00:35.000 --> 00:00:38.000]  或許你會想到說是這一幅圖畫
[00:00:38.000 --> 00:00:40.000]  就是一間教會
[00:00:40.000 --> 00:00:41.000]  下一張
[00:00:41.000 --> 00:00:43.000]  又或許你會想到這個
[00:00:43.000 --> 00:00:46.000]  不要誤會這不是俄羅斯方塊
[00:00:46.000 --> 00:00:49.000]  這是一間莫斯科的教會
[00:00:49.000 --> 00:00:52.000]  但是當我提到教會的時候
[00:00:52.000 --> 00:00:55.000]  無論你是想到一間很溫馨的
[00:00:55.000 --> 00:00:59.000]  還是你是想到一間很夠氣派的這種教會
[00:00:59.000 --> 00:01:01.000]  通常我們想到教會的時候
[00:01:01.000 --> 00:01:03.000]  我們是想到這種building
[00:01:03.000 --> 00:01:04.000]  一個建築物
[00:01:04.000 --> 00:01:07.000]  那麼今天我想特別要澄清一個關係
[00:01:07.000 --> 00:01:10.000]  就是教會跟教堂之間的不一樣
[00:01:10.000 --> 00:01:12.000]  當我們說教堂的時候
[00:01:12.000 --> 00:01:14.000]  我們指的是這個建築物
[00:01:14.000 --> 00:01:16.000]  所以當你看到這個的時候
[00:01:16.000 --> 00:01:17.000]  這不是教會
[00:01:17.000 --> 00:01:18.000]  這個是教堂
[00:01:18.000 --> 00:01:21.000]  無論是很溫馨的還是很夠氣派的
[00:01:21.000 --> 00:01:23.000]  當你講到建築物的時候是教堂
[00:01:23.000 --> 00:01:25.000]  當我們講到教會的時候
[00:01:25.000 --> 00:01:27.000]  其實指的不是建築物
[00:01:27.000 --> 00:01:33.000]  是指一群被神所揀選呼召出來
[00:01:33.000 --> 00:01:35.000]  然後成為一群能夠認識神
[00:01:35.000 --> 00:01:37.000]  能夠在生活裡面經歷到神的
[00:01:37.000 --> 00:01:40.000]  這樣一群人聚在一起就叫做教會
[00:01:40.000 --> 00:01:42.000]  所以當我們講教會的時候
[00:01:42.000 --> 00:01:43.000]  我們講的是人
[00:01:43.000 --> 00:01:45.000]  教堂是指那個building
[00:01:45.000 --> 00:01:48.000]  我們每一個信主的人都叫基督徒
[00:01:48.000 --> 00:01:49.000]  基督徒聚在一起叫教會
[00:01:49.000 --> 00:01:52.000]  聚會的地方叫教堂
[00:01:52.000 --> 00:01:55.000]  一個如果被揀選出來當兵的
[00:01:55.000 --> 00:01:56.000]  他叫軍人
[00:01:56.000 --> 00:01:58.000]  一堆軍人聚在一起叫軍隊
[00:01:58.000 --> 00:02:00.000]  軍隊住的地方叫軍營
[00:02:00.000 --> 00:02:01.000]  或者軍事基地
[00:02:01.000 --> 00:02:04.000]  所以知道軍人軍隊軍事基地
[00:02:04.000 --> 00:02:06.000]  基督徒教會教堂
[00:02:06.000 --> 00:02:08.000]  弄清楚啊
[00:02:08.000 --> 00:02:10.000]  所以當我們說合一的教會
[00:02:10.000 --> 00:02:13.000]  我們指的不是兩個building合在一起
[00:02:13.000 --> 00:02:15.000]  我們指的是一群基督徒在一起
[00:02:15.000 --> 00:02:18.000]  能夠在生命中有合一
[00:02:18.000 --> 00:02:21.000]  那麼下面我要介紹第二個觀念
[00:02:21.000 --> 00:02:25.000]  就是給你看一幅圖畫好不好
[00:02:25.000 --> 00:02:26.000]  下一幅
[00:02:26.000 --> 00:02:29.000]  知道這個是誰嗎
[00:02:29.000 --> 00:02:31.000]  現任的教皇對不對
[00:02:31.000 --> 00:02:34.000]  我上禮拜被正式案例成為牧師
[00:02:34.000 --> 00:02:36.000]  有遠方的朋友來恭喜我
[00:02:36.000 --> 00:02:41.000]  我說恭喜你聽說你當了教皇
[00:02:41.000 --> 00:02:45.000]  我說基督教是沒有教皇的
[00:02:45.000 --> 00:02:47.000]  大家有沒有聽過有人問說
[00:02:47.000 --> 00:02:50.000]  你們基督教教會不是應該合一嗎
[00:02:50.000 --> 00:02:52.000]  為什麼你們分那麼多宗派呢
[00:02:52.000 --> 00:02:54.000]  你看天主教多好
[00:02:54.000 --> 00:02:56.000]  一個教皇說了算對不對
[00:02:56.000 --> 00:02:58.000]  我跟大家介紹一個觀念
[00:02:58.000 --> 00:03:00.000]  就是合一跟統一的不一樣
[00:03:00.000 --> 00:03:05.000]  統一是指架構組織上是一樣的
[00:03:05.000 --> 00:03:07.000]  天主教是架構上是統一
[00:03:07.000 --> 00:03:08.000]  那個叫統一
[00:03:08.000 --> 00:03:11.000]  就是教皇說了就算
[00:03:11.000 --> 00:03:12.000]  基督教不是統一
[00:03:12.000 --> 00:03:14.000]  基督教是合一
[00:03:14.000 --> 00:03:15.000]  那麼合一跟統一不一樣
[00:03:15.000 --> 00:03:17.000]  統一是指組織上
[00:03:17.000 --> 00:03:21.000]  合一是指生命上心靈內心的層面
[00:03:21.000 --> 00:03:22.000]  是不一樣
[00:03:22.000 --> 00:03:26.000]  那麼基督教從來都不是統一的
[00:03:26.000 --> 00:03:27.000]  不要誤會
[00:03:27.000 --> 00:03:29.000]  統一不等於就是合一
[00:03:29.000 --> 00:03:31.000]  比方說舉個例子
[00:03:31.000 --> 00:03:33.000]  秦始皇統一中國
[00:03:33.000 --> 00:03:35.000]  但是在秦始皇的統治下
[00:03:35.000 --> 00:03:38.000]  是不是中國每個民族都很合一呢
[00:03:38.000 --> 00:03:39.000]  不見得
[00:03:39.000 --> 00:03:41.000]  現在中國也是統一的對不對
[00:03:41.000 --> 00:03:44.000]  可是我們有漢族跟藏族之間的分裂
[00:03:44.000 --> 00:03:45.000]  我們有很多
[00:03:45.000 --> 00:03:48.000]  就算是同一個黨裡面不同的黨派
[00:03:48.000 --> 00:03:50.000]  還是不同的利益集團之間的
[00:03:50.000 --> 00:03:52.000]  民憤暗鬥也是很多
[00:03:52.000 --> 00:03:53.000]  所以在中國大陸
[00:03:53.000 --> 00:03:56.000]  每一年維穩的費用比軍費還要高
[00:03:56.000 --> 00:03:58.000]  中國大陸是唯一一個國家
[00:03:58.000 --> 00:04:01.000]  維穩的費用比軍費還要高
[00:04:01.000 --> 00:04:03.000]  所以架構上我們可以統一
[00:04:03.000 --> 00:04:05.000]  可是不見得合一
[00:04:05.000 --> 00:04:08.000]  相反架構上不一定統一
[00:04:08.000 --> 00:04:10.000]  可是我們可以很合一
[00:04:10.000 --> 00:04:11.000]  舉個例子
[00:04:11.000 --> 00:04:12.000]  我非常感謝
[00:04:12.000 --> 00:04:16.000]  其實你出去外面兜個圈就發現
[00:04:16.000 --> 00:04:19.000]  我們的隔壁有一間方舟教會
[00:04:19.000 --> 00:04:20.000]  也是國語教會
[00:04:20.000 --> 00:04:21.000]  也是進信會
