
[00:00:00.000 --> 00:00:02.000]  今天講啞歌
[00:00:02.000 --> 00:00:03.400]  第四講
[00:00:03.400 --> 00:00:05.800]  愛沒完沒了
[00:00:05.800 --> 00:00:08.520]  永不止息的一個現代版的講法
[00:00:08.520 --> 00:00:12.480]  經文當然給大家六至七節
[00:00:12.480 --> 00:00:15.360]  不過其實要講的經文相當長
[00:00:15.360 --> 00:00:19.120]  我記得我第一次跟大家講啞歌的時候
[00:00:19.120 --> 00:00:26.720]  我是沒有跟隨聖經的一些編排
[00:00:26.720 --> 00:00:30.440]  如果你看聖經前面很多都有一個大綱
[00:00:30.440 --> 00:00:34.240]  或者講啞歌大概分開六首歌
[00:00:34.240 --> 00:00:37.520]  可能是根據詩歌的題材來分的
[00:00:37.520 --> 00:00:39.040]  因為我不懂所以我不知道
[00:00:39.040 --> 00:00:42.160]  不過多數可能是憑詩歌的題材這樣分
[00:00:42.160 --> 00:00:43.840]  我沒有跟這個跟法
[00:00:43.840 --> 00:00:45.400]  反而我跟大家講的時候
[00:00:45.400 --> 00:00:47.960]  我讀啞歌的時候讀了很多次
[00:00:47.960 --> 00:00:51.640]  忽然間被啞歌裡面有三次
[00:00:51.640 --> 00:00:55.000]  是女主角尋找男主角
[00:00:55.000 --> 00:00:59.800]  這三次的尋找就成為我孕育了我這幾堂的訊息
[00:00:59.800 --> 00:01:01.960]  我給大家看看大綱
[00:01:01.960 --> 00:01:05.680]  整個的大綱
[00:01:05.680 --> 00:01:08.440]  一至二章是第一次
[00:01:08.440 --> 00:01:10.800]  女主角第一次去找男主角
[00:01:10.800 --> 00:01:14.680]  當時都未曾完全定情
[00:01:14.680 --> 00:01:16.480]  去找男主角
[00:01:16.480 --> 00:01:18.760]  第二次就是上一堂
[00:01:18.760 --> 00:01:22.520]  跟大家講三至五章
[00:01:22.520 --> 00:01:26.560]  講到女主角第二次去找男主角
[00:01:26.560 --> 00:01:30.440]  今天就跟大家講第三次的尋找
[00:01:30.440 --> 00:01:33.160]  尋找完之後最後的第八章
[00:01:33.160 --> 00:01:35.320]  其實整章就是一個結束
[00:01:35.320 --> 00:01:36.880]  一個結局
[00:01:36.880 --> 00:01:37.880]  我們都知道的
[00:01:37.880 --> 00:01:41.320]  因為啞歌不是一個敘述文
[00:01:41.320 --> 00:01:43.360]  啞歌是一個詩歌題材
[00:01:43.360 --> 00:01:45.600]  詩歌題材就好像歌劇一樣
[00:01:45.600 --> 00:01:48.200]  不可以去邏輯地一直跟下去
[00:01:48.200 --> 00:01:53.720]  裡面有些容易以詩歌來記情的東西
[00:01:53.720 --> 00:01:57.040]  我們就從這個角度跟大家看
[00:01:57.040 --> 00:02:01.560]  今天就跟大家看第三次的尋找
[00:02:01.560 --> 00:02:04.360]  第三次尋找跟上一次
[00:02:04.360 --> 00:02:06.040]  如果你記得我上一次講的時候
[00:02:06.040 --> 00:02:09.240]  女主角都是去找男主角的
[00:02:09.240 --> 00:02:12.760]  找男主角的時候跟這次的尋找是相似的
[00:02:12.760 --> 00:02:14.280]  場地相似
[00:02:14.280 --> 00:02:16.120]  都是當是耶路撒冷
