
[00:00:00.000 --> 00:00:02.300]  祈求祢幫助我們今天能夠在崇拜祂的那一邊
[00:00:02.300 --> 00:00:04.800]  我們的眼睛定睛仰望耶穌
[00:00:04.800 --> 00:00:06.600]  讓耶穌
[00:00:06.600 --> 00:00:10.200]  你今天親自來到這個地方
[00:00:10.200 --> 00:00:14.000]  甚至我們呼求祢帶我們去到天上面
[00:00:14.000 --> 00:00:16.000]  是望著寶座
[00:00:16.000 --> 00:00:18.200]  是你坐的寶座
[00:00:18.200 --> 00:00:20.500]  我們就去敬拜祢
[00:00:20.500 --> 00:00:23.200]  讓祢的真實
[00:00:23.200 --> 00:00:25.400]  在我們的生命那一邊
[00:00:25.400 --> 00:00:28.700]  來經歷得到
[00:00:28.700 --> 00:00:30.700]  我們只願意將一切的榮耀
[00:00:30.700 --> 00:00:34.600]  重贊傳歸給我們在天上的爸爸
[00:00:34.600 --> 00:00:36.600]  求祢就閱覽我們的心
[00:00:36.600 --> 00:00:38.200]  閱覽我們向祢的呼求
[00:00:38.200 --> 00:00:41.100]  閱覽每一首詩歌
[00:00:41.100 --> 00:00:42.800]  讓我們能夠今天
[00:00:42.800 --> 00:00:44.400]  去到祢的話語的時候
[00:00:44.400 --> 00:00:47.600]  求祢親自帶著我們
[00:00:47.600 --> 00:00:51.400]  讓祢的話語成為兩刃的利劍
[00:00:51.400 --> 00:00:54.000]  來刺透我們
[00:00:54.000 --> 00:00:59.300]  讓我們的生命能夠被轉化
[00:00:59.300 --> 00:01:01.700]  能夠繼續跟隨祢
[00:01:01.700 --> 00:01:02.700]  聽我們的祈禱
[00:01:02.700 --> 00:01:04.900]  奉主明求
[00:01:04.900 --> 00:01:05.800]  Amen
[00:01:05.800 --> 00:01:07.200]  請坐
[00:01:07.200 --> 00:01:09.100]  當我自己去想今天的講道的時候
[00:01:09.100 --> 00:01:13.100]  因為我真的很久沒有在大家那邊的講道
[00:01:13.100 --> 00:01:16.200]  甚至都不是很多機會在同福廣道
[00:01:16.200 --> 00:01:18.700]  就因為我自己都已經退了下來
[00:01:18.700 --> 00:01:21.100]  但是當我自己去想
[00:01:21.100 --> 00:01:22.900]  今天來到這裡的時候
[00:01:22.900 --> 00:01:26.400]  我都知道這個是年青人
[00:01:26.400 --> 00:01:29.100]  都是職業的青年人
[00:01:29.100 --> 00:01:30.600]  在職的青年人
[00:01:30.600 --> 00:01:33.900]  我都想你們的年紀
[00:01:33.900 --> 00:01:38.600]  我估計都是二十多歲
[00:01:38.600 --> 00:01:40.600]  或者是二十多歲
[00:01:40.600 --> 00:01:41.600]  或者三十多歲
[00:01:41.600 --> 00:01:44.500]  我估計可能有三十多歲
[00:01:44.500 --> 00:01:45.900]  平均都是二十多歲
[00:01:45.900 --> 00:01:47.400]  我估計你們平均二十多歲
[00:01:47.400 --> 00:01:48.300]  平均可以試一下
[00:01:48.300 --> 00:01:49.100]  平均二十多歲
[00:01:49.100 --> 00:01:50.900]  雖然我們今天我來了
[00:01:50.900 --> 00:01:52.900]  把你們拉高了 不好意思
[00:01:52.900 --> 00:01:54.600]  要多謝大家 不好意思
[00:01:54.600 --> 00:01:56.300]  把大家的年紀拉高了
[00:01:56.300 --> 00:02:00.100]  我估計大概三十歲平均
[00:02:00.100 --> 00:02:03.100]  其實三十歲的人生
[00:02:03.100 --> 00:02:05.900]  我回望我自己三十歲的人生的時候
[00:02:05.900 --> 00:02:07.300]  還有很多東西
[00:02:07.300 --> 00:02:08.700]  很多盼望
[00:02:08.700 --> 00:02:11.500]  很多的想法
[00:02:11.500 --> 00:02:13.100]  很多的夢想
[00:02:13.100 --> 00:02:15.300]  我三十多年前
[00:02:15.300 --> 00:02:16.700]  三十五年回來香港
[00:02:16.700 --> 00:02:18.800]  那時候三十多歲
[00:02:18.800 --> 00:02:22.000]  原來很快 已經過了三十五年
[00:02:22.000 --> 00:02:24.500]  但是在人生裏面
[00:02:24.500 --> 00:02:25.700]  三十多歲的人生
[00:02:25.700 --> 00:02:27.400]  或者三十歲的人生
[00:02:27.400 --> 00:02:28.700]  其實上帝給你們
[00:02:28.700 --> 00:02:32.300]  仍然有一條很長的路可以走
[00:02:32.300 --> 00:02:34.100]  我們怎樣在這條這麼長的路
[00:02:34.100 --> 00:02:36.300]  繼續為主去走呢
[00:02:36.300 --> 00:02:38.000]  所以今天我的題目
[00:02:38.000 --> 00:02:38.900]  是很有趣的
[00:02:38.900 --> 00:02:42.600]  這個題目就是學懂維新
[00:02:42.600 --> 00:02:43.900]  意思就是說
[00:02:43.900 --> 00:02:45.900]  我不會說我們今天
[00:02:45.900 --> 00:02:48.000]  已經知道什麼叫做維新
[00:02:48.000 --> 00:02:49.000]  包括我自己
[00:02:49.000 --> 00:02:51.300]  我做了差不多四十年的傳道人
[00:02:51.300 --> 00:02:53.700]  我都不敢說我今天
[00:02:53.700 --> 00:02:57.600]  真的學懂了什麼叫做維新
[00:02:57.600 --> 00:02:59.400]  有時候我望著我的前輩
[00:02:59.400 --> 00:03:02.000]  當然很多前輩已經回到天家
[00:03:02.000 --> 00:03:04.500]  其實有時候望著我自己的前輩
[00:03:04.500 --> 00:03:06.300]  當我三十多歲回來香港的時候
[00:03:06.300 --> 00:03:07.900]  見到很多香港的牧者
[00:03:07.900 --> 00:03:09.200]  前輩牧者
[00:03:09.200 --> 00:03:12.200]  他們的侍奉那種心智
[00:03:12.200 --> 00:03:16.000]  我覺得是絕對不及他們的
[00:03:16.000 --> 00:03:18.800]  他們可以由早做到晚之餘
[00:03:18.800 --> 00:03:22.900]  仍然可以將教會成為他們的家
[00:03:22.900 --> 00:03:25.000]  家為教會的感覺
[00:03:25.000 --> 00:03:29.000]  甚至可能躺在教會的上面一個單位
[00:03:29.000 --> 00:03:30.700]  可能做堂役
[00:03:30.700 --> 00:03:31.900]  做開門
[00:03:31.900 --> 00:03:33.100]  什麼都做完
[00:03:33.100 --> 00:03:34.200]  那種的生命
[00:03:34.200 --> 00:03:36.300]  我都很服
[00:03:36.300 --> 00:03:37.700]  我回來香港牧會的時候
[00:03:37.700 --> 00:03:38.400]  我講明了
[00:03:38.400 --> 00:03:41.200]  我一定不會住在教會附近的
[00:03:41.200 --> 00:03:42.400]  免得別人說
[00:03:42.400 --> 00:03:43.500]  不記得帶鑰匙
[00:03:43.500 --> 00:03:44.900]  我家裡有鑰匙
[00:03:44.900 --> 00:03:46.200]  我最怕這些
[00:03:46.200 --> 00:03:48.800]  我一開始就離開教會
[00:03:48.800 --> 00:03:50.100]  所以我就住在九龍
[00:03:50.100 --> 00:03:51.500]  我從來沒住過香港
[00:03:51.500 --> 00:03:53.300]  所以你們要在九龍拿鑰匙
[00:03:53.300 --> 00:03:54.800]  多難啊
[00:03:54.800 --> 00:03:56.500]  我是一個這樣的人
[00:03:56.500 --> 00:03:59.100]  所以我一時望著我的前輩
[00:03:59.100 --> 00:04:01.900]  他們可以躺在教會
[00:04:01.900 --> 00:04:03.300]  一起床就在教會
[00:04:03.300 --> 00:04:06.100]  好像不用下班那種感覺
[00:04:06.100 --> 00:04:11.100]  我都覺得我未及他們那種的衛生
[00:04:11.100 --> 00:04:13.600]  當然今天我講這段聖經
[00:04:13.600 --> 00:04:15.300]  可能我們都很熟悉的一段聖經
[00:04:15.300 --> 00:04:17.300]  我們讀一讀這幾節聖經
[00:04:17.300 --> 00:04:18.600]  提摩太后書第四章
[00:04:18.600 --> 00:04:20.500]  由第六節到第八節
[00:04:20.500 --> 00:04:21.600]  我們可能很熟悉
[00:04:21.600 --> 00:04:22.200]  也不奇怪
[00:04:22.200 --> 00:04:23.600]  準備一起讀
[00:04:23.600 --> 00:04:24.800]  一二三
[00:04:24.800 --> 00:04:26.700]  我現在被驍電
[00:04:26.700 --> 00:04:29.000]  我離世的時候到了
[00:04:29.000 --> 00:04:32.100]  那美好的帳我已經打過了
[00:04:32.100 --> 00:04:35.200]  當跑的路我已經跑盡了
[00:04:35.200 --> 00:04:38.400]  所信的道我已經守住了
[00:04:38.400 --> 00:04:42.900]  從此以後有公義的冠冕為我傳流
