
[00:00:00.000 --> 00:00:02.640]  撒姆爾傳的第八講
[00:00:02.640 --> 00:00:06.480]  撒姆爾上的第十一章和第十二章
[00:00:06.480 --> 00:00:08.640]  今天我們要講
[00:00:08.640 --> 00:00:12.640]  蘇羅被以色列人擁立為王的故事
[00:00:12.640 --> 00:00:17.280]  上一次你說不是蘇羅王已經被安立
[00:00:17.280 --> 00:00:18.920]  成為以色列人的王嗎?
[00:00:18.920 --> 00:00:20.800]  現在又擁立了?
[00:00:20.800 --> 00:00:23.480]  是 他是被神揀選
[00:00:23.480 --> 00:00:25.920]  被撒姆爾安立為王
[00:00:25.920 --> 00:00:27.920]  這是在詩之下
[00:00:27.920 --> 00:00:30.080]  但是今天我們會講到
[00:00:30.080 --> 00:00:33.160]  他如何被以色列人擁立
[00:00:33.160 --> 00:00:35.000]  成為他們的王
[00:00:35.000 --> 00:00:36.920]  一些背景
[00:00:36.920 --> 00:00:41.480]  我們說以色列人是希望有一位王來帶領他們
[00:00:41.480 --> 00:00:44.680]  希望一位王能使他們團結
[00:00:44.680 --> 00:00:48.080]  以致他們能戰勝他們的敵人
[00:00:48.080 --> 00:00:51.480]  但是這件事是非常可悲的事
[00:00:51.480 --> 00:00:52.840]  為什麼?
[00:00:52.840 --> 00:00:55.960]  他們不要一位造物者
[00:00:55.960 --> 00:00:59.040]  就是萬有的造物者來帶領他們
[00:00:59.040 --> 00:01:01.280]  他們要什麼人來帶領呢?
[00:01:01.280 --> 00:01:02.480]  是一個人
[00:01:02.480 --> 00:01:05.720]  一個被造之物來帶領他們
[00:01:05.720 --> 00:01:07.680]  你想想這多麼可悲
[00:01:07.680 --> 00:01:11.040]  萬有的真神造物者他們都不要
[00:01:11.040 --> 00:01:14.400]  要求一位王來帶領他們
[00:01:14.400 --> 00:01:16.440]  雖然他們是這樣
[00:01:16.440 --> 00:01:20.080]  但是神仍然是應允了他們的要求
[00:01:20.080 --> 00:01:21.880]  讓他們立一位王
[00:01:21.880 --> 00:01:25.000]  這就是他們希望所見到的
