
[00:00:00.000 --> 00:00:04.000]  George Cullen 說過一句話,他說如果你不喜歡你的工作
[00:00:04.000 --> 00:00:06.000]  不要緊,我們有一個 support group 給你
[00:00:06.000 --> 00:00:09.000]  那個 group 的名字叫做 everybody
[00:00:09.000 --> 00:00:11.000]  and we meet at the bar
[00:00:11.000 --> 00:00:14.000]  所以我們都知道很多時候我們的工作並不如意
[00:00:14.000 --> 00:00:15.000]  也不開心
[00:00:15.000 --> 00:00:17.000]  所以上禮拜我們就花很多時間在講
[00:00:17.000 --> 00:00:21.000]  有什麼辦法可以讓我們的工作比較可以開心一點
[00:00:21.000 --> 00:00:24.000]  那麼這禮拜我們就講另外一個 topic
[00:00:24.000 --> 00:00:27.000]  這個 topic 是錢
[00:00:27.000 --> 00:00:28.000]  那麼在講這個 topic 之前呢
[00:00:28.000 --> 00:00:32.000]  我有一個有兩個消息要跟大家分享
[00:00:32.000 --> 00:00:34.000]  一個是好消息一個壞消息
[00:00:34.000 --> 00:00:35.000]  好消息呢
[00:00:35.000 --> 00:00:40.000]  就是你如果今天看到你們程序單上面的sermon outline
[00:00:40.000 --> 00:00:43.000]  我今天只會講一半
[00:00:43.000 --> 00:00:46.000]  所以後邊那一半我不會講
[00:00:46.000 --> 00:00:49.000]  所以我只會講一半
[00:00:49.000 --> 00:00:50.000]  會講到第一個 point
[00:00:50.000 --> 00:00:53.000]  我講完第一個 point 就完了
[00:00:53.000 --> 00:00:59.000]  那麼接下來的第二版是有五個聖經所教導的理財的原則
[00:00:59.000 --> 00:01:01.000]  我會留著吃完飯之後
[00:01:01.000 --> 00:01:05.000]  我們小組的時間我們再來玩 game 的時候我們再會提到
[00:01:05.000 --> 00:01:08.000]  所以好消息就是我只會講一半
[00:01:08.000 --> 00:01:10.000]  那麼壞消息是什麼呢
[00:01:10.000 --> 00:01:12.000]  壞消息就是雖然只講一半
[00:01:12.000 --> 00:01:14.000]  不過也會講得很長
[00:01:14.000 --> 00:01:16.000]  這是壞消息
[00:01:16.000 --> 00:01:18.000]  那或許你會問我說
[00:01:18.000 --> 00:01:20.000]  為什麼講到錢會這麼多東西講
[00:01:20.000 --> 00:01:22.000]  我告訴你為什麼
[00:01:22.000 --> 00:01:24.000]  我上網看聖經的時候我發現
[00:01:24.000 --> 00:01:28.000]  耶穌也滿經常講到錢
[00:01:28.000 --> 00:01:30.000]  你知道耶穌經常用故事
[00:01:30.000 --> 00:01:32.000]  用一個比喻來教導
[00:01:32.000 --> 00:01:35.000]  祂要教導真理都是透過故事跟比喻
[00:01:35.000 --> 00:01:38.000]  你知道祂所講的故事裡面在新約聖經
[00:01:38.000 --> 00:01:40.000]  有一半的故事跟錢有關
[00:01:40.000 --> 00:01:42.000]  It's about money
[00:01:42.000 --> 00:01:44.000]  所以有時候你會覺得很奇怪說
[00:01:44.000 --> 00:01:47.000]  為什麼神來到我們這裡
[00:01:47.000 --> 00:01:48.000]  道成佑生
[00:01:48.000 --> 00:01:49.000]  我們會期待說
[00:01:49.000 --> 00:01:51.000]  祂一定會告訴我們很多有關天上的事情
[00:01:51.000 --> 00:01:54.000]  天堂地獄會告訴很多
[00:01:54.000 --> 00:01:56.000]  可是你發現剛好相反
[00:01:56.000 --> 00:02:00.000]  天堂地獄是耶穌講最少的題目
[00:02:00.000 --> 00:02:03.000]  What's the topic they talk about the most
[00:02:03.000 --> 00:02:04.000]  It's money
[00:02:04.000 --> 00:02:06.000]  但是有時候我知道牧師傳當
[00:02:06.000 --> 00:02:08.000]  有時候不太好意思跟你講錢
[00:02:08.000 --> 00:02:10.000]  你講錢講太多好像我很現實
[00:02:10.000 --> 00:02:12.000]  所以我在這個教會大概
[00:02:12.000 --> 00:02:13.000]  差不多六年的時間
[00:02:13.000 --> 00:02:16.000]  我講錢的topic大概只有三次而已
[00:02:16.000 --> 00:02:20.000]  所以我都很珍惜每一次能夠講到錢
[00:02:20.000 --> 00:02:22.000]  你們講多一點
[00:02:22.000 --> 00:02:24.000]  因為耶穌滿常講到錢
[00:02:24.000 --> 00:02:27.000]  至於你說為什麼耶穌一直講錢
[00:02:27.000 --> 00:02:28.000]  我晚上告訴你為什麼
[00:02:28.000 --> 00:02:31.000]  有個很好的point
[00:02:31.000 --> 00:02:34.000]  先做個survey好不好
[00:02:34.000 --> 00:02:37.000]  你覺得你一年能夠賺多少錢
[00:02:37.000 --> 00:02:39.000]  才算是有錢的
[00:02:39.000 --> 00:02:42.000]  一年 年薪 你年薪多少
[00:02:42.000 --> 00:02:43.000]  給你想想
[00:02:43.000 --> 00:02:45.000]  我要舉手
[00:02:45.000 --> 00:02:48.000]  不超過十萬的舉手
[00:02:48.000 --> 00:02:50.000]  如果你年薪說我有九萬
[00:02:50.000 --> 00:02:51.000]  不超過十萬
[00:02:51.000 --> 00:02:54.000]  我就覺得我是有錢人的請舉手
[00:02:54.000 --> 00:02:56.000]  有兩個
[00:02:56.000 --> 00:02:57.000]  這很容易滿足
[00:02:57.000 --> 00:03:00.000]  看來加州的物價不低
[00:03:00.000 --> 00:03:03.000]  十萬還是窮人
[00:03:03.000 --> 00:03:07.000]  不超過二十萬的請舉手
[00:03:07.000 --> 00:03:09.000]  有兩個
[00:03:09.000 --> 00:03:14.000]  不超過三十萬的請舉手
[00:03:14.000 --> 00:03:16.000]  當然是美金
[00:03:16.000 --> 00:03:19.000]  當然不會是人民幣
[00:03:19.000 --> 00:03:21.000]  不會是日圓
[00:03:21.000 --> 00:03:27.000]  不超過三十萬的請舉手
[00:03:27.000 --> 00:03:28.000]  有一個
[00:03:28.000 --> 00:03:33.000]  不超過四十萬的請舉手
[00:03:33.000 --> 00:03:38.000]  五十萬
[00:03:38.000 --> 00:03:41.000]  一個
[00:03:41.000 --> 00:03:48.000]  不超過一億的請舉手
[00:03:48.000 --> 00:03:49.000]  那大概差不多
[00:03:49.000 --> 00:03:52.000]  根據Gallup Poll的survey
[00:03:52.000 --> 00:03:53.000]  問大家說你們覺得
[00:03:53.000 --> 00:03:55.000]  在美國一年的年薪
[00:03:55.000 --> 00:03:57.000]  多少錢你覺得我是有錢人
[00:03:57.000 --> 00:04:01.000]  Gallup Poll的是十五萬
[00:04:01.000 --> 00:04:04.000]  但是全美就有些物價比較低
[00:04:04.000 --> 00:04:05.000]  就拉平
[00:04:05.000 --> 00:04:07.000]  他們覺得如果我有十五萬年薪
[00:04:07.000 --> 00:04:09.000]  我算是滿有錢的
[00:04:09.000 --> 00:04:12.000]  那下一個survey問你
[00:04:12.000 --> 00:04:13.000]  這不是年薪
[00:04:13.000 --> 00:04:14.000]  這是擁有
[00:04:14.000 --> 00:04:16.000]  包括你的房子 車子 物業
[00:04:16.000 --> 00:04:18.000]  股票加起來說
[00:04:18.000 --> 00:04:20.000]  你覺得你擁有多少錢
[00:04:20.000 --> 00:04:22.000]  才使你覺得說
[00:04:22.000 --> 00:04:23.000]  Wow I'm a rich guy
[00:04:23.000 --> 00:04:24.000]  就像這個人一樣
[00:04:24.000 --> 00:04:25.000]  一醒來覺得
[00:04:25.000 --> 00:04:27.000]  哇 我很有錢了這樣子
[00:04:27.000 --> 00:04:29.000]  給你們想
[00:04:29.000 --> 00:04:32.000]  不超過一百萬的請舉手
[00:04:32.000 --> 00:04:33.000]  擁有所有的東西
[00:04:33.000 --> 00:04:35.000]  你說我大概有九十九萬
[00:04:35.000 --> 00:04:36.000]  或者一百萬
[00:04:36.000 --> 00:04:39.000]  我就可以算是很富有
[00:04:39.000 --> 00:04:41.000]  有一個
[00:04:41.000 --> 00:04:47.000]  看來師母是非常容易滿足的人
[00:04:47.000 --> 00:04:52.000]  不超過兩百萬的請舉手
[00:04:52.000 --> 00:04:54.000]  一個
[00:04:54.000 --> 00:04:59.000]  不超過三百萬的請舉手
[00:04:59.000 --> 00:05:00.000]  一個 OK
[00:05:00.000 --> 00:05:03.000]  不超過四百萬的請舉手
[00:05:03.000 --> 00:05:05.000]  有兩個
[00:05:05.000 --> 00:05:09.000]  不超過五百萬的請舉手
[00:05:09.000 --> 00:05:13.000]  不超過一千萬的請舉手
[00:05:13.000 --> 00:05:14.000]  Most people
[00:05:14.000 --> 00:05:16.000]  So between five million
[00:05:16.000 --> 00:05:18.000]  到OK hundred million
[00:05:18.000 --> 00:05:20.000]  OK
[00:05:20.000 --> 00:05:22.000]  根據Money Magazine
[00:05:22.000 --> 00:05:23.000]  他做了一個調查
[00:05:23.000 --> 00:05:24.000]  就跟他的subscriber
[00:05:24.000 --> 00:05:25.000]  做了一個調查
[00:05:25.000 --> 00:05:26.000]  問他們同樣的問題
[00:05:26.000 --> 00:05:28.000]  他們得到的答案
[00:05:28.000 --> 00:05:31.000]  Average five million
[00:05:31.000 --> 00:05:32.000]  就是很多人都覺得說
[00:05:32.000 --> 00:05:34.000]  如果我有五百萬
[00:05:34.000 --> 00:05:35.000]  我應該算是個蠻有錢的
[00:05:35.000 --> 00:05:36.000]  我醒來的時候覺得是
[00:05:36.000 --> 00:05:38.000]  I'm rich guy 很有錢
[00:05:38.000 --> 00:05:41.000]  所以OK
[00:05:41.000 --> 00:05:45.000]  So in reality
[00:05:45.000 --> 00:05:46.000]  告訴你reality
[00:05:46.000 --> 00:05:48.000]  如果你household income
[00:05:48.000 --> 00:05:49.000]  我說household income
[00:05:49.000 --> 00:05:51.000]  如果你賺household income
[00:05:51.000 --> 00:05:53.000]  有四萬塊一年的話
[00:05:53.000 --> 00:05:58.000]  在全世界你是top 5%的有錢人
[00:05:58.000 --> 00:05:59.000]  就是top 5%
[00:05:59.000 --> 00:06:01.000]  就是你賺的錢是top 5%
[00:06:01.000 --> 00:06:03.000]  在全世界
