
[00:00:00.000 --> 00:00:02.680]  弟兄姊妹,大家平安
[00:00:02.680 --> 00:00:05.320]  今天是我們家庭的主日
[00:00:05.320 --> 00:00:06.520]  我們有弟兄姊妹
[00:00:06.520 --> 00:00:10.480]  我們的家人會跟我們一同來聚會
[00:00:10.480 --> 00:00:14.880]  那如果你手中有這個
[00:00:14.880 --> 00:00:17.600]  孩子們可以活動的這個獎勵
[00:00:17.600 --> 00:00:19.800]  也可以帶著孩子們一同討論
[00:00:19.800 --> 00:00:21.920]  今天我要跟大家分享的題目呢
[00:00:21.920 --> 00:00:25.400]  是「來跟從我」
[00:00:25.400 --> 00:00:29.600]  那我們一同來做一個禱告
[00:00:29.600 --> 00:00:30.560]  親愛的主聖靈
[00:00:30.560 --> 00:00:32.040]  主啊,我們仰望祢
[00:00:32.040 --> 00:00:34.040]  主啊,將今天的聚會
[00:00:34.040 --> 00:00:35.480]  我們的家人
[00:00:35.480 --> 00:00:37.280]  還有我們眾弟兄姊妹
[00:00:37.280 --> 00:00:38.520]  主啊,無論是現場的
[00:00:38.520 --> 00:00:41.800]  還是在遠方看直播的
[00:00:41.800 --> 00:00:43.640]  主啊,都求祢的聖靈
[00:00:43.640 --> 00:00:46.440]  來教導我們祢自己寶貴的話語
[00:00:46.440 --> 00:00:52.640]  使我們的心可以被祢的話語來餵養
[00:00:52.640 --> 00:00:54.320]  來照著祢的話語行
[00:00:54.320 --> 00:00:57.440]  使我們生命蒙祢所喜悅
[00:00:57.440 --> 00:00:58.600]  請聽我們的禱告
[00:00:58.600 --> 00:01:01.440]  奉考耶穌基督寶貴的聖靈名求
[00:01:01.440 --> 00:01:06.440]  Amen
[00:01:06.440 --> 00:01:09.080]  我想現在我們在家的弟兄姊妹
[00:01:09.080 --> 00:01:10.880]  我們可以做一個討論
[00:01:10.880 --> 00:01:14.480]  就是我們回想一下
[00:01:14.480 --> 00:01:17.120]  我們跟家人在一起最喜歡的
[00:01:17.120 --> 00:01:19.360]  或者是你覺得最有意義的一個活動
[00:01:19.360 --> 00:01:22.000]  是什麼
