
[00:00:00.000 --> 00:00:03.840]  保底師傅,讓我們在聆聽主導而先,讓我們一起同心抵頭禱告
[00:00:03.840 --> 00:00:07.680]  天父,我多謝你
[00:00:07.680 --> 00:00:11.520]  你讓我們仍然有生命可以踏足地上
[00:00:11.520 --> 00:00:15.360]  讓我們有生命可以走這條人生的道路
[00:00:15.360 --> 00:00:19.720]  讓我們可以享受到上帝你的創造
[00:00:19.720 --> 00:00:24.060]  雖然我們知道這個創造已經被罪所污染
[00:00:24.060 --> 00:00:27.140]  在破壞和墮落的光景之中
[00:00:28.160 --> 00:00:32.760]  但亦都同樣你讓我們可以在當中看到上帝的榮美
[00:00:32.760 --> 00:00:36.360]  促使我們能夠更加衛生在
[00:00:36.360 --> 00:00:38.660]  在未來這個新天新地裏面
[00:00:38.660 --> 00:00:41.220]  與主你同活的那份生命生活
[00:00:41.220 --> 00:00:43.000]  求你的帶領
[00:00:43.000 --> 00:00:46.340]  讓今天每一個無論是聽的講的
[00:00:46.340 --> 00:00:49.920]  都能夠同樣在這段聖經當中
[00:00:49.920 --> 00:00:53.000]  能夠去再次得到堅固保守
[00:00:53.000 --> 00:00:54.540]  求你的帶領
[00:00:54.540 --> 00:00:56.840]  禱告奉耶穌保貴聖名自求
[00:00:56.840 --> 00:00:57.860]  啞門
[00:00:58.880 --> 00:01:05.020]  今日同大家一齊講嘅呢段經文呢係馬太福音第十二章第九至到第十四節
[00:01:05.020 --> 00:01:08.360]  我畀咗個題目佢叫做由安息日
[00:01:08.360 --> 00:01:11.680]  去了解主嘅主權
[00:01:11.680 --> 00:01:13.720]  呢個係今日嘅講題
[00:01:13.720 --> 00:01:20.640]  喺未入到呢段經文之前呢就讓我分享少少關於人性嘅一啲嘅感覺
[00:01:20.640 --> 00:01:27.040]  通常呢喺呢個世界佢裏面呢唔知呀人呢好似處係一種
[00:01:27.300 --> 00:01:31.920]  安全感嘅一種嘅狀態喺上一個主題嘅裏面
[00:01:31.920 --> 00:01:33.960]  我哋已經講過㗎喇
[00:01:33.960 --> 00:01:34.720]  喺
[00:01:34.720 --> 00:01:42.160]  好多時候我哋發覺到喺加拿大嘅生活個裏面呢當你住入一間新建嘅房屋呢第一樣嘢你
[00:01:42.160 --> 00:01:43.680]  唔係話考慮到
[00:01:43.680 --> 00:01:48.040]  點樣整領你嘅後院點樣整領你嘅屋因為可能間屋都
[00:01:48.040 --> 00:01:48.800]  似似
[00:01:48.800 --> 00:01:49.820]  似似正正㗎喇
[00:01:49.820 --> 00:01:52.640]  但係通常都好鍾意先起咗呢個為難
[00:01:52.640 --> 00:01:55.460]  一種保護安全感嘅感覺
[00:01:55.460 --> 00:01:56.480]  但係
[00:01:57.520 --> 00:02:00.580]  係咪起咗為難可以讓自己安全呢
[00:02:00.580 --> 00:02:06.200]  所以做人呢我哋會發現到好多時候喺唔同嘅環境光景嘅當中
[00:02:06.200 --> 00:02:07.240]  人呢因為
[00:02:07.240 --> 00:02:08.760]  有種
[00:02:08.760 --> 00:02:11.840]  安穩嘅一種嘅心態呀於是乎呢
[00:02:11.840 --> 00:02:13.880]  就用咗好多種嘅方法
[00:02:13.880 --> 00:02:15.160]  建立好多
[00:02:15.160 --> 00:02:17.480]  自我保障嘅
[00:02:17.480 --> 00:02:20.040]  一啲嘅方式
[00:02:20.040 --> 00:02:22.340]  嚟到去希望能夠
[00:02:22.340 --> 00:02:23.360]  讓自己有份
[00:02:23.360 --> 00:02:25.660]  安舒啲嘅感覺
[00:02:26.180 --> 00:02:28.240]  而其中一樣嘢就係權力
[00:02:28.240 --> 00:02:30.540]  人就好喜歡用一啲
