
[00:00:00.000 --> 00:00:04.580]  先和大家分享一些有關十戒的冷知識
[00:00:04.580 --> 00:00:07.580]  其實聖經裡面是沒有一個
[00:00:07.580 --> 00:00:12.660]  在原文裡面沒有一個名稱是專門講十戒的
[00:00:12.660 --> 00:00:16.000]  而只是在春埃及記是記錄了
[00:00:16.000 --> 00:00:19.160]  神和摩西吩咐的十句話
[00:00:19.160 --> 00:00:21.380]  原文就稱為十言
[00:00:21.380 --> 00:00:23.380]  好像叫做十加七言
[00:00:23.380 --> 00:00:26.420]  就是耶穌新約時代有七言
[00:00:26.420 --> 00:00:28.420]  現在就有十言
[00:00:28.420 --> 00:00:30.960]  英文就叫做 Ten Commandments
[00:00:30.960 --> 00:00:34.360]  而希臘文就叫做 Decalogue
[00:00:34.360 --> 00:00:36.360]  Deca-thon 大家聽過了
[00:00:36.360 --> 00:00:37.880]  十項全能
[00:00:37.880 --> 00:00:39.880]  Logos 大家聽過了
[00:00:39.880 --> 00:00:41.120]  是神的話語
[00:00:41.120 --> 00:00:43.120]  就是十個神的話語
[00:00:43.120 --> 00:00:45.120]  是這樣選擇
[00:00:45.120 --> 00:00:48.620]  那又問一下大家了
[00:00:48.620 --> 00:00:49.620]  十戒
[00:00:49.620 --> 00:00:52.300]  大家在你自己的腦海裡面
[00:00:52.300 --> 00:00:53.800]  在你自己的形象裡面
[00:00:53.800 --> 00:00:56.000]  或者以前所理解
[00:00:56.000 --> 00:00:59.500]  十戒是怎樣分佈在兩塊石板上面的呢
[00:00:59.500 --> 00:01:03.500]  我曾經聽過起碼有三個不同的版本
[00:01:03.500 --> 00:01:06.500]  第一就說頭四戒是向神的
[00:01:06.500 --> 00:01:08.500]  所以就放在一個石板上面
[00:01:08.500 --> 00:01:11.500]  另外第六戒就是向人的
[00:01:11.500 --> 00:01:13.500]  於是就放在另一個石板上面
[00:01:13.500 --> 00:01:16.500]  但是另外有第二個版本就說
[00:01:16.500 --> 00:01:20.000]  不是應該是對稱的五五
[00:01:20.000 --> 00:01:22.000]  就將孝敬父母
[00:01:22.000 --> 00:01:25.000]  就放在頭四戒裡面
[00:01:25.000 --> 00:01:27.000]  頭五戒就放在一起
