
[00:00:00.000 --> 00:00:03.000]  在聆聽主導儀先讓我們一起同心同道
[00:00:03.000 --> 00:00:06.500]  在我們講道之前也同心地禱告
[00:00:06.500 --> 00:00:08.800]  慈悲的天父多謝你
[00:00:08.800 --> 00:00:12.900]  讓我們在聖誕節期間一起再次聚會
[00:00:12.900 --> 00:00:14.800]  慈愛的天父
[00:00:14.800 --> 00:00:19.100]  感謝給我們機會在聖誕之前我們一起聚會
[00:00:19.100 --> 00:00:21.700]  在這個節期期間
[00:00:21.700 --> 00:00:23.300]  讓我們再次默想
[00:00:23.300 --> 00:00:26.800]  你為我們所差離的獨生兒子耶穌基督
[00:00:26.800 --> 00:00:28.900]  在這個聖誕之前
[00:00:28.900 --> 00:00:30.200]  讓我們再次默想
[00:00:30.200 --> 00:00:34.000]  你為我們所差離的獨生兒子耶穌基督
[00:00:34.000 --> 00:00:38.400]  讓我們明白祂所帶來的福氣
[00:00:38.400 --> 00:00:42.000]  讓我們再次明白祂所帶來的福氣
[00:00:42.000 --> 00:00:46.000]  更重要的是讓我們了解如何活在這份福氣當中
[00:00:46.000 --> 00:00:50.200]  特別是讓我們了解如何活在這份福氣當中
[00:00:50.200 --> 00:00:52.500]  讓我們在這份救恩當中
[00:00:52.500 --> 00:00:55.500]  能夠全面活出一個屬主的生命
[00:00:55.900 --> 00:01:00.600]  讓我們在這救恩當中真正活出從神而來的那種生命
[00:01:00.600 --> 00:01:03.900]  求祢今天在我們每一個弟兄姊妹當中
[00:01:03.900 --> 00:01:05.300]  隨著聖靈的引導
[00:01:05.300 --> 00:01:08.400]  求今天在弟兄姊妹當中
[00:01:08.400 --> 00:01:09.800]  有聖靈的引導
[00:01:09.800 --> 00:01:11.100]  明白主祢的教訓
[00:01:11.100 --> 00:01:13.000]  明白主祢的教導
[00:01:13.000 --> 00:01:14.800]  讓我們過一個有意義的聖誕
[00:01:14.800 --> 00:01:17.200]  讓我們過一個有意義的聖誕
[00:01:17.200 --> 00:01:20.400]  同心的禱告奉靠主耶穌得聖名致求
[00:01:20.400 --> 00:01:23.900]  這樣的禱告是奉靠耶穌基督的聖名而求
[00:01:23.900 --> 00:01:24.900]  Amen
[00:01:26.000 --> 00:01:28.100]  來到聖誕節這個節期
[00:01:28.100 --> 00:01:31.700]  現在這個聖誕節的節日裡
[00:01:31.700 --> 00:01:36.500]  通常我們都一定會專注的討論到
[00:01:36.500 --> 00:01:40.400]  或者是專注的看耶穌基督是什麼事情
[00:01:40.400 --> 00:01:45.000]  我們都會專注的看耶穌基督到底是什麼樣的事情
[00:01:45.000 --> 00:01:50.400]  有些人甚至視聖誕為一個耶穌的生日
[00:01:50.400 --> 00:01:52.400]  要為祂開生日會這樣的心態
[00:01:52.900 --> 00:01:57.300]  有的人就認為聖誕就是耶穌基督的生日
[00:01:57.300 --> 00:01:59.000]  這種樣的心態
