
[00:00:00.000 --> 00:00:10.880]  所以那個土人和這個年輕人就開槍殺死了一隻雄獅,打傷了一隻雄獅,有一隻母獅跑走了
[00:00:10.880 --> 00:00:15.040]  所以這個年輕人和那個土人以為說,現在可能沒事情了
[00:00:15.040 --> 00:00:21.360]  我們可以在那個森林裡面去看看我們打死的那只雄獅到底是怎麼樣的
[00:00:21.360 --> 00:00:33.920]  當他們正在不經意地想去看那只雄獅的時候,從樹林裡面那只母獅就衝出來,一下子就抓住那個年輕人,把他按倒在地
[00:00:33.920 --> 00:00:39.680]  那個時候就很危險,那個時候年輕人在那大喊說叫土人開槍
[00:00:39.680 --> 00:00:46.960]  你知道那個時候獅子跟人在一起的時候,你說到底他開槍我能打獅子還打人呢?
[00:00:46.960 --> 00:00:51.920]  並且那個時候不是說獅子幫人按在那個地上就不動,他們兩個都在動
[00:00:51.920 --> 00:01:00.800]  在那個搏鬥的過程裡面,你說誰怎麼去開槍,你說到底開槍打過去是把獅子打死呢?或許就把這個年輕人打死了
[00:01:00.800 --> 00:01:05.200]  那個土人就不知道怎麼開槍,他也不去開槍
[00:01:05.200 --> 00:01:08.800]  結果那個土人想了一個辦法,朝天開了一槍
[00:01:08.800 --> 00:01:19.360]  當那一槍響的時候,那個母獅要抬頭一看,把自己的爪子一松開,那個年輕人就滾到了旁邊的一個溝溝裡面
[00:01:19.360 --> 00:01:28.800]  所以那個時候,那個母獅也無法從溝溝裡面,再下到那個溝溝裡面去傷害那個年輕人,他就離開了
[00:01:28.800 --> 00:01:35.280]  並且這個年輕人被土人帶去,整整用了六個禮拜之後,他的身體才整整地恢復
[00:01:35.280 --> 00:01:41.040]  但是你知道,當這個信息在當地非洲發生的時候也並不奇怪
[00:01:41.040 --> 00:01:48.560]  因為非洲發生這樣的事情經常的,而且很多打獵的人也可能都經常經歷過
[00:01:48.560 --> 00:01:54.960]  但是當這個信息一傳到英格蘭的時候,整個世界就很轟動
[00:01:54.960 --> 00:01:56.560]  為什麼很轟動呢?
[00:01:56.560 --> 00:02:07.600]  轟動的並不是因為說,哎呀,這個年輕的人怎麼樣去打獅子,並且脫離了那個母獅的爪子底下,還可以活著
[00:02:07.600 --> 00:02:15.520]  震驚的是因為,那個年輕人在經歷生死搏鬥的那兩幾個小時裡面
[00:02:15.520 --> 00:02:22.560]  他英格蘭教會的母獅,心裡面的感動,正在跪在那裡為他禱告
[00:02:22.560 --> 00:02:29.600]  各位你知道,這就讓我們可以看到說,一個人的禱告、代禱是那麼的重要
[00:02:29.600 --> 00:02:38.720]  因為你的禱告會帶去奇妙的功效,你的禱告能帶來一個人的生命能存留下來
[00:02:38.720 --> 00:02:44.320]  你的禱告能把一個非常危險的事情能變成平安
[00:02:44.320 --> 00:02:54.560]  更奇妙的是,你知道如果這個年輕人死了,對非洲的福音事業將是一個很大的損失
[00:02:54.560 --> 00:03:03.360]  因為這個年輕人就是非常有名的非洲宣教的人物,叫李溫斯敦
[00:03:03.360 --> 00:03:09.920]  各位你知道,李溫斯敦在整個非洲的宣教非常有名
[00:03:09.920 --> 00:03:18.240]  我不知道你有沒有看到台灣的張永亮寫的一本書,叫《深入非洲三萬里》李溫斯敦
[00:03:18.240 --> 00:03:24.400]  就是他在非洲的整個宣教的足跡,走遍了整個非洲
[00:03:24.400 --> 00:03:29.760]  並且給非洲的福音帶去了很大的祝福和恩典
[00:03:29.760 --> 00:03:38.720]  給整個非洲的那種信仰帶來的復興,是很多的人無法跟他比擬的
[00:03:38.720 --> 00:03:45.840]  但是在座的各位,這個年輕的人能活著
[00:03:45.840 --> 00:03:51.920]  並且這個年輕的人能跟非洲帶去這麼大的祝福
[00:03:51.920 --> 00:04:01.760]  因為那一天晚上,有他的牧師用好幾個小時的時間為他帶到
[00:04:01.760 --> 00:04:12.800]  讓他脫離了牧師的爪子底下,讓他可以等於生存,並且給非洲帶去祝福
[00:04:12.800 --> 00:04:21.120]  並且很多人會覺得說,那到底我怎麼樣才能更好地成為一個帶導者
[00:04:21.120 --> 00:04:27.840]  我怎麼樣讓我的禱告能像這個牧師一樣充滿力量呢?
[00:04:27.840 --> 00:04:36.480]  各位,我們首先去看一段經文,經文在雅各書的五章第十六節
[00:04:36.480 --> 00:04:43.040]  雅各書五章第十六節,聖經講得很清楚,我們大家一起去念
[00:04:43.040 --> 00:04:52.000]  "所以你們要彼此認罪,互相代求,是你們可以得醫治
[00:04:52.000 --> 00:04:57.440]  一人禱告所發的力量是大有功效的"
[00:04:57.440 --> 00:05:04.880]  各位,這段經文裡面講到說,你們要彼此認罪,互相代求,是你們可以得到醫治
[00:05:04.880 --> 00:05:11.520]  他下面那句話很重要說,一人禱告所發的力量是大有功效的
[00:05:11.520 --> 00:05:16.800]  各位,首先我們肯定說,我們如果相信自己是基督徒
[00:05:16.800 --> 00:05:21.120]  如果我們相信自己是有基督的生命在裡面的
[00:05:21.120 --> 00:05:26.080]  我們是相信這位獨一的上帝的,我們一定就是一人
[00:05:26.080 --> 00:05:32.160]  他說,你一人的禱告所發的力量是大有功效的
[00:05:32.160 --> 00:05:35.600]  不管你是彼此認罪,還是互相代求
[00:05:35.600 --> 00:05:42.080]  它都可以使彼此得到幫助,可以得到醫治
[00:05:42.080 --> 00:05:47.520]  那我們到底說,怎麼樣讓我們已經是一人
[00:05:47.520 --> 00:05:52.960]  我們的禱告已經是有力量的,我們的禱告已經是有功效的
[00:05:52.960 --> 00:05:59.360]  那怎麼樣讓我們這樣一個禱告的力量,怎麼樣讓我們這樣禱告的功效
[00:05:59.360 --> 00:06:04.720]  能給別人帶去真正的祝福呢?
[00:06:04.720 --> 00:06:10.080]  各位,如果我們想成為一個有能力的代禱者
[00:06:10.080 --> 00:06:17.440]  如果我們想自己成為一位能真正給別人帶去祝福的代禱者
[00:06:17.440 --> 00:06:20.080]  我們要注意幾個問題
[00:06:20.080 --> 00:06:25.440]  我們怎麼樣的代禱,才能真正給他們帶去祝福呢?
[00:06:25.440 --> 00:06:34.960]  各位,首先我們要對代禱對象的一個認同
[00:06:34.960 --> 00:06:42.560]  你知道一位代禱者,如果向他所代禱的對象不認同的話
[00:06:42.560 --> 00:06:44.560]  你會不會為他禱告?
[00:06:44.560 --> 00:06:49.200]  各位,如果有一個人說,我非常心裡面掛念這個人
[00:06:49.200 --> 00:06:51.520]  我每天都想著為他禱告
[00:06:51.520 --> 00:06:52.560]  說明什麼?
