
[00:00:00.000 --> 00:00:05.400]  弟兄姊妹,各位來賓,早安,新年快樂
[00:00:05.400 --> 00:00:14.500]  今天我所和大家研讀的經文是《羅馬書記》一章一章第十七節
[00:00:14.500 --> 00:00:20.100]  雖然在螢光幕上也印了,但我也常常鼓勵弟兄姊妹可以揭開聖經
[00:00:20.100 --> 00:00:22.700]  其實大家看到你座在下面有聖經的
[00:00:22.700 --> 00:00:29.700]  可以開著聖經一起去研讀陳列說話,是會入腦些,會醒神些,會得著
[00:00:29.700 --> 00:00:31.700]  更加多些
[00:00:31.700 --> 00:00:36.700]  今天我研讀《羅馬書記》的原因除了是因為去年
[00:00:36.700 --> 00:00:42.700]  宗教改革五百年,《羅馬書記》轉了一個非常重要的位置之外
[00:00:42.700 --> 00:00:49.700]  也是今年2018年,以色列國復國七十年
[00:00:49.700 --> 00:00:52.700]  《羅馬書記》裡面有幾章都講到以色列的命運
[00:00:52.700 --> 00:00:59.700]  還有今年我們的年提是什麼呢,我們一起去讀讀,頭四個字是
[00:00:59.700 --> 00:01:05.700]  沒錯,我們為新基督要全家貴主,要全人福音去侍奉神
[00:01:05.700 --> 00:01:07.700]  我們要清楚福音的內容是什麼
[00:01:07.700 --> 00:01:11.700]  《羅馬書記》是一本非常全面的一本書
[00:01:11.700 --> 00:01:15.700]  差不多聖經裡面最重要的一些主題,尤其是講到救恩論
[00:01:15.700 --> 00:01:20.700]  是非常有邏輯仔細地去講解
[00:01:20.700 --> 00:01:25.700]  所以今年我們港台希望能夠將整本《羅馬書記》去研讀
[00:01:25.700 --> 00:01:29.700]  也有幾個牧區同樣會查考《羅馬書記》
[00:01:29.700 --> 00:01:34.700]  保羅是一個偉大的仕途,他很盡力去全人福音
[00:01:34.700 --> 00:01:38.700]  去全福音那種心智,那種能力
[00:01:38.700 --> 00:01:42.700]  真的沒有人可以媲美,連親身跟隨耶穌的水門徒
[00:01:42.700 --> 00:01:48.700]  都可以這麼說,沒有一個像保羅那樣有全福音的心智
[00:01:48.700 --> 00:01:50.700]  他寫《羅馬書記》的原因
[00:01:50.700 --> 00:01:56.700]  是因為他想去到西班牙去全福音
[00:01:56.700 --> 00:01:59.700]  希望羅馬教會能夠幫助他
[00:01:59.700 --> 00:02:03.700]  耶穌基督在復活升天之前
[00:02:03.700 --> 00:02:05.700]  剛才看了一張記載
[00:02:05.700 --> 00:02:08.700]  耶穌向一班門徒去吩咐
[00:02:08.700 --> 00:02:10.700]  就是要將耶穌基督復活的見證
[00:02:10.700 --> 00:02:14.700]  這個福音由耶路撒冷傳到哪裡
[00:02:14.700 --> 00:02:18.700]  地極,我們不要用今天的世界觀去理解地極
[00:02:18.700 --> 00:02:23.700]  當時羅馬世界的人去了解地極就是羅馬帝國的盡邊
[00:02:23.700 --> 00:02:28.700]  而當時羅馬帝國西面的盡邊就是西班牙
[00:02:28.700 --> 00:02:31.700]  我們相信保羅去寫《羅馬書記》的時候
[00:02:31.700 --> 00:02:33.700]  已經完成了所謂的三次宣教旅程
[00:02:33.700 --> 00:02:36.700]  去到一個地步,他覺得還要去哪裡去全福音去開荒呢
[00:02:36.700 --> 00:02:40.700]  以致世界每一個地方都能夠聽見福音
[00:02:40.700 --> 00:02:43.700]  福音能夠傳到地極呢
[00:02:43.700 --> 00:02:45.700]  於是他就想,不如就去西班牙
[00:02:45.700 --> 00:02:47.700]  就是當時世界的地極
[00:02:47.700 --> 00:02:50.700]  即是說,保羅的心智,大家聽著
[00:02:50.700 --> 00:03:10.700]  保羅的心智是要在他在生之年將福音傳到地極
[00:03:10.700 --> 00:03:13.700]  去完成耶穌基督吩咐的使命
[00:03:13.700 --> 00:03:14.700]  偉不偉大呀
[00:03:14.700 --> 00:03:17.700]  我們今天都不敢說
[00:03:17.700 --> 00:03:19.700]  以教會今天的財力物力
[00:03:19.700 --> 00:03:21.700]  教會基督教今天的影響力
[00:03:21.700 --> 00:03:22.700]  各樣的科技
[00:03:22.700 --> 00:03:24.700]  我們都不敢說我們可以在今天
[00:03:24.700 --> 00:03:26.700]  我們在生之年將福音傳到地極
[00:03:26.700 --> 00:03:29.700]  但是保羅他當時的心智
[00:03:29.700 --> 00:03:33.700]  就是要將福音傳到地極
[00:03:33.700 --> 00:03:35.700]  所以他說既然沒有地方可以再傳
[00:03:35.700 --> 00:03:37.700]  不如我就索性去到西班牙
[00:03:37.700 --> 00:03:41.700]  但他知道當時沒有我們所謂的飛機
[00:03:41.700 --> 00:03:44.700]  汽車,各樣的方便交通工具
[00:03:44.700 --> 00:03:46.700]  更加沒有先進的地圖
[00:03:46.700 --> 00:03:48.700]  GPS帶著他怎樣行路等等
[00:03:48.700 --> 00:03:52.700]  他需要在中途有人去幫助他
[00:03:52.700 --> 00:03:54.700]  所以見到羅馬教會
[00:03:54.700 --> 00:03:57.700]  是整個羅馬帝國的政治
[00:03:57.700 --> 00:04:00.700]  以及在位置上都是一個很理想的地方
[00:04:00.700 --> 00:04:03.700]  讓保羅去到那裏說服羅馬教會
[00:04:03.700 --> 00:04:08.700]  去支持他參與西班牙宣教工作
[00:04:08.700 --> 00:04:12.700]  但羅馬教會並不是保羅自己去建立的
[00:04:12.700 --> 00:04:14.700]  似乎有人認為是
[00:04:14.700 --> 00:04:17.700]  《詩唐傳》第二章講到聖靈降臨
[00:04:17.700 --> 00:04:18.700]  一班使徒去講方言
[00:04:18.700 --> 00:04:20.700]  然後將福音傳開
[00:04:20.700 --> 00:04:24.700]  當時是很多人來自羅馬帝國不同地方
[00:04:24.700 --> 00:04:25.700]  去到耶路撒冷的朝聖
