
[00:00:00.000 --> 00:00:06.080]  上星期跟大家思想過為何要工作
[00:00:06.080 --> 00:00:10.320]  我提到工作可以有五方面的意義
[00:00:10.320 --> 00:00:13.640]  為生活、為興趣、為改造社會
[00:00:13.640 --> 00:00:16.200]  又可以為完成上主的信神
[00:00:16.200 --> 00:00:19.840]  和完成上主的使命
[00:00:19.840 --> 00:00:24.000]  最重要的是五層意義不是互相排斥的
[00:00:24.000 --> 00:00:26.840]  你可以有多重的意義
[00:00:26.840 --> 00:00:29.920]  上星期有一位小妹散會後
[00:00:29.920 --> 00:00:34.000]  告訴我丈夫的工作有五方面的意義
[00:00:34.000 --> 00:00:37.040]  感謝主
[00:00:37.040 --> 00:00:39.920]  今日定的講題不是我定的
[00:00:39.920 --> 00:00:41.360]  經文不是我選的
[00:00:41.360 --> 00:00:44.080]  仍然是和工作有關
[00:00:44.080 --> 00:00:50.200]  就是工作上會遇到的問題、掙扎和煩惱
[00:00:50.200 --> 00:00:53.920]  工作上會有甚麼問題、掙扎和煩惱呢?
[00:00:53.920 --> 00:00:59.560]  以我自己的經驗來說,工作本身的問題不多
[00:00:59.560 --> 00:01:02.080]  我從前做過會計
[00:01:02.080 --> 00:01:05.120]  會計的工作可以說是比較沉悶
[00:01:05.120 --> 00:01:09.600]  但沒有甚麼大問題可以令我很煩惱
[00:01:09.600 --> 00:01:13.160]  我相信工作上大部份的問題
[00:01:13.160 --> 00:01:16.880]  其實是從人來的
[00:01:16.880 --> 00:01:19.480]  有人的地方就有問題
[00:01:19.480 --> 00:01:28.000]  人就是問題的來源
[00:01:28.000 --> 00:01:31.640]  自古以來都是一樣
[00:01:31.640 --> 00:01:34.240]  不同的文化都是一樣
[00:01:34.240 --> 00:01:38.960]  今天我們會看《傳道書》第四章
[00:01:38.960 --> 00:01:40.800]  看看三千年前
[00:01:40.800 --> 00:01:46.360]  傳道者在猶太社會觀察到的問題是甚麼
[00:01:46.360 --> 00:01:52.640]  我們可以比喻一下我們今天的社會是否有同樣的問題
[00:01:52.640 --> 00:01:54.960]  在第四章第一節
[00:01:54.960 --> 00:01:57.000]  傳道者說
[00:01:57.000 --> 00:02:00.440]  「我又察看著世上一切不公平的事
[00:02:00.440 --> 00:02:02.760]  被欺壓的人流淚哭泣
[00:02:02.760 --> 00:02:04.320]  沒有人援助他們
[00:02:04.320 --> 00:02:06.560]  使他們得不到援助
[00:02:06.560 --> 00:02:13.160]  因為欺壓他們的人有權有勢」
[00:02:13.160 --> 00:02:18.320]  在一般的工作場所都一定會有層級的制度
[00:02:18.320 --> 00:02:20.320]  如果有層級的話
[00:02:20.320 --> 00:02:23.160]  在高位有權的人
[00:02:23.160 --> 00:02:29.560]  就可能會濫用權力欺壓下級的人
[00:02:29.560 --> 00:02:32.000]  在下級其他的人
[00:02:32.000 --> 00:02:36.840]  會不會幫助那位被欺壓的人呢?
[00:02:36.840 --> 00:02:39.240]  我想有些是不敢
[00:02:39.240 --> 00:02:41.560]  有些是有心無力
[00:02:41.560 --> 00:02:43.680]  正如傳道者說
[00:02:43.680 --> 00:02:46.160]  「他們得不到援助
[00:02:46.160 --> 00:02:49.920]  因為欺壓他們的人有權有勢」
[00:02:49.920 --> 00:02:53.520]  我記得師母以前的上司有權
[00:02:53.520 --> 00:02:55.000]  但是很難相處
[00:02:55.000 --> 00:02:58.240]  所以師母幾乎每天回來都跟我訴苦
[00:02:58.240 --> 00:03:00.240]  有一次搞到我晚上發呆
[00:03:00.240 --> 00:03:04.600]  都是跟我訴苦有關上司的問題
[00:03:04.600 --> 00:03:08.440]  這個是社會的制度
[00:03:08.440 --> 00:03:13.440]  在下級的差不多可以說一定會被人欺壓
[00:03:13.440 --> 00:03:15.400]  我又想到在中國
