
[00:00:00.000 --> 00:00:03.000]  各位大兄姊妹
[00:00:03.000 --> 00:00:05.800]  無論在現場還是在家裡
[00:00:05.800 --> 00:00:07.000]  願您平安
[00:00:07.000 --> 00:00:11.000]  過了新年不久
[00:00:11.000 --> 00:00:18.000]  我們繼續仰望神的新年
[00:00:18.000 --> 00:00:23.000]  剛才我們說敬拜裡
[00:00:23.000 --> 00:00:28.000]  無論地多麼黑暗
[00:00:28.000 --> 00:00:34.000]  我們仍然盼望、相信神的國度、臨到
[00:00:34.000 --> 00:00:40.000]  我們繼續要呼求主的大能在城市裡彰顯
[00:00:40.000 --> 00:00:48.000]  如果要神的能力、大能、恩慈在地圖裡彰顯
[00:00:48.000 --> 00:00:51.000]  我相信不僅是神做事
[00:00:51.000 --> 00:00:52.000]  人也要配合
[00:00:52.000 --> 00:00:54.000]  很多工作我們也要一起
[00:00:54.000 --> 00:00:58.000]  所以我想主一直在呼喚我們
[00:00:58.000 --> 00:01:01.000]  無論我們在尋求裡
[00:01:01.000 --> 00:01:05.000]  或者在給我們的工作裡
[00:01:05.000 --> 00:01:07.000]  我們也在做
[00:01:07.000 --> 00:01:09.000]  主叫我們圈地
[00:01:09.000 --> 00:01:11.000]  我們要去不同的地方服事
[00:01:11.000 --> 00:01:15.000]  在這個空間裡工作
[00:01:15.000 --> 00:01:17.000]  我相信服事
[00:01:17.000 --> 00:01:21.000]  或者我們看見很近的鑽石山新發展區
[00:01:21.000 --> 00:01:26.000]  或者遠處看不到的錦田諸如此類
[00:01:26.000 --> 00:01:29.000]  或者油麻地、深水埗諸如此類
[00:01:29.000 --> 00:01:31.000]  我們都有份參與的地方
[00:01:31.000 --> 00:01:34.000]  我相信主繼續在呼喚我們
[00:01:34.000 --> 00:01:36.000]  在這個困難的處境裡
[00:01:36.000 --> 00:01:38.000]  我們繼續去服事
[00:01:38.000 --> 00:01:40.000]  今天要選的這段經文
[00:01:40.000 --> 00:01:44.000]  繼續是路加科音的其中一個選段
[00:01:44.000 --> 00:01:47.000]  這段經文是廣為人知的
[00:01:47.000 --> 00:01:50.000]  是一個大家很熟悉的故事
[00:01:50.000 --> 00:01:54.000]  一個好撒瑪利亞人的比喻
[00:01:54.000 --> 00:01:56.000]  我相信這個比喻
[00:01:56.000 --> 00:01:58.000]  沒有什麼人沒聽過
