
[00:00:00.000 --> 00:00:03.260]  各位鄧兄姊妹 早安 各位平安
[00:00:03.260 --> 00:00:07.480]  今天的講題是「常常燒著的火」
[00:00:07.480 --> 00:00:11.460]  我想起BBQ的話
[00:00:11.460 --> 00:00:17.560]  大家有沒有什麼方法可以保持BBQ的火是常常燒著的呢?
[00:00:17.560 --> 00:00:22.240]  有沒有人自認自己是燒烤的專家呢?
[00:00:22.240 --> 00:00:24.000]  這樣好像很驕傲
[00:00:24.000 --> 00:00:28.200]  大家平常燒烤的時候有沒有什麼方法呢?
[00:00:28.200 --> 00:00:32.000]  先問問 加壓 加燙
[00:00:32.000 --> 00:00:33.800]  還有沒有其他方法呢?
[00:00:33.800 --> 00:00:37.120]  噗火 這邊聽到有些噗火
[00:00:37.120 --> 00:00:40.280]  其實我不是一個專家
[00:00:40.280 --> 00:00:43.600]  通常都是等人幫忙設好爐
[00:00:43.600 --> 00:00:45.880]  但我上網搜尋
[00:00:45.880 --> 00:00:49.080]  如果BBQ要透爐的話
[00:00:49.080 --> 00:00:51.440]  有什麼秘訣呢?
[00:00:51.440 --> 00:00:53.680]  其實有很多方法
[00:00:53.680 --> 00:01:00.240]  簡單來說 因為火是有個火三角的東西
[00:01:00.240 --> 00:01:02.160]  如果大家有學過
[00:01:02.160 --> 00:01:06.120]  火三角就是要有足夠的燃料
[00:01:06.120 --> 00:01:09.480]  要有足夠的溫度 要有足夠的氧氣
[00:01:09.480 --> 00:01:11.520]  所以剛才大家講的方法
[00:01:11.520 --> 00:01:14.800]  其實都是在應對這些火三角不同的元素
[00:01:14.800 --> 00:01:17.480]  例如燃料就是加壓
[00:01:17.480 --> 00:01:22.360]  這邊的噗火就是要保持通風和氧氣
[00:01:22.360 --> 00:01:24.200]  有不同的方法
[00:01:24.200 --> 00:01:28.480]  其實都是在講我們要預備一個合適的環境
[00:01:28.480 --> 00:01:32.480]  去讓火去生存或者更加旺盛
[00:01:32.480 --> 00:01:37.400]  而踏入五月 教會都很積極地在預備夏令會
[00:01:37.400 --> 00:01:42.320]  同時不單止我們自己去預備一些事務性的東西
[00:01:42.320 --> 00:01:47.680]  其實我們都很想弟兄姊妹一同去預備我們一個環境
[00:01:47.680 --> 00:01:50.160]  我們心靈的環境去預備
[00:01:50.160 --> 00:01:52.160]  一起去迎接夏令會
[00:01:52.160 --> 00:01:56.080]  所以如果大家有留意貓子的話
[00:01:56.080 --> 00:02:01.440]  就應該見到其實貓子都邀請大家去預備自己的心靈
[00:02:01.440 --> 00:02:03.520]  去花多些時間去禱告
[00:02:03.520 --> 00:02:05.280]  花些時間去預備我們的
[00:02:05.280 --> 00:02:08.120]  可能是花些時間
[00:02:08.120 --> 00:02:11.080]  分別為性地去同時去禱告
[00:02:11.080 --> 00:02:13.960]  所以不如我們這一刻都一起去祈禱
[00:02:13.960 --> 00:02:20.680]  「差主 多謝你賜下你很寶貴的話語」
[00:02:20.680 --> 00:02:22.320]  「神啊 願意我們這一刻」
[00:02:22.320 --> 00:02:25.120]  「當我們回到這個禮堂裏面」
[00:02:25.120 --> 00:02:27.680]  「我們將這個時間分別為性給你」
[00:02:27.680 --> 00:02:30.840]  「並且我們都在預備我們的心靈」
[00:02:30.840 --> 00:02:34.720]  「願意我們真的能夠在今天去聆聽」
[00:02:34.720 --> 00:02:36.520]  「上主你自己的話語」
[00:02:36.520 --> 00:02:37.720]  「所以主 多謝你」
[00:02:37.720 --> 00:02:40.520]  「求你去開我們的耳 開我們的眼」
[00:02:40.520 --> 00:02:43.680]  「祈禱系奉主明求 阿門」
[00:02:43.680 --> 00:02:47.880]  今天的經文就在利美記
[00:02:47.880 --> 00:02:50.800]  我不知道大家對利美記這個書卷
[00:02:50.800 --> 00:02:54.440]  其實有甚麼印象
[00:02:54.440 --> 00:02:56.880]  可能大家一聽的時候就會覺得
[00:02:56.880 --> 00:02:59.720]  會不會是一個好像很累贅
[00:02:59.720 --> 00:03:02.200]  很冗長 篇幅很長
[00:03:02.200 --> 00:03:05.600]  又或者是很多憲制的條例
[00:03:05.600 --> 00:03:09.000]  或者對於祭司的條例
[00:03:09.000 --> 00:03:13.200]  於是就會想 祭司即是領袖
[00:03:13.200 --> 00:03:14.840]  是侍奉人員
[00:03:14.840 --> 00:03:17.240]  好像不是很關我事
[00:03:17.240 --> 00:03:21.280]  只是想回來參與崇拜
[00:03:21.280 --> 00:03:24.000]  但相信大家都有聽過
[00:03:24.000 --> 00:03:26.600]  信徒皆祭司
[00:03:26.600 --> 00:03:29.160]  正如我們之前也有分享過
[00:03:29.160 --> 00:03:30.600]  彼得前書第二章也說
[00:03:30.600 --> 00:03:32.720]  我們是君尊的祭司
[00:03:32.720 --> 00:03:35.240]  但除了這個原因之外
[00:03:35.240 --> 00:03:36.160]  第二個原因
[00:03:36.160 --> 00:03:39.240]  為何這段經文與我們有關
[00:03:39.240 --> 00:03:41.320]  是因為其實在利美記
[00:03:41.320 --> 00:03:44.360]  由第一章到第六到七節
[00:03:44.360 --> 00:03:46.600]  是講述不同的祭
[00:03:46.600 --> 00:03:49.080]  然後到第六章第八節
[00:03:49.080 --> 00:03:51.040]  即是我們今天讀的經文
[00:03:51.040 --> 00:03:54.240]  又再開始講述五祭
[00:03:54.240 --> 00:03:56.600]  就好像在重複一樣
[00:03:56.600 --> 00:04:00.120]  但如果我們細心看的話
[00:04:00.120 --> 00:04:02.720]  其實會看到頭幾章
[00:04:02.720 --> 00:04:05.480]  特別是對會眾講
[00:04:05.480 --> 00:04:08.400]  讓這群要獻祭的人
[00:04:08.400 --> 00:04:12.080]  他們知道自己要怎樣去獻祭
[00:04:12.080 --> 00:04:14.520]  而第二次 即是第六章第八節
[00:04:14.520 --> 00:04:16.960]  這裡所謂重複的時候
[00:04:16.960 --> 00:04:19.480]  其實是對祭司講的
[00:04:19.480 --> 00:04:21.240]  於是你就會想
[00:04:21.240 --> 00:04:25.000]  是呀 那不就是只對祭司講
[00:04:25.000 --> 00:04:27.480]  但是有學者指出
[00:04:27.480 --> 00:04:29.600]  其實他們研究了發現
[00:04:29.600 --> 00:04:32.920]  其實利美記現在的場景
[00:04:32.920 --> 00:04:39.240]  其實是神當著一群會眾對祭司講
[00:04:39.240 --> 00:04:42.200]  所以不是一個閉門造車的狀況
[00:04:42.200 --> 00:04:46.080]  不是叫祭司來 我們只是這樣談
[00:04:46.080 --> 00:04:49.600]  而是當著所有會眾講
[00:04:49.600 --> 00:04:53.080]  而為什麼要這樣當著所有會眾講
[00:04:53.080 --> 00:04:55.320]  不是一個閉門造車的狀況
[00:04:55.320 --> 00:04:58.160]  就是因為這句說話是很重要
[00:04:58.160 --> 00:05:02.120]  並且很想大家都知道神的說話
[00:05:02.120 --> 00:05:05.400]  所以相對於其實是說
[00:05:05.400 --> 00:05:07.240]  祭司條例或者獻祭條例
[00:05:07.240 --> 00:05:09.400]  很一字一句
[00:05:09.400 --> 00:05:14.160]  其實利美記更想讓以色列人知道
[00:05:14.160 --> 00:05:17.800]  他們自己怎樣可以與神建立關係
