
[00:00:00.000 --> 00:00:02.480]  各位姐妹,我們又來讀聖經啦
[00:00:02.480 --> 00:00:05.840]  很快又一天了,二十多小時了
[00:00:05.840 --> 00:00:09.280]  《生命說書》的網絡繼續跟大家聖經人聖經事
[00:00:09.280 --> 00:00:11.320]  今次繼續講《施洗約翰》
[00:00:11.320 --> 00:00:14.920]  《施洗約翰》說我解鞋打也不配
[00:00:14.920 --> 00:00:18.000]  嘩,是什麼來的呢?解鞋打也不配
[00:00:18.000 --> 00:00:19.520]  好,先看看
[00:00:19.520 --> 00:00:24.200]  我先讀綠色字,即是說是參考來的
[00:00:24.200 --> 00:00:26.080]  《馬可福音》第一章
[00:00:26.080 --> 00:00:31.640]  趙者說約翰來了,馬可說約翰是施洗約翰
[00:00:31.640 --> 00:00:37.320]  來了,在曠野施洗,由於他在曠野施洗,所以叫施洗約翰
[00:00:37.320 --> 00:00:44.360]  他傳悔改的洗禮,使罪得赦
[00:00:44.360 --> 00:00:49.760]  留意這個第五節,猶太傳遞和耶路撒冷的人
[00:00:49.760 --> 00:00:58.440]  都出去,到約翰那裡承認他們的罪
[00:00:58.440 --> 00:01:02.480]  在約翰河裡受他的洗,這個洗是什麼洗呀?
[00:01:02.480 --> 00:01:05.640]  悔改的洗禮,先講這個
[00:01:05.640 --> 00:01:09.560]  施洗約翰的洗禮是悔改的洗禮
[00:01:09.560 --> 00:01:15.160]  我們今天的洗禮,在教會的洗禮不是悔改的洗禮
[00:01:15.160 --> 00:01:20.120]  今天是與主聯合的洗禮,意義不同
[00:01:20.120 --> 00:01:22.200]  悔改的洗禮意思是什麼呢?
[00:01:22.200 --> 00:01:26.360]  就是我做了很多壞事,犯了很多罪
[00:01:26.360 --> 00:01:28.960]  你悔改吧,好,我現在悔改了
[00:01:28.960 --> 00:01:33.080]  你見我完全一樣,沒有改變,你怎知道我悔改了呢?
[00:01:33.080 --> 00:01:36.520]  於是就要做一個儀式
[00:01:36.520 --> 00:01:41.120]  猶太人喜歡做的儀式就是用洗禮來做的
[00:01:41.120 --> 00:01:43.320]  就是表達我的悔改
[00:01:43.320 --> 00:01:46.240]  可以用洗禮來表達別的東西嗎?
[00:01:46.240 --> 00:01:49.680]  可以的,不過這次叫做悔改的洗禮
[00:01:49.680 --> 00:01:51.880]  所以這個洗禮是表示悔改
[00:01:51.880 --> 00:01:55.840]  現在這個是悔改的洗禮,悔改的人就來受洗吧
[00:01:55.840 --> 00:01:59.440]  那就來吧,就是這個意思,悔改的人就來吧
[00:01:59.440 --> 00:02:05.240]  我去到約翰河,都會與一些大家有興趣的
[00:02:05.240 --> 00:02:08.440]  或者有心的,都可以做一個洗禮
[00:02:08.440 --> 00:02:12.000]  譬如我以前只不過是灑水,我很想有一個浸禮
[00:02:12.000 --> 00:02:18.600]  又或者我想用洗禮來代表我有一個內心的立志
[00:02:18.600 --> 00:02:20.800]  這個立志就是悔改
[00:02:20.800 --> 00:02:24.200]  我的立志就是我要怎樣怎樣怎樣
[00:02:24.200 --> 00:02:25.680]  你不用告訴我
[00:02:25.680 --> 00:02:29.480]  我就是弟兄姊妹來到水裏面
[00:02:29.480 --> 00:02:33.680]  上帝呀,這位弟兄這位姊妹,她心裏面有一個心意
[00:02:33.680 --> 00:02:36.280]  她要與你講,她要與你立志
[00:02:36.280 --> 00:02:41.080]  我現在用這個洗禮來表達她的立志
[00:02:41.080 --> 00:02:44.720]  弟兄姊妹,你是否願意受洗
[00:02:44.720 --> 00:02:49.400]  受浸,來表達你內心的誠意和心願呢?
[00:02:49.400 --> 00:02:52.280]  是,這個心願是上帝知道的
[00:02:52.280 --> 00:02:54.800]  你自己與她立志,不需要告訴我
[00:02:54.800 --> 00:02:59.080]  好,現在我為你施洗,表達你做這個決志
[00:02:59.080 --> 00:03:02.200]  浸禮,就是這樣
[00:03:02.200 --> 00:03:07.200]  當然是悔改,就好像用一個禮去表達
[00:03:07.200 --> 00:03:11.280]  哎呀,這個小刀刀到這樣,家破人亡
[00:03:11.280 --> 00:03:13.280]  還刀不刀呀?不刀了
[00:03:13.280 --> 00:03:15.200]  真的不刀了嗎?不刀了
[00:03:15.200 --> 00:03:19.280]  好,做一樣東西,做個禮來看看,什麼禮呢?
[00:03:19.280 --> 00:03:20.480]  斬手指呀
[00:03:20.480 --> 00:03:24.800]  好,我斬了手指尾,表示我真的不刀了
[00:03:24.800 --> 00:03:27.080]  可能很快手指都斬光了
[00:03:27.080 --> 00:03:32.480]  斬,這個斬手指戒刀,其實是做一個禮
[00:03:32.480 --> 00:03:36.280]  去表達我真的有這個立志
[00:03:36.280 --> 00:03:39.080]  立志悔改,就是做一個洗禮
[00:03:39.080 --> 00:03:42.080]  施洗約翰做的洗禮,就是悔改的洗禮
[00:03:42.080 --> 00:03:44.680]  是為他們受洗,是承認他們的罪
[00:03:44.680 --> 00:03:47.280]  你想不到,很多人都去
[00:03:47.280 --> 00:03:51.280]  猶太傳地和耶路撒冷的人,都出去
[00:03:51.280 --> 00:03:53.280]  這個都,是不是全部呢?
[00:03:53.280 --> 00:03:56.280]  其實是說很多人的意思
[00:03:56.280 --> 00:04:01.280]  好,回到約翰福音,看看這個司徒約翰怎麼說施洗約翰
[00:04:01.280 --> 00:04:06.280]  那些人是法利塞人差來的,就是昨天說的那些
[00:04:06.280 --> 00:04:11.280]  祭司和利未人,還沒完的,繼續下去的
[00:04:11.280 --> 00:04:14.280]  那些人是法利塞人差來的,就問他
[00:04:14.280 --> 00:04:19.280]  你既不是基督,又不是伊利亞,又不是那個先知
[00:04:19.280 --> 00:04:22.280]  那你為什麼要和人家施洗呀?
[00:04:22.280 --> 00:04:27.280]  於是在這裡就已經有一個前設
