
[00:00:00.000 --> 00:00:04.960]  好,結婚就要簽婚書
[00:00:04.960 --> 00:00:08.720]  這個都是我們知道的事
[00:00:08.720 --> 00:00:11.920]  原來除了一紙婚書之外
[00:00:11.920 --> 00:00:15.560]  近年其實還流行一件事
[00:00:15.560 --> 00:00:19.360]  就是簽這個婚姻協議書
[00:00:19.360 --> 00:00:21.840]  婚姻協議書,大家知不知道是甚麼
[00:00:21.840 --> 00:00:28.080]  就是婚前,可以在婚前或婚後簽訂的契約
[00:00:28.080 --> 00:00:32.240]  這個契約就是定明一旦離婚之後
[00:00:32.240 --> 00:00:37.760]  雙方要負甚麼責任,有甚麼權益
[00:00:37.760 --> 00:00:41.520]  一般其實主要都是集中在財產的分配
[00:00:41.520 --> 00:00:44.640]  以及善養安排上
[00:00:44.640 --> 00:00:49.200]  簽這些婚姻協議書就好像越來越普遍
[00:00:49.200 --> 00:00:50.800]  為甚麼這樣說呢
[00:00:50.800 --> 00:00:54.520]  就是因為這些婚姻協議書的範本
[00:00:54.520 --> 00:00:58.800]  連淘寶也有得賣,真是厲害
[00:00:58.800 --> 00:01:02.280]  淘寶真的是一個偉大的發明
[00:01:02.280 --> 00:01:04.720]  很多東西都可以在上面買到
[00:01:04.720 --> 00:01:10.200]  據說上面的條款背後還有律師團隊
[00:01:10.200 --> 00:01:14.520]  那些條款種類繁多,應有盡有
[00:01:14.520 --> 00:01:19.160]  任君選擇,而且價錢還很便宜
[00:01:19.160 --> 00:01:20.760]  幾十元都有交易
[00:01:20.760 --> 00:01:23.920]  太便宜的十元八元,你不要理它
[00:01:23.920 --> 00:01:26.560]  幾十元有交易
[00:01:26.560 --> 00:01:30.240]  這些協議書其實對一些有錢人
[00:01:30.240 --> 00:01:34.000]  一些名人其實特別有用
[00:01:34.000 --> 00:01:37.680]  幾年前周星馳打了我
[00:01:37.680 --> 00:01:40.880]  他演戲的時候,你們應該出世了
[00:01:40.880 --> 00:01:47.880]  周星馳跟他的前女友于文鳳打了一場官司
[00:01:47.880 --> 00:01:52.560]  于文鳳入稟追討周星馳
[00:01:52.560 --> 00:01:57.760]  是七千萬的投資佣金
[00:01:57.760 --> 00:02:00.760]  向他追討七千萬的投資佣金
[00:02:00.760 --> 00:02:05.480]  這種訴訟原來前前後後持續了十年
[00:02:05.480 --> 00:02:09.840]  爭議點是兩個人之間的口頭承諾
[00:02:09.840 --> 00:02:14.800]  到底是否據法律效力的商業協議
[00:02:14.800 --> 00:02:19.960]  還是情侶間之間的送贈
[00:02:19.960 --> 00:02:23.720]  結果是怎樣,大家知道嗎?記不記得?
[00:02:23.720 --> 00:02:26.520]  就是女方敗訴
[00:02:26.520 --> 00:02:30.920]  法庭認為他們兩個人之間是情侶的關係
[00:02:30.920 --> 00:02:35.440]  所以協議的措辭是很含糊的
[00:02:35.440 --> 00:02:43.240]  而且女方自稱獲得任何投資利潤的百分之十
[00:02:43.240 --> 00:02:49.440]  卻不需要承擔任何投資的風險和損失
[00:02:49.440 --> 00:02:53.280]  這在一般商業協議中是不合理的
[00:02:53.280 --> 00:02:55.400]  也不會這樣定的
[00:02:55.400 --> 00:02:58.760]  另外就是女方索償的款項
[00:02:58.760 --> 00:03:04.240]  大部分是來自周星馳自注的物業
[00:03:04.240 --> 00:03:08.320]  既然是自注,即不是投資,沒有利潤
[00:03:08.320 --> 00:03:12.000]  于文鳳亦不是物業交易的中介人
[00:03:12.000 --> 00:03:16.520]  所以法庭裁定他們雙方沒有一個
