
[00:00:00.000 --> 00:00:02.000]  希伯來書第十二章
[00:00:02.000 --> 00:00:07.520]  我想再看一看第十二章的第一節
[00:00:07.520 --> 00:00:09.020]  我一起再讀一次好嗎
[00:00:09.020 --> 00:00:12.560]  我們既有者許多的見證人
[00:00:12.560 --> 00:00:14.980]  如同雲彩圍着我們
[00:00:14.980 --> 00:00:17.540]  就當放下各樣的重擔
[00:00:17.540 --> 00:00:19.540]  脫去容易潛略我們的罪
[00:00:19.540 --> 00:00:23.940]  全心忍耐奔那奔在我們前頭的路程
[00:00:23.940 --> 00:00:25.940]  我們既有者許多的是什麼話
[00:00:25.940 --> 00:00:28.940]  好,你跟旁邊的人說,你是見證人啊
[00:00:29.920 --> 00:00:31.920]  你是見證人
[00:00:31.920 --> 00:00:33.920]  你是見證人
[00:00:33.920 --> 00:00:35.920]  不過請留意,兄弟姐妹
[00:00:35.920 --> 00:00:37.920]  如果你的聖經是讀到上文下
[00:00:37.920 --> 00:00:39.920]  你會知道,牧師找我份的
[00:00:39.920 --> 00:00:41.920]  前面那一章的見證人
[00:00:41.920 --> 00:00:43.920]  其實在當日,死光了嗎
[00:00:43.920 --> 00:00:45.920]  哎呀這麼不老禮啊
[00:00:45.920 --> 00:00:47.920]  唐慶講死光了
[00:00:47.920 --> 00:00:49.920]  不過反過來一件事
[00:00:49.920 --> 00:00:51.920]  我們終有一日都會成爲別人生命的見證人
[00:00:51.920 --> 00:00:53.920]  這個更緊要
[00:00:53.920 --> 00:00:55.920]  回到聖經的序述裏面
[00:00:55.920 --> 00:00:57.920]  在十二章前面
[00:00:57.920 --> 00:00:59.920]  在希伯來書裏面
[00:00:59.920 --> 00:01:01.920]  講關於信心的問題
[00:01:01.920 --> 00:01:03.920]  他講到信就是所望之事的實體
[00:01:03.920 --> 00:01:05.920]  是未見之事的確具
[00:01:05.920 --> 00:01:07.920]  在十一章第二節這樣說
[00:01:07.920 --> 00:01:09.920]  古人在這信上得了美好的證據
[00:01:09.920 --> 00:01:11.920]  因爲這樣的緣故
[00:01:11.920 --> 00:01:13.920]  在十一章全章裏面,希伯來書一直在序述
[00:01:13.920 --> 00:01:15.920]  歷世歷代那些人
[00:01:15.920 --> 00:01:17.920]  怎麼經歷信啊
[00:01:17.920 --> 00:01:19.920]  他的信心如何,然後去到我剛剛一起讀出的
[00:01:19.920 --> 00:01:21.920]  十二章第一節
[00:01:21.920 --> 00:01:23.920]  我們既有者許多的是什麼話
[00:01:23.920 --> 00:01:25.920]  見證人,哇真的哦
[00:01:25.920 --> 00:01:27.920]  見證人已經不在了
[00:01:27.920 --> 00:01:29.920]  就像我剛剛那樣說
[00:01:29.920 --> 00:01:31.920]  有一日我們的生命就成爲這些見證人
[00:01:31.920 --> 00:01:33.920]  讓我們下一代繼續經歷
[00:01:33.920 --> 00:01:35.920]  但是同樣地,有一日我們的生命
[00:01:35.920 --> 00:01:37.920]  在我們仍然在生的時候
[00:01:37.920 --> 00:01:39.920]  都成爲那個見證人
[00:01:39.920 --> 00:01:41.920]  讓人因着愛的緣故得造就
[00:01:41.920 --> 00:01:43.920]  所以爲什麼在今天裏面
[00:01:43.920 --> 00:01:45.920]  穆斯林今天借了點意
[00:01:45.920 --> 00:01:47.920]  講道講少一點
[00:01:47.920 --> 00:01:49.920]  不好意思我怕你一點都沒散場
[00:01:49.920 --> 00:01:51.920]  都繼續講道的
[00:01:51.920 --> 00:01:53.920]  找了很多人來頂了他,不是的
[00:01:53.920 --> 00:01:55.920]  事實上,有些特別重要是講
[00:01:55.920 --> 00:01:57.920]  我們自從搬離
[00:01:57.920 --> 00:01:59.920]  海爾花園之後才受洗的弟兄姊妹
[00:01:59.920 --> 00:02:01.920]  一般相對我們來說
[00:02:01.920 --> 00:02:03.920]  是在屬靈裏面
[00:02:03.920 --> 00:02:05.920]  屬靈裏面不是年紀
[00:02:05.920 --> 00:02:07.920]  屬靈裏面教會的年資可能是比你年幼
[00:02:07.920 --> 00:02:09.920]  但是神都一樣
[00:02:09.920 --> 00:02:11.920]  更何況如果
[00:02:11.920 --> 00:02:13.920]  我們比他們更早信耶穌
[00:02:13.920 --> 00:02:15.920]  更早已經受洗教會的話
[00:02:15.920 --> 00:02:17.920]  我們豈不
[00:02:17.920 --> 00:02:19.920]  更要努力提醒自己
[00:02:19.920 --> 00:02:21.920]  我們都成爲
[00:02:21.920 --> 00:02:23.920]  神的見證人
[00:02:23.920 --> 00:02:25.920]  因着有很多這樣的人
