
[00:00:00.000 --> 00:00:01.660]  由去年一月開始
[00:00:01.660 --> 00:00:05.840]  我們一直在研讀《馬可福音》
[00:00:05.840 --> 00:00:10.560]  我們講到系列的總題叫做「非凡的見證」
[00:00:10.560 --> 00:00:13.300]  不因為馬可是一個非凡的作者
[00:00:13.300 --> 00:00:18.560]  而是因為主耶穌基督是一個非凡的救主
[00:00:18.560 --> 00:00:20.340]  今天我們要講的經文是
[00:00:20.340 --> 00:00:23.660]  《馬可福音》第八章第二十二至二十三節
[00:00:23.660 --> 00:00:26.000]  我們講到的題目是
[00:00:26.000 --> 00:00:32.360]  核子彼得的比喻
[00:00:32.360 --> 00:00:36.520]  如果我們將今天的編導變成一齣舞台劇
[00:00:36.520 --> 00:00:39.200]  這套舞台劇將會有三幕
[00:00:39.200 --> 00:00:43.540]  在第一幕裏面有一個盲人來找耶穌
[00:00:43.540 --> 00:00:45.700]  經過第一輪的醫治之後
[00:00:45.700 --> 00:00:52.120]  這個盲人見仁好仗樹木需要主耶穌基督第二次
[00:00:52.120 --> 00:00:57.980]  第二輪的醫治才可以最後看得清楚
[00:00:57.980 --> 00:01:00.060]  在第二幕裏面
[00:01:00.060 --> 00:01:06.300]  我們驚訝發現原來這個盲人就是彼得
[00:01:06.300 --> 00:01:11.820]  彼得的屬靈眼睛原來出了問題
[00:01:11.820 --> 00:01:16.060]  他雖然跟著主耶穌已經有兩年多的時候
[00:01:16.060 --> 00:01:20.460]  但是他仍然是見仁好仗樹木
[00:01:20.460 --> 00:01:23.220]  他看不清楚耶穌究竟是誰
[00:01:23.220 --> 00:01:28.300]  雖然彼得口口聲聲叫耶穌做基督就是君王的意思
[00:01:28.300 --> 00:01:32.360]  但是彼得所意識到的君王
[00:01:32.360 --> 00:01:35.660]  完全是基於世人的概念
[00:01:35.660 --> 00:01:40.080]  根本不是跟著聖經的教導
[00:01:40.080 --> 00:01:41.960]  當故事繼續的時候
[00:01:41.960 --> 00:01:46.200]  我們再度發現彼得之所以有眼無珠
[00:01:46.200 --> 00:01:52.760]  是因為他背後有撒旦的謊言
[00:01:52.760 --> 00:01:56.680]  我們開始發現原來彼得和其他十一個門徒
[00:01:56.680 --> 00:02:00.880]  全部都是困在黑暗權勢當中
[00:02:00.880 --> 00:02:03.700]  他們沒有辦法自拔
[00:02:03.700 --> 00:02:06.080]  幸好我們還有第三幕
[00:02:06.080 --> 00:02:09.080]  在第三幕裏面我們聽到主耶穌基督
[00:02:09.080 --> 00:02:12.780]  祂應許彼得祂要幫彼得趕鬼
[00:02:12.780 --> 00:02:16.240]  於是耶穌講了一句說話 一句福音的說話
[00:02:16.240 --> 00:02:20.260]  祂說「撒旦 退去吧」
[00:02:20.260 --> 00:02:25.980]  為了醫治黑眼彼得和門徒的黑暗
[00:02:25.980 --> 00:02:30.760]  耶穌為世人上了十字架
[00:02:30.760 --> 00:02:33.320]  祂為我們進入死亡
[00:02:33.320 --> 00:02:36.120]  祂又為我們出空墳墓
[00:02:36.120 --> 00:02:37.700]  並且祂升天
