
[00:00:00.000 --> 00:00:03.200]  是司祭的第六章尾
[00:00:03.200 --> 00:00:07.500]  我們上次說基甸剛剛在聖經出現的時候
[00:00:07.500 --> 00:00:10.000]  他根本不像一個領袖
[00:00:10.000 --> 00:00:11.300]  他很害怕
[00:00:11.300 --> 00:00:14.800]  他躲在樹架上打蜜紙
[00:00:14.800 --> 00:00:20.500]  神要將一個這樣的人訓練成為一個大能的勇士
[00:00:20.500 --> 00:00:23.800]  訓練一個夠熟悉以色列人
[00:00:23.800 --> 00:00:27.300]  面對米甸人的領袖
[00:00:27.300 --> 00:00:30.800]  我們看看神怎樣來塑造基甸
[00:00:30.800 --> 00:00:36.300]  是透過兩個不同的祭壇
[00:00:36.300 --> 00:00:39.000]  其實這個訊息都給我們看到
[00:00:39.000 --> 00:00:41.900]  就是神怎樣來預備祂的僕人
[00:00:41.900 --> 00:00:44.400]  為祂來作功
[00:00:44.400 --> 00:00:47.300]  我們說到基甸上一次
[00:00:47.300 --> 00:00:50.000]  神給了祂很多的應許
[00:00:50.000 --> 00:00:51.700]  應許與祂同在
[00:00:51.700 --> 00:00:55.300]  應許祂將會成為一個大能的勇士
[00:00:55.300 --> 00:00:57.500]  甚至讓祂知道
[00:00:57.500 --> 00:00:59.700]  應該怎樣來作功
[00:00:59.700 --> 00:01:02.100]  怎樣來攻打米甸人
[00:01:02.100 --> 00:01:06.700]  甚至讓祂看到攻打米甸人的結果會是怎樣
[00:01:06.700 --> 00:01:08.900]  如同擊打一人
[00:01:08.900 --> 00:01:12.100]  但是基甸仍然很害怕
[00:01:12.100 --> 00:01:14.400]  很懦弱、沒有信心
[00:01:14.400 --> 00:01:17.500]  所以神就塑造祂
[00:01:17.500 --> 00:01:20.100]  喏,James Garfield
[00:01:20.100 --> 00:01:23.300]  是美國第二十任的總統
[00:01:23.300 --> 00:01:25.200]  當他成為總統之前
[00:01:25.200 --> 00:01:26.400]  他是一間大學
[00:01:26.400 --> 00:01:29.700]  叫做 Hiram College 的校長
[00:01:29.700 --> 00:01:30.600]  有一天
[00:01:30.600 --> 00:01:33.800]  他有一個學生的父親來找他
