
[00:00:00.000 --> 00:00:05.000]  請您低頭,我們一起同心祈禱
[00:00:05.000 --> 00:00:08.000]  親愛的天父,我們感謝您
[00:00:08.000 --> 00:00:12.000]  因為我們人生的路,有您來到指引
[00:00:12.000 --> 00:00:15.000]  讓我們不會行在黑暗中
[00:00:15.000 --> 00:00:20.000]  求您指引我們,行走一條光明的路
[00:00:20.000 --> 00:00:25.000]  以致我們緊緊的跟隨您,定精在您的身上
[00:00:25.000 --> 00:00:32.000]  我們感謝您,讓我們今早能夠回來敬拜您,親近您
[00:00:32.000 --> 00:00:36.000]  我們更加願意去研讀您自己的話
[00:00:36.000 --> 00:00:39.000]  求您將您的話賜給我們
[00:00:39.000 --> 00:00:45.000]  聽我們的祈禱奉耶穌基督的名求,阿們
[00:00:45.000 --> 00:00:51.000]  有一位宣教士叫做Don Richardson
[00:00:51.000 --> 00:00:57.000]  他在六十年代的時候就去到新幾內亞
[00:00:57.000 --> 00:01:03.000]  向一個比較蠻荒的部落叫做Shawe
[00:01:03.000 --> 00:01:07.000]  就在這個部族當中來工作
[00:01:07.000 --> 00:01:11.000]  他首先取得這些土著的信任
[00:01:11.000 --> 00:01:16.000]  他教他們一些手藝,為他們提供一些服務
[00:01:16.000 --> 00:01:21.000]  他就開始在這個部族住下來
[00:01:21.000 --> 00:01:27.000]  他第一件事就是很想學當地的土畫
[00:01:27.000 --> 00:01:32.000]  你知道要學土畫真的很艱難
[00:01:32.000 --> 00:01:35.000]  經過一段相當長的時間
[00:01:35.000 --> 00:01:40.000]  他才慢慢掌握當地的土畫
[00:01:40.000 --> 00:01:43.000]  當他懂得講當地的土畫之後
[00:01:43.000 --> 00:01:46.000]  他心裡面就有一份焦急
[00:01:46.000 --> 00:01:49.000]  很想將耶穌的愛
[00:01:49.000 --> 00:01:52.000]  耶穌怎樣來拯救我們
[00:01:52.000 --> 00:01:56.000]  和這些土人來分享
[00:01:56.000 --> 00:02:00.000]  於是他就將耶穌愛我們
[00:02:00.000 --> 00:02:05.000]  為我們釘十字架,講解給這些土人聽
[00:02:05.000 --> 00:02:09.000]  但是這些土人好像完全不明白
[00:02:09.000 --> 00:02:16.000]  沒辦法理解耶穌所做的到底是一回什麼事
[00:02:16.000 --> 00:02:18.000]  就在這個時候
[00:02:18.000 --> 00:02:22.000]  他們這個部族裡面有兩條村
[00:02:22.000 --> 00:02:26.000]  發生很激烈的衝突
[00:02:26.000 --> 00:02:29.000]  兩條村打起來
[00:02:29.000 --> 00:02:33.000]  打得很激烈,有死傷
[00:02:33.000 --> 00:02:39.000]  而且這個衝突持續了一段很長的時間
[00:02:39.000 --> 00:02:42.000]  後來其中一條村的酋長
[00:02:42.000 --> 00:02:46.000]  就決定要彼此和好
[00:02:46.000 --> 00:02:51.000]  他用什麼方法能夠讓兩條村和好呢?
[00:02:51.000 --> 00:02:55.000]  Don Richardson就作了一本書
[00:02:55.000 --> 00:02:59.000]  就將這件事描繪了出來
[00:02:59.000 --> 00:03:02.000]  原來是其中一個酋長
[00:03:02.000 --> 00:03:08.000]  將他自己的兒子送了給狄方
[00:03:08.000 --> 00:03:14.000]  狄方就要負責養這個小孩子
[00:03:14.000 --> 00:03:19.000]  只要一日這個小孩子仍然生存的話
[00:03:19.000 --> 00:03:24.000]  兩條村就要保持和好
[00:03:24.000 --> 00:03:28.000]  所以這個小朋友就叫做Peace Child
[00:03:28.000 --> 00:03:31.000]  和平之子
[00:03:31.000 --> 00:03:36.000]  於是Don Richardson就把握這個機會
[00:03:36.000 --> 00:03:45.000]  原來是神將他的兒子耶穌賜給我們
[00:03:45.000 --> 00:03:50.000]  讓耶穌成為一個和平之子
[00:03:50.000 --> 00:03:53.000]  締造和平
[00:03:53.000 --> 00:03:58.000]  以致我們人能夠與神和好
[00:03:58.000 --> 00:04:03.000]  於是福音就慢慢在這個村裏
[00:04:03.000 --> 00:04:07.000]  就開始能夠傳開
[00:04:07.000 --> 00:04:11.000]  原來神為我們所預備的救恩
[00:04:11.000 --> 00:04:16.000]  是非常之豐富的
[00:04:16.000 --> 00:04:19.000]  所以我也想和大家來溫習一下
[00:04:19.000 --> 00:04:26.000]  在聖經裏面用了五個不同的角度
[00:04:26.000 --> 00:04:30.000]  或者說用了五個不同的形容詞
[00:04:30.000 --> 00:04:37.000]  來描寫神這個拯救的恩典
[00:04:37.000 --> 00:04:42.000]  第一就是你和我都有罪
[00:04:42.000 --> 00:04:49.000]  但是我們竟然被宣判沒有罪
[00:04:49.000 --> 00:04:55.000]  這個就是聖經裏面所說的清義
[00:04:55.000 --> 00:05:00.000]  誰能控告神所揀選的人
[00:05:00.000 --> 00:05:06.000]  有神稱他們為異了
[00:05:06.000 --> 00:05:11.000]  法官是要做一個宣判
[00:05:11.000 --> 00:05:15.000]  因為有控告那一方
[00:05:15.000 --> 00:05:18.000]  告我們有罪
[00:05:18.000 --> 00:05:23.000]  但是現在法官宣判我們沒有罪
[00:05:23.000 --> 00:05:27.000]  我們在神面前被稱為異
