
[00:00:00.000 --> 00:00:04.960]  知道尖沙咀堂今年的主題是更新商教
[00:00:04.960 --> 00:00:08.760]  所以我今天選用了《約翰福音》第十三章
[00:00:08.760 --> 00:00:13.000]  三十四到三十五節這段經文跟大家分享
[00:00:13.000 --> 00:00:17.160]  可能這段經文對大家來說也是耳熟能詳
[00:00:17.160 --> 00:00:20.280]  可能都讀過很多次、聽過很多次
[00:00:20.280 --> 00:00:23.040]  不過但願今天我們在經文當中
[00:00:23.040 --> 00:00:26.160]  能夠再一次得到一些啟示
[00:00:26.160 --> 00:00:30.680]  上帝向我們親切地去說話
[00:00:30.680 --> 00:00:31.880]  這段經文說到
[00:00:31.880 --> 00:00:34.320]  「我賜給你們一條新命令
[00:00:34.320 --> 00:00:36.560]  就是叫你們彼此相愛
[00:00:36.560 --> 00:00:39.880]  我怎樣愛你們,你們也要怎樣相愛
[00:00:39.880 --> 00:00:42.600]  你們若有彼此相愛的心中人
[00:00:42.600 --> 00:00:46.320]  就因此認出你們是我的門徒了」
[00:00:46.320 --> 00:00:50.240]  耶穌說祂賜給那門徒一條新的命令
[00:00:50.240 --> 00:00:52.240]  為甚麼是新的命令呢?
[00:00:52.240 --> 00:00:56.000]  或者為甚麼耶穌要賜這條命令呢?
[00:00:56.000 --> 00:01:00.400]  或者我們先看看這段經文的背景
[00:01:00.400 --> 00:01:03.800]  約翰福音的第十三章到第十七章
[00:01:03.800 --> 00:01:07.680]  是耶穌基督和那班門徒在吃逾節晚餐
[00:01:07.680 --> 00:01:10.480]  在準備要釘十字架之前
[00:01:10.480 --> 00:01:13.240]  祂的一段很重要的講論
[00:01:13.240 --> 00:01:14.600]  是和那班門徒
[00:01:14.600 --> 00:01:20.760]  可以說是一個臨別的贈言
[00:01:20.760 --> 00:01:22.680]  第十三章到第十七章
[00:01:22.680 --> 00:01:25.840]  就是耶穌基督一個很重要的臨別贈言
[00:01:25.840 --> 00:01:30.560]  我們看看下一段投影片
[00:01:30.560 --> 00:01:31.800]  第十三章
[00:01:31.800 --> 00:01:35.160]  耶穌和那班門徒來洗腳
[00:01:35.160 --> 00:01:37.400]  然後給他們一個新的命令
[00:01:37.400 --> 00:01:39.000]  然後第十四章
[00:01:39.000 --> 00:01:42.680]  耶穌基督說自己是道路真理生命
[00:01:42.680 --> 00:01:44.040]  然後第十五章
[00:01:44.040 --> 00:01:47.120]  耶穌基督說祂也是真菩萊樹
[00:01:47.120 --> 00:01:49.120]  所以你們要常在祂裡面
[00:01:49.120 --> 00:01:52.680]  然後耶穌又再一次重申愛的命令
[00:01:52.680 --> 00:01:55.360]  看回剛才的投影片
[00:01:55.360 --> 00:01:59.440]  然後耶穌說世人都恨他們
[00:01:59.440 --> 00:02:04.200]  並且第十六章預告他們將要受苦難
[00:02:04.200 --> 00:02:06.400]  就應許聖靈的降臨
[00:02:06.400 --> 00:02:08.000]  有聖靈與你同在
[00:02:08.000 --> 00:02:09.360]  然後第十七章
[00:02:09.360 --> 00:02:11.520]  就進入一個臨別的禱告
[00:02:11.520 --> 00:02:14.640]  耶穌特別為那班門徒來禱告
[00:02:14.640 --> 00:02:16.440]  特別為他們的合一
[00:02:16.440 --> 00:02:19.200]  為他們如何彼此相愛
[00:02:19.200 --> 00:02:21.080]  所以從這段經文裡面我們看到
[00:02:21.080 --> 00:02:23.520]  從十三到十七章這個段裡面
[00:02:23.520 --> 00:02:25.400]  開頭的時候說新命令
[00:02:25.400 --> 00:02:28.160]  然後在中間特別再強調這個命令
[00:02:28.160 --> 00:02:32.880]  到最後他們如何可以踐行他們的命令呢
[00:02:32.880 --> 00:02:37.040]  其中一件事就是他們如何在主裡面合一
[00:02:37.040 --> 00:02:39.720]  所以這個是耶穌基督臨別的贈言
[00:02:39.720 --> 00:02:42.440]  臨別的贈言其實很重要的
[00:02:42.440 --> 00:02:43.800]  我在教會裡面
[00:02:43.800 --> 00:02:46.840]  我跟一些團契的弟兄姊妹
[00:02:46.840 --> 00:02:50.440]  來查到《約翰福音》這段經文的時候
[00:02:50.440 --> 00:02:51.760]  在一次的查經裡面
[00:02:51.760 --> 00:02:53.880]  我就先請那些弟兄姊妹
[00:02:53.880 --> 00:02:55.320]  先做一個
[00:02:55.320 --> 00:02:57.600]  開始一個熱身
[00:02:57.600 --> 00:02:59.440]  我說請他們來
[00:02:59.440 --> 00:03:02.080]  你想像一下
[00:03:02.080 --> 00:03:05.720]  如果你現在已經走到你生命最後的終結
[00:03:05.720 --> 00:03:08.480]  你將要回天家了
[00:03:08.480 --> 00:03:10.920]  在你將要回天家之前
[00:03:10.920 --> 00:03:12.240]  你在離世之前
[00:03:12.240 --> 00:03:14.720]  你最想跟你家人
[00:03:14.720 --> 00:03:16.720]  或者你最親的人
[00:03:16.720 --> 00:03:18.280]  你最掛念的人
[00:03:18.280 --> 00:03:20.880]  你想跟他講些什麼話呢
[00:03:20.880 --> 00:03:22.880]  在你還有一口氣
[00:03:22.880 --> 00:03:24.680]  你在臨離別之前
[00:03:24.680 --> 00:03:28.160]  你最想跟他們講些什麼話呢
[00:03:28.160 --> 00:03:30.360]  或者跟什麼人講呢
[00:03:30.360 --> 00:03:31.680]  他們就在想
[00:03:31.680 --> 00:03:36.040]  我請他們來講
[00:03:36.040 --> 00:03:37.640]  就分享一下
[00:03:37.640 --> 00:03:39.640]  開始的時候有一個姐妹
[00:03:39.640 --> 00:03:41.280]  她一講的時候
[00:03:41.280 --> 00:03:43.480]  她還沒講已經開始哭
[00:03:43.480 --> 00:03:46.280]  我都沒有想到要搞哭他們
[00:03:46.280 --> 00:03:47.960]  不過她真的很投入
[00:03:47.960 --> 00:03:50.480]  她真的想著自己快要死的時候
[00:03:50.480 --> 00:03:51.800]  她就想起
[00:03:51.800 --> 00:03:53.920]  她說我想起我的丈夫
[00:03:53.920 --> 00:03:56.200]  我的丈夫還沒信主
[00:03:56.200 --> 00:03:57.880]  我就要跟他說
[00:03:57.880 --> 00:03:59.840]  你一定要信主
[00:03:59.840 --> 00:04:01.600]  她就說
[00:04:01.600 --> 00:04:03.280]  然後第二個姐妹
[00:04:03.280 --> 00:04:04.400]  又講的時候
[00:04:04.400 --> 00:04:06.080]  可能受到第一個姐妹感染
[00:04:06.080 --> 00:04:07.480]  她又哭了
[00:04:07.480 --> 00:04:09.800]  她說我就想起我兒子
[00:04:09.800 --> 00:04:12.640]  我就要跟兒子講那些什麼話
[00:04:12.640 --> 00:04:14.120]  接著連續幾個
[00:04:14.120 --> 00:04:16.400]  那次查經姐妹比較多
[00:04:16.400 --> 00:04:18.120]  可能姐妹比較有感性
[00:04:18.120 --> 00:04:19.520]  連續幾個都哭
[00:04:19.520 --> 00:04:21.040]  她講了幾個之後
[00:04:21.040 --> 00:04:22.760]  我說我們到這裡為止了
[00:04:22.760 --> 00:04:25.840]  我不想大家繼續哭下去
[00:04:25.840 --> 00:04:28.240]  但是這個分享裡面讓我們看到
[00:04:28.240 --> 00:04:30.840]  一個人如果真的當他臨別
