
[00:00:00.000 --> 00:00:02.900]  好 那我們先做一個祈禱
[00:00:02.900 --> 00:00:07.100]  天父上帝很感謝您今天給我們一班弟兄姊妹和朋友
[00:00:07.100 --> 00:00:08.600]  能夠來參加這個敬拜
[00:00:08.600 --> 00:00:11.400]  又能夠有機會去守住餐
[00:00:11.400 --> 00:00:14.200]  和去聆聽您自己的教導
[00:00:14.200 --> 00:00:16.300]  求天父您的靈在我們當中
[00:00:16.300 --> 00:00:19.400]  親自的啟發幫助我們去明白
[00:00:19.400 --> 00:00:23.100]  不單單知道 並且能夠學習怎樣去實踐
[00:00:23.100 --> 00:00:25.200]  求天父您聽我們祈禱
[00:00:25.200 --> 00:00:27.300]  奉耶穌基督的聖名
[00:00:27.800 --> 00:00:31.400]  那您剛才報告過
[00:00:31.400 --> 00:00:33.100]  崇禮之後有什麼活動
[00:00:33.100 --> 00:00:38.200]  黃偉康博士為我們當中說了什麼題目
[00:00:38.200 --> 00:00:42.200]  其實是說大人和小朋友都應該聽
[00:00:42.200 --> 00:00:43.500]  不單單是小朋友
[00:00:43.500 --> 00:00:44.900]  大人和小朋友都應該聽
[00:00:44.900 --> 00:00:50.100]  怎樣防止孩子網絡成癮和康復
[00:00:50.100 --> 00:00:53.300]  不是說大人聽了去幫助小朋友
[00:00:53.300 --> 00:00:54.900]  當然這個是需要
[00:00:54.900 --> 00:00:56.200]  因為其實我知道
[00:00:56.200 --> 00:00:57.200]  原來很多大人
[00:00:57.200 --> 00:00:59.100]  包括我們做的爸爸媽媽
[00:00:59.100 --> 00:01:01.300]  甚至是公公婆婆爺爺奶奶
[00:01:01.300 --> 00:01:04.900]  都會有上網成癮的習慣
[00:01:04.900 --> 00:01:08.400]  當我們上癮之後
[00:01:08.400 --> 00:01:10.800]  其實不知不覺當中
[00:01:10.800 --> 00:01:14.300]  會造成很多對我們家裡的影響
[00:01:14.300 --> 00:01:18.700]  甚至會嚴重影響我們家庭的生活
[00:01:18.700 --> 00:01:20.600]  我以前有一個會友
[00:01:20.600 --> 00:01:22.200]  他有一次跟我說
[00:01:22.200 --> 00:01:25.300]  他說他的兒子經常上網打手機
[00:01:25.500 --> 00:01:27.400]  不知道他做了什麼
[00:01:27.400 --> 00:01:28.900]  總之抱著手提電腦就不放
[00:01:28.900 --> 00:01:30.600]  這也不重要
[00:01:30.600 --> 00:01:31.800]  但是重要的地方是什麼呢
[00:01:31.800 --> 00:01:34.200]  就搞到幫廢學業
[00:01:34.200 --> 00:01:36.800]  只顧著上網不讀書
[00:01:36.800 --> 00:01:39.100]  這個爸爸媽媽是緊張的
[00:01:39.100 --> 00:01:40.600]  說了多少都不聽
[00:01:40.600 --> 00:01:41.800]  那怎麼辦呢
[00:01:41.800 --> 00:01:43.000]  有一天忍不住了
[00:01:43.000 --> 00:01:44.000]  這個媽媽忍不住了
[00:01:44.000 --> 00:01:45.200]  那怎麼辦呢
[00:01:45.200 --> 00:01:46.800]  把手提電腦拿走
[00:01:46.800 --> 00:01:48.600]  糟糕了
[00:01:48.600 --> 00:01:50.100]  把手提電腦拿走的時候
[00:01:50.100 --> 00:01:51.200]  兒子馬上發瘋
[00:01:51.200 --> 00:01:54.300]  大吵大叫
[00:01:54.500 --> 00:01:58.600]  甚至差點搖手打媽媽
[00:01:58.600 --> 00:02:01.600]  幸好爸爸在這裏及時制住
