
[00:00:00.000 --> 00:00:02.120]  當我今天站在這個講台的時候
[00:00:02.120 --> 00:00:03.720]  心情是極之複雜
[00:00:03.720 --> 00:00:05.640]  25年前
[00:00:05.640 --> 00:00:08.600]  剛剛出道沒多久
[00:00:08.600 --> 00:00:11.560]  有一天我請了我很渴望的師兄
[00:00:11.560 --> 00:00:14.020]  現在是新加坡某個神學院的院長
[00:00:14.020 --> 00:00:15.140]  叫孫寶齡
[00:00:15.140 --> 00:00:17.300]  他來到我教會講道
[00:00:17.300 --> 00:00:19.740]  我期望他跟我說話
[00:00:19.740 --> 00:00:23.460]  但當日他來到的時候
[00:00:23.460 --> 00:00:24.900]  他第一句說話
[00:00:24.900 --> 00:00:27.400]  我不知道說什麼好
[00:00:30.700 --> 00:00:32.700]  那個心情正是今天的心情
[00:00:32.700 --> 00:00:35.920]  因為他來我教會講道的那一天
[00:00:35.920 --> 00:00:38.400]  是89年六四的那一天
[00:00:38.400 --> 00:00:42.240]  今天雖然在香港的狀況
[00:00:42.240 --> 00:00:44.780]  跟當年是極不相似
[00:00:44.780 --> 00:00:47.480]  但是作為一個傳道者
[00:00:47.480 --> 00:00:49.020]  在我裏面的心
[00:00:49.020 --> 00:00:52.040]  這個星期就好像一塊冰一樣
[00:00:52.040 --> 00:00:54.440]  慢慢地溶解
[00:00:54.440 --> 00:00:57.520]  溶到這班學生裏面
[00:00:59.340 --> 00:01:00.700]  所以這篇訊息
[00:01:00.700 --> 00:01:02.480]  我心裏面是很狡猾
[00:01:02.480 --> 00:01:05.060]  我是不是繼續講這篇訊息呢
[00:01:05.060 --> 00:01:07.280]  還是有些什麼要講呢
[00:01:07.280 --> 00:01:09.420]  當然我說下來沒話講
[00:01:09.420 --> 00:01:11.420]  大家就會用石頭扔我
[00:01:11.420 --> 00:01:13.800]  我來期盼就是想聽你講
[00:01:13.800 --> 00:01:15.800]  但如果我講裏面的一些東西
[00:01:15.800 --> 00:01:17.400]  不是我心裏面想講的
[00:01:17.400 --> 00:01:19.880]  作為先知
[00:01:19.880 --> 00:01:21.280]  作為傳道者
[00:01:21.280 --> 00:01:22.500]  是在騙你們
[00:01:22.500 --> 00:01:25.400]  不過神很奇妙
[00:01:25.400 --> 00:01:27.700]  當這篇道在的時候
[00:01:28.240 --> 00:01:29.660]  我絕對沒有想到
[00:01:29.660 --> 00:01:32.480]  在這個哈蓋書第二章
[00:01:32.480 --> 00:01:35.280]  二十節到二十三節的情況
[00:01:35.280 --> 00:01:38.580]  原來和我今天的發生是很相似
[00:01:38.580 --> 00:01:42.980]  大家可能看了哈蓋書沒什麼特別
[00:01:42.980 --> 00:01:46.820]  其實我一直在講的東西
[00:01:46.820 --> 00:01:47.940]  和我原來是不同的
[00:01:47.940 --> 00:01:48.900]  想給大家明白
[00:01:48.900 --> 00:01:52.160]  先知
[00:01:52.160 --> 00:01:55.040]  在大家聽說
[00:01:55.040 --> 00:01:57.040]  就以為微卜先知
[00:01:57.620 --> 00:01:58.760]  但在整個聖經
[00:01:58.760 --> 00:02:00.760]  在整個基督教的信仰裏面
[00:02:00.760 --> 00:02:02.760]  先知有三種的角色
[00:02:02.760 --> 00:02:05.140]  特別是從舊約裏面
[00:02:05.140 --> 00:02:07.540]  第一就是上帝話語的出口
[00:02:07.540 --> 00:02:08.020]  他講的
[00:02:08.020 --> 00:02:10.020]  領受什麼就出去
[00:02:10.020 --> 00:02:12.020]  第二就是時代的出口
[00:02:12.020 --> 00:02:14.620]  就是今天浸信會很強調的
[00:02:14.620 --> 00:02:16.960]  講台上是一個先知的訊息的出口
[00:02:16.960 --> 00:02:18.960]  是在講生活上的東西
