
[00:00:00.000 --> 00:00:03.000]  各位靈姐妹,早安!
[00:00:03.000 --> 00:00:06.000]  將臨期進入第三個主日
[00:00:06.000 --> 00:00:12.000]  在這段期間,不知大家除了以一個等待、盼望的心
[00:00:12.000 --> 00:00:15.000]  來迎接主耶穌基督的降生
[00:00:15.000 --> 00:00:21.000]  你又會否想想我們應該如何預備自己呢?
[00:00:21.000 --> 00:00:25.000]  表明我們已經是一個悔改的人
[00:00:25.000 --> 00:00:31.000]  今天願意藉著《路加福音》第三章這段經文
[00:00:31.000 --> 00:00:33.000]  《讓神的話》
[00:00:33.000 --> 00:00:40.000]  再一次讓我們一起去醒覺、尋問和淺行
[00:00:40.000 --> 00:00:46.000]  讓我們在這個黑暗的世代裡一起衝破迷茫
[00:00:46.000 --> 00:00:51.000]  上星期,陳牧師帶領我們進入到《路加福音》第三章
[00:00:51.000 --> 00:00:57.000]  一開始的時候,《路加福音》記載了很多當時很重要的人物
[00:00:57.000 --> 00:01:05.000]  包括羅馬的皇帝、總督、分封王和大祭司
[00:01:05.000 --> 00:01:08.000]  不過很奇怪,上帝的啟示
[00:01:08.000 --> 00:01:16.000]  祂自己的場景竟然不是發生在皇宮、官府
[00:01:16.000 --> 00:01:19.000]  或者是城門口、聖殿這些重要的地方
[00:01:19.000 --> 00:01:22.000]  而是在曠野裡
[00:01:22.000 --> 00:01:27.000]  而啟示的對象並不是在人的眼中
[00:01:27.000 --> 00:01:32.000]  那些很重要、叱吒風雲的人物
[00:01:32.000 --> 00:01:39.000]  神的話就臨到上帝撒加利亞的兒子
[00:01:39.000 --> 00:01:43.000]  在曠野的若寒裡
[00:01:43.000 --> 00:01:50.000]  詩甚若寒,祂一出場,祂全講悔改的道理
[00:01:50.000 --> 00:01:56.000]  祂說:「天國近了,你們應當悔改」
[00:01:56.000 --> 00:02:02.000]  「天國近了,你們應當悔改」
[00:02:02.000 --> 00:02:06.000]  這番說話,好像不是那麼多人都很喜歡聽
[00:02:06.000 --> 00:02:08.000]  可能聽起來都很隱疑
[00:02:08.000 --> 00:02:15.000]  跟我們期待著聖誕節,一個充滿著溫暖、親切
[00:02:15.000 --> 00:02:18.000]  一群人互相送贈禮物
[00:02:18.000 --> 00:02:23.000]  一個歡樂的氣氛,有一個極大的落差
[00:02:23.000 --> 00:02:26.000]  令人感覺到很難受,這句說話
[00:02:26.000 --> 00:02:29.000]  腰心腰肺,什麼要悔改
[00:02:29.000 --> 00:02:32.000]  這一把來自曠野的聲音
[00:02:32.000 --> 00:02:36.000]  其實在幾千年來從沒有停止過
[00:02:36.000 --> 00:02:40.000]  祂呼喚著我們每一個人的心靈
[00:02:40.000 --> 00:02:44.000]  要離開世界,回到耶穌基督的裡面
[00:02:44.000 --> 00:02:49.000]  離開權力、名氣、財富、情慾
[00:02:49.000 --> 00:02:52.000]  這些誘惑和捆綁
[00:02:52.000 --> 00:02:58.000]  神很想來拯救我們,釋放我們這些枷鎖
[00:02:58.000 --> 00:03:04.000]  祂很想幫助我們從世上這些短暫的虛空
[00:03:04.000 --> 00:03:10.000]  讓我們能夠回到永恆的天國裡面
[00:03:10.000 --> 00:03:16.000]  以致我們的生命能夠讓真光成為我們的指引
[00:03:16.000 --> 00:03:24.000]  問題是我們選擇聆聽還是拒絕聆聽呢?
[00:03:24.000 --> 00:03:27.000]  生活在香港這個大城市
[00:03:27.000 --> 00:03:30.000]  其實我們每一天都聽到很多不同的聲音
[00:03:30.000 --> 00:03:36.000]  KOL、網紅,在每一天都藉著不同的節目
[00:03:36.000 --> 00:03:39.000]  來吸引不少人去聽
[00:03:39.000 --> 00:03:43.000]  當我們一出街聽到很多車聲、人聲
[00:03:43.000 --> 00:03:45.000]  可能在我們身處的環境裡面
[00:03:45.000 --> 00:03:48.000]  每一天都有很多嘈雜的聲音
[00:03:48.000 --> 00:03:53.000]  甚至乎一些繁音充斥在我們耳邊
[00:03:53.000 --> 00:03:56.000]  很多時候我們都會被這些聲音
[00:03:56.000 --> 00:04:01.000]  使我們不知不覺地迷失在裡面
[00:04:01.000 --> 00:04:04.000]  這段時間大家都在家裡工作
[00:04:04.000 --> 00:04:07.000]  我不知道你最常聽到的是什麼聲音
[00:04:07.000 --> 00:04:10.000]  可能是罵人的聲音
[00:04:10.000 --> 00:04:12.000]  我們有沒有迷失呢?
[00:04:12.000 --> 00:04:17.000]  如果我們迷失了,是時候醒覺了
[00:04:17.000 --> 00:04:20.000]  我們彷彿在這個世界裡面
[00:04:20.000 --> 00:04:24.000]  每天好像給我們很多負面的訊息
[00:04:24.000 --> 00:04:29.000]  使得我們好像對將來失去了盼望
[00:04:29.000 --> 00:04:31.000]  我們也可能因為疫情
[00:04:31.000 --> 00:04:34.000]  第一波、第二波、第三波、第四波
[00:04:34.000 --> 00:04:36.000]  還不知道要面對多少波
[00:04:36.000 --> 00:04:41.000]  好像給我們有一種很多的憂慮
[00:04:41.000 --> 00:04:43.000]  我們也可能擔心
[00:04:43.000 --> 00:04:46.000]  未來全球經濟衰退
[00:04:46.000 --> 00:04:51.000]  可能我們都會為未來的工作、收入而憂心
[00:04:51.000 --> 00:04:55.000]  我們也會因為社會裡面的黑暗
[00:04:55.000 --> 00:04:58.000]  而令我們感到絕望
[00:04:58.000 --> 00:05:01.000]  我們可能因為身邊的一些事情
[00:05:01.000 --> 00:05:06.000]  讓我們都不知道怎樣去面對明天
[00:05:06.000 --> 00:05:11.000]  可能此刻我們的身份也會失去了焦點
[00:05:11.000 --> 00:05:14.000]  失去了方向和目標
[00:05:14.000 --> 00:05:18.000]  斯大林約翰的呼喊再一次提醒我們
[00:05:18.000 --> 00:05:21.000]  是時候醒覺了,弟兄姊妹
[00:05:21.000 --> 00:05:24.000]  這一切都要過去
[00:05:24.000 --> 00:05:27.000]  天國很快要來臨
[00:05:27.000 --> 00:05:31.000]  我們要從世俗的目光裡面去學習抽離
[00:05:31.000 --> 00:05:33.000]  悔改認罪
[00:05:33.000 --> 00:05:39.000]  準備好自己去迎接這個生命的道
[00:05:39.000 --> 00:05:44.000]  Domenico Gerlandaio's fresco of John the Baptist preaching
[00:05:44.000 --> 00:05:48.000]  is one of a series he created for the Tornabuoni Chapel
[00:05:48.000 --> 00:05:51.000]  of Florence's Santa Maria Novella Church
[00:05:51.000 --> 00:05:56.000]  In this scene we meet John the Baptist preaching to the crowds
[00:05:56.000 --> 00:06:00.000]  standing on a rock and holding a cross staff with one hand
[00:06:00.000 --> 00:06:03.000]  while instructing with his other
[00:06:03.000 --> 00:06:07.000]  As he turns his attention to the people on the right of the scene
[00:06:07.000 --> 00:06:11.000]  we can imagine him articulating the admonitions listed in Luke's gospel
[00:06:11.000 --> 00:06:16.000]  in response to the question "Teacher, what should we do?"
[00:06:16.000 --> 00:06:22.000]  In his teaching to share goods justly and avoid extortion and excessive taxing
[00:06:22.000 --> 00:06:26.000]  John is preparing the way for the Lord
[00:06:26.000 --> 00:06:29.000]  As John prepares the way by his preaching
[00:06:29.000 --> 00:06:34.000]  Christ appears on the top left heading down a path toward the crowd
[00:06:34.000 --> 00:06:37.000]  Not one person notices him
[00:06:37.000 --> 00:06:41.000]  At the moment the focus is still on John's preparatory role
[00:06:41.000 --> 00:06:46.000]  on his preaching ministry that prepares the expectant hearts of the crowd
