
[00:00:00.000 --> 00:00:05.600]  今日提到的題目是「患難中的信心」
[00:00:05.600 --> 00:00:07.200]  我們經常說「信心」
[00:00:07.200 --> 00:00:11.200]  但不知道大家從來有否問過究竟甚麼是「信心」
[00:00:11.200 --> 00:00:15.200]  或者問我們有多少「信心」
[00:00:15.200 --> 00:00:17.200]  有一次有一個人叫Jack
[00:00:17.200 --> 00:00:21.200]  他在懸崖邊散步
[00:00:21.200 --> 00:00:24.400]  一不小心跌下懸崖
[00:00:24.400 --> 00:00:27.600]  跌的過程中立即四處伸手
[00:00:27.600 --> 00:00:30.600]  看看能否拉到,讓他拉著樹枝
[00:00:30.600 --> 00:00:32.000]  那就不用跌下去了
[00:00:32.000 --> 00:00:34.000]  不過看下去,萬象三元
[00:00:34.000 --> 00:00:37.000]  如果跌下去就粉身碎骨
[00:00:37.000 --> 00:00:41.000]  看上去有幾層樓這麼高,爬不上去怎麼辦
[00:00:41.000 --> 00:00:43.000]  半天吊的情況下
[00:00:43.000 --> 00:00:47.000]  他大聲喊「救命啊,救命啊」
[00:00:47.000 --> 00:00:51.000]  希望上面有人經過時可以救他
[00:00:51.000 --> 00:00:54.000]  喊了很久都沒有任何反應
[00:00:54.000 --> 00:00:56.000]  正當要放棄的時候
[00:00:56.000 --> 00:00:58.000]  上面有一個聲音說「Jack,Jack」
[00:00:58.000 --> 00:01:00.000]  「你聽不聽到我說話」
[00:01:00.000 --> 00:01:02.000]  Jack說「我聽到,我聽到」
[00:01:02.000 --> 00:01:04.000]  「我在下面」
[00:01:04.000 --> 00:01:08.000]  Jack說「你見不見到我」
[00:01:08.000 --> 00:01:11.000]  上面的聲音說「我見到你,Jack」
[00:01:11.000 --> 00:01:13.000]  「你沒事吧」
[00:01:13.000 --> 00:01:16.000]  Jack說「我當然有事,你快點來救我」
[00:01:16.000 --> 00:01:19.000]  「你是誰」
[00:01:19.000 --> 00:01:23.000]  上面的聲音說「我是你的主」
[00:01:23.000 --> 00:01:26.000]  「我是無處不在」
