
[00:00:00.000 --> 00:00:02.000]  我一次分享信息都要感恩
[00:00:02.000 --> 00:00:04.000]  感恩神對我們去說話
[00:00:04.000 --> 00:00:07.000]  在講到之前先問大家一個問題
[00:00:07.000 --> 00:00:09.000]  看一看PowPon
[00:00:09.000 --> 00:00:11.000]  有沒有人看過這一套電影呢
[00:00:11.000 --> 00:00:13.000]  想問一下
[00:00:13.000 --> 00:00:16.000]  這一套叫做《玩轉生前事》
[00:00:16.000 --> 00:00:18.000]  《The Bucket List》
[00:00:18.000 --> 00:00:20.000]  沒有人看過 有沒有人看過
[00:00:20.000 --> 00:00:23.000]  哇 星期五晚上都是沒有人看過的
[00:00:23.000 --> 00:00:26.000]  這一套是一個2007年的電影作品
[00:00:26.000 --> 00:00:28.000]  由兩位影帝
[00:00:28.000 --> 00:00:30.000]  尼高遜和摩根菲曼
[00:00:30.000 --> 00:00:33.000]  應該知道他們是什麼人
[00:00:33.000 --> 00:00:35.000]  就是明星
[00:00:35.000 --> 00:00:37.000]  在電影中
[00:00:37.000 --> 00:00:39.000]  他們說到這兩位主角
[00:00:39.000 --> 00:00:41.000]  他們發生了一件事
[00:00:41.000 --> 00:00:43.000]  他們原本是不認識的
[00:00:43.000 --> 00:00:45.000]  但是在電影中
[00:00:45.000 --> 00:00:47.000]  摩根菲曼
[00:00:47.000 --> 00:00:49.000]  飾演一個角色叫做卡特
[00:00:49.000 --> 00:00:51.000]  他是一個汽車維修員
[00:00:51.000 --> 00:00:54.000]  有一天醫院打電話給他
[00:00:54.000 --> 00:00:57.000]  告訴他他患上了末期的癌症
[00:00:57.000 --> 00:00:59.000]  需要到醫院去做治療
[00:00:59.000 --> 00:01:01.000]  同一時間
[00:01:01.000 --> 00:01:04.000]  尼高遜飾演一個叫做Edward的角色
[00:01:04.000 --> 00:01:06.000]  他是一個億萬富翁
[00:01:06.000 --> 00:01:08.000]  他發現自己也有病
[00:01:08.000 --> 00:01:10.000]  於是在巧合之間
[00:01:10.000 --> 00:01:13.000]  他們進了同一個醫院病房
[00:01:13.000 --> 00:01:15.000]  在那裡他們相識了
[00:01:15.000 --> 00:01:17.000]  有一天
[00:01:17.000 --> 00:01:19.000]  醫生對Edward說
[00:01:19.000 --> 00:01:22.000]  你的治療最後都幫不了你
[00:01:22.000 --> 00:01:24.000]  你時日無多了
[00:01:24.000 --> 00:01:26.000]  然後他又問醫生
[00:01:26.000 --> 00:01:28.000]  那卡特怎麼辦
[00:01:28.000 --> 00:01:30.000]  卡特醫生就說
[00:01:30.000 --> 00:01:32.000]  他也要好好珍惜時間
[00:01:32.000 --> 00:01:34.000]  於是卡特就想起
[00:01:34.000 --> 00:01:36.000]  在大學的時間裡
[00:01:36.000 --> 00:01:38.000]  老師叫他們寫了一張
[00:01:38.000 --> 00:01:40.000]  人生的清單
[00:01:40.000 --> 00:01:42.000]  那是做什麼的呢
[00:01:42.000 --> 00:01:44.000]  就是在離開人世之前
[00:01:44.000 --> 00:01:46.000]  他們有一個心願
[00:01:46.000 --> 00:01:47.000]  想要去完成
[00:01:47.000 --> 00:01:48.000]  想要做
[00:01:48.000 --> 00:01:49.000]  或者要看
[00:01:49.000 --> 00:01:51.000]  或者去感受的事
[00:01:51.000 --> 00:01:54.000]  於是卡特就寫了這張清單
[00:01:54.000 --> 00:01:56.000]  旁邊的Edward就說
[00:01:56.000 --> 00:01:58.000]  真是覺得很好奇
[00:01:58.000 --> 00:02:00.000]  他說他自己這麼有錢
[00:02:00.000 --> 00:02:01.000]  他就有一個想法
[00:02:01.000 --> 00:02:02.000]  就想著
[00:02:02.000 --> 00:02:03.000]  不如他們兩個
[00:02:03.000 --> 00:02:06.000]  一起完成了這個大家的清單
[00:02:06.000 --> 00:02:08.000]  你看看清單
[00:02:08.000 --> 00:02:10.000]  真的很難看
[00:02:10.000 --> 00:02:12.000]  如果在電影裡看到的話
[00:02:12.000 --> 00:02:14.000]  他這張清單是什麼呢
[00:02:14.000 --> 00:02:16.000]  一會兒就會說多一點
[00:02:16.000 --> 00:02:18.000]  這兩個同病相憐的人
[00:02:18.000 --> 00:02:20.000]  就決定怎樣呢
[00:02:20.000 --> 00:02:22.000]  就是決定在這個時間裡
