
[00:00:00.000 --> 00:00:01.440]  各位大興節目好
[00:00:01.440 --> 00:00:04.440]  我們今天是復活節的主日
[00:00:04.440 --> 00:00:06.800]  我們多多思想
[00:00:06.800 --> 00:00:07.840]  復活節
[00:00:07.840 --> 00:00:11.080]  或者主的復活帶給我們有什麼意義
[00:00:11.080 --> 00:00:17.840]  盼望我們一同在聖年的帶領中得到神的教導和祝福
[00:00:17.840 --> 00:00:19.400]  我們一起有個禱告
[00:00:19.400 --> 00:00:21.960]  天父我們多謝祢
[00:00:21.960 --> 00:00:23.200]  給我們今天
[00:00:23.200 --> 00:00:26.120]  今天早上我們同手盛餐
[00:00:26.120 --> 00:00:27.640]  有紀念主的復活
[00:00:27.640 --> 00:00:29.640]  願意祢幫助我們
[00:00:29.640 --> 00:00:30.720]  明白
[00:00:30.720 --> 00:00:33.080]  更加深深體會主祢復活
[00:00:33.080 --> 00:00:35.400]  帶給我們生命的意義
[00:00:35.400 --> 00:00:36.640]  求主幫助
[00:00:36.640 --> 00:00:38.640]  祈禱奉主耶穌基督的名
[00:00:38.640 --> 00:00:40.040]  阿們
[00:00:40.040 --> 00:00:42.240]  我以前曾經在美國的時候
[00:00:42.240 --> 00:00:45.120]  在一間基督教機構裡面去服侍
[00:00:45.120 --> 00:00:48.560]  當時機構預備出一個福音的冊子
[00:00:48.560 --> 00:00:51.560]  有一位童工是負責編寫的
[00:00:51.560 --> 00:00:52.960]  編寫完之後
[00:00:52.960 --> 00:00:55.840]  這個初稿就給我們童工看看
[00:00:55.840 --> 00:00:57.680]  有沒有什麼意見
[00:00:57.680 --> 00:00:59.080]  一起去看
[00:00:59.080 --> 00:01:02.640]  我和其他童工一起去看
[00:01:02.640 --> 00:01:04.000]  我發覺
[00:01:04.000 --> 00:01:06.000]  提到主耶穌基督
[00:01:06.000 --> 00:01:07.280]  祂為了我們做了什麼
[00:01:07.280 --> 00:01:10.280]  祂為了我們去死亡
[00:01:10.280 --> 00:01:13.920]  去做愛的工作
[00:01:13.920 --> 00:01:15.880]  但是沒有說復活
[00:01:15.880 --> 00:01:18.880]  我就問
[00:01:18.880 --> 00:01:22.440]  為什麼沒有提到復活
[00:01:22.440 --> 00:01:24.440]  這位童工立即回應我
[00:01:24.440 --> 00:01:25.400]  我想了一會
[00:01:25.400 --> 00:01:29.040]  因為復活帶給人的疑惑
[00:01:29.040 --> 00:01:31.560]  或者有些爭拗
[00:01:31.560 --> 00:01:32.640]  我就避免了
[00:01:32.640 --> 00:01:35.840]  所以我不寫復活
[00:01:35.840 --> 00:01:37.840]  我就繼續說
[00:01:37.840 --> 00:01:39.440]  如果主沒有復活
[00:01:39.440 --> 00:01:41.800]  這個還是不是福音呢
[00:01:41.800 --> 00:01:44.280]  當然大家都很認同我的說法
[00:01:44.280 --> 00:01:46.640]  這位童工最後修改了
[00:01:46.640 --> 00:01:47.880]  我很相信這個童工
[00:01:47.880 --> 00:01:50.080]  一定知道主復活的事
[00:01:50.080 --> 00:01:51.040]  但是恐怕
[00:01:51.040 --> 00:01:53.280]  可能在我們《大英之會》當中
[00:01:53.280 --> 00:01:55.480]  當我們跟別人傳福音的時候
[00:01:55.480 --> 00:01:56.880]  一說到主
[00:01:56.880 --> 00:01:59.040]  死亡是很大愛的
[00:01:59.040 --> 00:02:00.160]  但是說到復活
[00:02:00.160 --> 00:02:01.760]  好像很難令人置信
[00:02:01.760 --> 00:02:04.200]  我們可能很淡淡然就過去了
[00:02:04.200 --> 00:02:06.880]  這句說話
[00:02:06.880 --> 00:02:08.360]  是真的
[00:02:08.360 --> 00:02:10.120]  很多時候我們真的覺得
[00:02:10.120 --> 00:02:11.840]  這個難以置信
[00:02:11.840 --> 00:02:13.160]  一個未信主的人
[00:02:13.160 --> 00:02:16.880]  他怎樣去接受這個真理呢
[00:02:16.880 --> 00:02:18.560]  但是復活之事
[00:02:18.560 --> 00:02:23.640]  卻是基督教很重要的核心的一個真理
[00:02:23.640 --> 00:02:28.840]  就是表明罪的最大罪惡果死亡
[00:02:28.840 --> 00:02:31.400]  耶穌基督完全去承擔
[00:02:31.400 --> 00:02:35.760]  並且得到神公義的滿足
[00:02:35.760 --> 00:02:37.920]  依照主復活
[00:02:37.920 --> 00:02:40.400]  勝過罪惡和死亡
[00:02:40.400 --> 00:02:41.560]  依照信他的人
[00:02:41.560 --> 00:02:43.560]  得到這個公義的身份
[00:02:43.560 --> 00:02:46.040]  依照得享永生
