
[00:00:00.000 --> 00:00:08.000]  若行福音,二十章二十四節,請聽我讀
[00:00:08.000 --> 00:00:14.000]  那十二個門徒中有稱為「底土馬」的多馬
[00:00:14.000 --> 00:00:18.000]  耶穌來的時候,他沒有和他們同在
[00:00:18.000 --> 00:00:24.000]  那些門徒對他說:我們已經看見主了
[00:00:24.000 --> 00:00:29.000]  多馬卻說:我非看見他手上的釘痕
[00:00:29.000 --> 00:00:35.000]  用指頭探入那釘痕,又用手探入他的肋旁
[00:00:35.000 --> 00:00:38.000]  我還不信
[00:00:38.000 --> 00:00:41.000]  過了八天,門徒又在屋內
[00:00:41.000 --> 00:00:46.000]  多馬也和他們同在,門都關了
[00:00:46.000 --> 00:00:52.000]  耶穌來站在當中說:願你們平安
[00:00:52.000 --> 00:00:56.000]  就對多馬說:伸過你的指頭來
[00:00:56.000 --> 00:01:00.000]  摸我的手,伸出你的手來
[00:01:00.000 --> 00:01:03.000]  探入我的肋旁
[00:01:03.000 --> 00:01:07.000]  不要疑惑,總要信
[00:01:07.000 --> 00:01:13.000]  多馬說:我的主,我的神
[00:01:13.000 --> 00:01:19.000]  耶穌對他說:你因看見了我才信
[00:01:19.000 --> 00:01:24.000]  那沒有看見就信的有福了
[00:01:24.000 --> 00:01:28.000]  你因看見了我才信
[00:01:28.000 --> 00:01:33.000]  那沒有看見就信的有福了
[00:01:55.000 --> 00:01:58.000]  我們是肅靜靜默的
[00:01:58.000 --> 00:02:04.000]  在今天早上,讓我們仍然接觸著這種心情
[00:02:04.000 --> 00:02:07.000]  先接觸這種心情
[00:02:07.000 --> 00:02:12.000]  去感受一下當時門徒的心情是怎樣
[00:02:12.000 --> 00:02:15.000]  我們都知道,當耶穌被釘死那一天
[00:02:15.000 --> 00:02:18.000]  門徒是非常難過的
[00:02:18.000 --> 00:02:21.000]  因為對他們來說,他們親愛的耶穌
[00:02:21.000 --> 00:02:26.000]  釘死在十字架上,代表大難關頭
[00:02:26.000 --> 00:02:29.000]  如果我們這些人信耶穌是這樣的話
[00:02:29.000 --> 00:02:33.000]  真是慘了,是徹頭徹尾的失敗
