
[00:00:00.000 --> 00:00:04.500]  在今天的訊息中,我會從三方面去看這個大喜的訊息
[00:00:04.500 --> 00:00:09.100]  第一是宣佈這個訊息的時候的背景
[00:00:09.100 --> 00:00:12.500]  另外就是這個訊息的內容
[00:00:12.500 --> 00:00:15.400]  第三就是這個喜訊是指什麼可以收到
[00:00:15.400 --> 00:00:20.800]  在看完經文之前,有一批人同心禱告
[00:00:20.800 --> 00:00:25.900]  「全愛的父神,感謝你賜下你的壞語」
[00:00:25.900 --> 00:00:29.300]  「在以下訊息中,求你的聖靈與我們同在」
[00:00:30.100 --> 00:00:33.300]  「在慶祝你兒子降生的日子中」
[00:00:33.300 --> 00:00:35.100]  「讓我們明白和接受」
[00:00:35.100 --> 00:00:38.000]  「你為我們預備好的大喜訊息」
[00:00:38.000 --> 00:00:40.300]  「禱告是奉靠你獨生愛子」
[00:00:40.300 --> 00:00:42.900]  「耶穌基督保佑的名字,阿們」
[00:00:42.900 --> 00:00:50.800]  第一到第七節就記載了宣佈這個喜訊時候的背景
[00:00:50.800 --> 00:00:51.600]  讓我們一起讀
[00:00:51.600 --> 00:00:57.600]  「在那些日子,凱撒、奧古斯都降子」
[00:00:57.900 --> 00:01:00.800]  「叫全國人民都登記戶籍」
[00:01:00.800 --> 00:01:03.400]  「這是第一次登記戶籍」
[00:01:03.400 --> 00:01:07.700]  「是在居里紐作敘利亞總督的時候行的」
[00:01:07.700 --> 00:01:11.500]  「眾人各歸各姓,辦理登記」
[00:01:11.500 --> 00:01:18.500]  「約瑟也同加里利的拿撒勒承上猶大去」
[00:01:18.500 --> 00:01:21.600]  「到了大衛的城,名叫伯利恒」
[00:01:21.600 --> 00:01:24.300]  「因為他是大衛家族的人」
[00:01:24.700 --> 00:01:29.000]  「要和他所聘之妻瑪利亞一同登記戶籍」
[00:01:29.000 --> 00:01:31.700]  「那時瑪利亞已經懷孕」
[00:01:31.700 --> 00:01:37.000]  「他們在那裡的時候,瑪利亞的產妓到了」
[00:01:37.000 --> 00:01:39.300]  「特生了投胎的兒子」
[00:01:39.300 --> 00:01:42.200]  「用布包起來,再抹出來」
[00:01:42.200 --> 00:01:45.200]  「因為柏殿會有地方」
[00:01:45.200 --> 00:01:49.600]  這個喜訊是在二千年前宣佈的
[00:01:50.000 --> 00:01:58.600]  當時由羅馬帝國統治大部分的歐洲、非洲和中東的以色列
[00:01:58.600 --> 00:02:02.600]  Kias Ottavis是羅馬當時的皇帝
[00:02:02.600 --> 00:02:08.000]  他擁有所有宗教的制裁權和全部的軍權
[00:02:08.000 --> 00:02:12.700]  那時以色列人被迫降服在羅馬帝國的政權之下
[00:02:12.700 --> 00:02:18.400]  現在我們在每一個基督教會所看到的十字架
[00:02:18.700 --> 00:02:21.300]  其實是羅馬帝國當時用的酷刑
[00:02:21.300 --> 00:02:26.700]  被罰的人會全身赤裸一絲不掛
[00:02:26.700 --> 00:02:30.300]  雙手雙腳被釘在十字架上幾天
[00:02:30.300 --> 00:02:33.700]  受盡羞辱和痛苦而死
[00:02:33.700 --> 00:02:36.500]  十字架和其他的酷刑
[00:02:36.500 --> 00:02:41.200]  使全羅馬帝國的人都被迫降服在暴政之下
[00:02:41.200 --> 00:02:46.600]  所以十字架其實也象徵了當時人的捆綁
[00:02:48.800 --> 00:02:52.300]  那時羅馬政府命令全國的人
[00:02:52.300 --> 00:02:56.700]  要回到自己所屬的家族的家鄉城鎮登記
[00:02:56.700 --> 00:02:58.000]  沒有人可以例外
[00:02:58.000 --> 00:03:04.700]  約瑟和他身懷重任的妻子瑪利亞住在拿撒勒
[00:03:04.700 --> 00:03:11.600]  也一起去距離150公里的百里行城登記
[00:03:11.600 --> 00:03:15.400]  因為那裡是約瑟的祖先
