
[00:00:00.000 --> 00:00:01.260]  頂姐妹
[00:00:01.260 --> 00:00:04.220]  我們又說愛了
[00:00:04.220 --> 00:00:07.420]  因為約翰一書的主題是很強愛的
[00:00:07.420 --> 00:00:11.780]  很久沒見你們,想給大家一個命令
[00:00:11.780 --> 00:00:16.360]  待會完崇拜之後,我命令你們要去吃飯
[00:00:16.360 --> 00:00:21.380]  可能你會說牧師,沒見你那麼久,縮短了嗎?
[00:00:21.380 --> 00:00:25.740]  你不命令我都去吃飯的,不用你命令是嗎?
[00:00:25.740 --> 00:00:28.860]  吃飯是很自然的事,肚子餓就去吃飯
[00:00:29.580 --> 00:00:32.240]  是,根本就不用命令
[00:00:32.240 --> 00:00:38.420]  但是在約翰一書,三章十一節
[00:00:38.420 --> 00:00:43.780]  約翰再一次宣講主耶穌基督的命令
[00:00:43.780 --> 00:00:46.420]  我們一起讀,十一節,預備,1,2,3
[00:00:46.420 --> 00:00:49.500]  我們應當彼此相愛
[00:00:49.500 --> 00:00:54.180]  這就是你們從起初所聽見的命令
[00:00:54.180 --> 00:00:57.180]  要彼此相愛
[00:00:57.180 --> 00:00:59.980]  為何又再次提及彼此相愛呢?
[00:00:59.980 --> 00:01:04.180]  這在福音書,在約翰的書信
[00:01:04.180 --> 00:01:08.460]  一二三書,特別是一書裏面提及了很多次彼此相愛
[00:01:08.460 --> 00:01:11.900]  我們回來教會都經常說愛
[00:01:11.900 --> 00:01:15.380]  為甚麼?為甚麼說完又說?
[00:01:15.380 --> 00:01:21.260]  因為這件事是我們一定要去做的,是命令來的
[00:01:21.260 --> 00:01:24.500]  這個愛不是出於我們本質
[00:01:25.140 --> 00:01:29.380]  試想想,聖經沒有命令我們吃飯,我們也可以吃飯
[00:01:29.380 --> 00:01:31.500]  這就是很自然的事
[00:01:31.500 --> 00:01:34.500]  但是聖經今天命令我們要彼此相愛
[00:01:34.500 --> 00:01:37.420]  就說明我們在我們人性裏面
[00:01:37.420 --> 00:01:41.180]  我們根本不能夠很自然地用神的方法
[00:01:41.180 --> 00:01:43.780]  去愛我們身邊的弟兄姊妹
[00:01:43.780 --> 00:01:46.220]  我再說一次,原來我們人
[00:01:46.220 --> 00:01:48.540]  不是能夠自然地
[00:01:48.540 --> 00:01:53.540]  就這樣用神的方法去愛我們身邊的弟兄姊妹
[00:01:53.540 --> 00:01:57.620]  不知道你們有沒有聽過一些未信耶穌的人說我們基督徒呢?
[00:01:57.620 --> 00:02:00.780]  當然有好的,但也有些負面的
[00:02:00.780 --> 00:02:05.420]  就是說,有時候我覺得你們這些基督徒很虛偽,很假
[00:02:05.420 --> 00:02:07.540]  口口聲聲都經常說愛
[00:02:07.540 --> 00:02:09.780]  不停地說話都經常說愛
[00:02:09.780 --> 00:02:12.500]  實際上真的有多愛啊?
[00:02:12.500 --> 00:02:19.100]  對於我們這些平凡的人來說,有時候我們都不懂得愛
[00:02:19.100 --> 00:02:21.340]  有時候我們覺得相愛
[00:02:21.340 --> 00:02:23.100]  說就容易
[00:02:23.100 --> 00:02:26.020]  做就真的有些難
[00:02:26.020 --> 00:02:27.860]  我們很想去關心身邊的人
[00:02:27.860 --> 00:02:32.220]  我很相信我們弟兄姊妹都有去關心身邊的人
[00:02:32.220 --> 00:02:35.260]  特別是我們有多的時間,我們有空的時候
[00:02:35.260 --> 00:02:38.340]  心情好的時候,會去關心多一點
[00:02:38.340 --> 00:02:43.220]  但當自己很忙,不太行的時候
[00:02:43.220 --> 00:02:47.140]  我們就不是怎樣去關心人
[00:02:47.140 --> 00:02:49.580]  嘩,他很可愛啊
[00:02:49.580 --> 00:02:52.780]  很抵錫,就去愛他
[00:02:52.780 --> 00:02:57.940]  但當他很煩,很討人厭,很討厭的時候
[00:02:57.940 --> 00:03:01.900]  你就和他避之則吉
[00:03:01.900 --> 00:03:06.020]  你愛他,他有很好的回應,你就更加愛他
[00:03:06.020 --> 00:03:08.460]  但沒有一些好的回應
[00:03:08.460 --> 00:03:11.300]  你就不再理他
[00:03:11.300 --> 00:03:14.500]  甚至他做的事,有些傷害你的時候
[00:03:14.500 --> 00:03:16.700]  你更加不想見到他
[00:03:16.700 --> 00:03:20.340]  很多時候我們是基督徒,我們是主的門徒
[00:03:20.340 --> 00:03:25.060]  但我們都是喜歡就去愛,不喜歡就不愛
[00:03:25.060 --> 00:03:28.780]  有感覺的就愛,沒有感覺的就不理他
[00:03:28.780 --> 00:03:31.940]  是不是?
[00:03:31.940 --> 00:03:35.500]  所以有時,神挑戰我們要彼此相愛
[00:03:35.500 --> 00:03:42.820]  這個彼此相愛,是要突破所有這些框框
[00:03:42.820 --> 00:03:47.700]  就算我們不喜歡,我們不想,我們不有空
[00:03:47.700 --> 00:03:50.700]  我們都是要繼續這樣去愛
[00:03:50.700 --> 00:03:55.700]  所以說,其實愛都不是這麼簡單
[00:03:55.700 --> 00:03:58.460]  都不是這麼容易
[00:03:58.460 --> 00:04:01.820]  今天我們求神的靈親自幫助我們
[00:04:01.820 --> 00:04:04.740]  求神的靈親自再一次教導我們
[00:04:04.740 --> 00:04:07.540]  怎樣真實的,大膽的
[00:04:07.540 --> 00:04:10.620]  是落地的,不只是用口去講愛
[00:04:10.620 --> 00:04:14.540]  實際在我們生活上面,愛出來
[00:04:14.540 --> 00:04:20.020]  所以我們看第一樣東西,就是放下自己
[00:04:20.020 --> 00:04:24.940]  在十二至十八節,放下自己
[00:04:24.940 --> 00:04:29.580]  我很想邀請弟兄姊妹跟我一起再讀十二至十八節
[00:04:29.580 --> 00:04:34.900]  不可像該人,他是屬那惡者,殺了他的兄弟
[00:04:34.900 --> 00:04:36.900]  為什麼殺了他呢?
[00:04:36.900 --> 00:04:41.540]  因自己的行為是惡的,兄弟的行為是善的
[00:04:41.540 --> 00:04:46.300]  弟兄們,世人若恨你們,不要以為稀奇
[00:04:46.300 --> 00:04:51.700]  我們因為愛弟兄,就曉得是已經出死入生了
[00:04:51.700 --> 00:04:55.060]  沒有愛心的,仍住在死中
[00:04:55.060 --> 00:04:58.460]  凡恨他弟兄的,就是殺人的
[00:04:58.460 --> 00:05:04.340]  你們曉得凡殺人的,沒有永生存在他裡面
[00:05:04.340 --> 00:05:09.860]  主為我們捨命,我們從此就知道何為愛
[00:05:09.860 --> 00:05:12.820]  我們也當為弟兄捨命
[00:05:12.820 --> 00:05:17.340]  凡有世上財物的,看見弟兄窮乏
