
[00:00:00.000 --> 00:00:02.500]  各位弟兄姊妹,早上平安!
[00:00:02.500 --> 00:00:04.600]  網絡上的弟兄姊妹朋友們,
[00:00:04.600 --> 00:00:06.500]  很高興再次能夠進到你的家中,
[00:00:06.500 --> 00:00:08.400]  跟你一同來敬拜讚美我們的主,
[00:00:08.400 --> 00:00:11.800]  一同來分享主的話語。
[00:00:11.800 --> 00:00:15.200]  人與人相處本來就是不容易,
[00:00:15.200 --> 00:00:18.100]  夫妻一起相處更是不容易,
[00:00:18.100 --> 00:00:20.900]  需要學習如何彼此瞭解,
[00:00:20.900 --> 00:00:24.800]  彼此溝通,彼此接納,彼此饒恕。
[00:00:24.800 --> 00:00:27.800]  有時候要像耶穌基督在馬太福音第十章告訴我們的,
[00:00:27.800 --> 00:00:31.900]  要靈巧,像蛇,順良,像鴿子。
[00:00:31.900 --> 00:00:35.100]  有一天老胡和他太太大吵一架,
[00:00:35.100 --> 00:00:37.700]  一氣之下就離家出走,
[00:00:37.700 --> 00:00:41.200]  只留下一張紙條,紙條上面是這樣寫着的,
[00:00:41.200 --> 00:00:44.600]  世界那麼大,我想去看看。
[00:00:44.600 --> 00:00:48.200]  老婆看了一眼,就發了個短信給他,
[00:00:48.200 --> 00:00:50.000]  短信是這樣寫的,
[00:00:50.000 --> 00:00:54.200]  男人那麼多,我也想去看看。
[00:00:54.200 --> 00:00:58.200]  三分鐘之後,老胡就回到家了。
[00:00:58.200 --> 00:01:03.200]  高中還沒有人說,要靈巧像蛇。
[00:01:03.200 --> 00:01:07.300]  今天不是跟大家分享夫妻之間的關係或者人際之間的關係,
[00:01:07.300 --> 00:01:08.900]  如果你們夫妻有問題的話,
[00:01:08.900 --> 00:01:13.800]  可以來找我們生命和靈良堂的家庭事工中心。
[00:01:13.800 --> 00:01:15.800]  其實今天早上要跟大家分享,
[00:01:15.800 --> 00:01:19.700]  如何在危機當中來盡力審。
[00:01:19.700 --> 00:01:22.400]  其實如果夫妻之間的問題沒有解決的話,
[00:01:22.400 --> 00:01:25.900]  就會把你帶入到危機之中。
[00:01:25.900 --> 00:01:31.100]  在危機之中我們如何能夠來盡力審,能夠來認識神呢?
[00:01:31.100 --> 00:01:34.100]  今天早上我們從先知以撒雅的經歷當中,
[00:01:34.100 --> 00:01:38.300]  讓我們來學習如何能夠在危機中,
[00:01:38.300 --> 00:01:41.200]  能夠盡力審,能夠重新來認識神。
[00:01:41.200 --> 00:01:44.100]  我們一起先來看以撒雅先知書第六章,
[00:01:44.100 --> 00:01:46.100]  從第一節到第八節。
[00:01:46.100 --> 00:01:49.500]  這裏曾經告訴我們說,當烏西亞王崩的那年,
[00:01:49.500 --> 00:01:52.400]  我建築坐在高高的寶座上,
[00:01:52.400 --> 00:01:55.200]  他的衣裳隨下遮滿聖殿,
[00:01:55.200 --> 00:01:58.000]  騎上有薩拉佛勢力,各有六個翅膀,
[00:01:58.000 --> 00:02:02.700]  用兩個翅膀遮臉,兩個翅膀遮腳,兩個翅膀飛翔。
[00:02:02.700 --> 00:02:06.100]  彼此呼喊說,聖哉!聖哉!聖哉!
[00:02:06.100 --> 00:02:10.700]  萬君之友華,他的榮光充滿全地。
[00:02:10.700 --> 00:02:14.200]  因呼喊者的聲音,門檻的根基震動,
[00:02:14.200 --> 00:02:16.400]  殿充滿了煙雲。
[00:02:16.400 --> 00:02:19.400]  那時我說,禍災我滅亡了。
[00:02:19.400 --> 00:02:23.100]  因爲我是嘴全不絕的人,又住在嘴全不絕的民中,
[00:02:23.100 --> 00:02:27.700]  又因我眼見大君王,萬君之友華。
[00:02:27.700 --> 00:02:30.700]  有一薩拉佛飛到我跟前手裏拿着紅炭,
[00:02:30.700 --> 00:02:33.500]  是用火箭從壇上取下來的,
[00:02:33.500 --> 00:02:38.100]  將炭張我的口說,看啊,這炭張了你的嘴,
[00:02:38.100 --> 00:02:41.600]  你的罪孽便除掉,你的罪惡就赦免了。
[00:02:41.600 --> 00:02:46.200]  我又聽見主的聲音說,我可以猜淺誰呢?
[00:02:46.200 --> 00:02:48.500]  誰肯爲我們去呢?
[00:02:48.500 --> 00:02:54.300]  我說,我在這裏,請猜淺我。
[00:02:54.300 --> 00:02:58.800]  到底以賽爾先知面對什麼危機?
[00:02:58.800 --> 00:03:01.500]  我們可以從第六章第一節告訴我們說,
[00:03:01.500 --> 00:03:04.400]  當烏西亞王崩的那一年,
[00:03:04.400 --> 00:03:07.100]  就是當烏西亞王他死去的那一年,
[00:03:07.100 --> 00:03:11.600]  就是在祖前740年的時候。
[00:03:11.600 --> 00:03:13.900]  那到底烏西亞王是什麼國王,
[00:03:13.900 --> 00:03:17.700]  當他離去的時候會造成這麼大的一個危機呢?
[00:03:17.700 --> 00:03:19.200]  我們先來了解一下,
[00:03:19.200 --> 00:03:22.100]  烏西亞王其實是猶大國的第十個王,
[00:03:22.100 --> 00:03:24.700]  他是一個非常敬虔愛主的王。
[00:03:24.700 --> 00:03:28.500]  我們從歷代志在第26章先來了解一下他的背景。
[00:03:28.500 --> 00:03:30.100]  烏西亞王其實聖經告訴我們說,
[00:03:30.100 --> 00:03:32.200]  他16歲就登基做王,
[00:03:32.200 --> 00:03:35.600]  在耶路撒冷做王做了52年。
[00:03:35.600 --> 00:03:38.200]  這裏第26章第4節告訴我們說,
[00:03:38.200 --> 00:03:42.300]  烏西亞行耶和華眼中看爲正的事,
[00:03:42.300 --> 00:03:46.700]  效法他父亞馬歇一切所行的通曉神的牧師,
[00:03:46.700 --> 00:03:49.500]  換句話說,他跟神有很密切的關係。
[00:03:49.500 --> 00:03:52.100]  薩迦利亞,可能是他的軍師或者顧問,
[00:03:52.100 --> 00:03:55.600]  在世的時候,烏西亞定義尋求神,
[00:03:55.600 --> 00:04:00.500]  他尋求耶和華,神就使他亨通。
[00:04:00.500 --> 00:04:02.900]  他跟神有非常美好的關係,
[00:04:02.900 --> 00:04:06.700]  每次他尋求神的時候,他就凡事亨通,
[00:04:06.700 --> 00:04:11.400]  神使他的國家強盛,他的軍隊百戰百勝。
[00:04:11.400 --> 00:04:15.500]  結果,沒想到他變了。
[00:04:15.500 --> 00:04:20.300]  當他強盛的時候,他開始驕傲起來。
[00:04:20.300 --> 00:04:23.700]  接下來我們看第26章第16節,
[00:04:23.700 --> 00:04:28.200]  他既強盛就心高氣傲,以致行事諧僻,
[00:04:28.200 --> 00:04:31.400]  甘放耶和華,他的神進耶和華的殿,
[00:04:31.400 --> 00:04:34.600]  要在香壇上燒香。
[00:04:34.600 --> 00:04:37.300]  你可知道,在舊約時代,
[00:04:37.300 --> 00:04:40.500]  神的律法、神的規則是非常嚴謹的。
[00:04:40.500 --> 00:04:42.100]  君王有君王的職務,
