
[00:00:00.000 --> 00:00:01.220]  開庭節目早晨
[00:00:01.220 --> 00:00:03.640]  讓我們低頭同心祈禱
[00:00:03.640 --> 00:00:08.780]  因著我們獻上感恩
[00:00:08.780 --> 00:00:11.680]  讓我們有這麼好的清晨
[00:00:11.680 --> 00:00:14.320]  一起去到您的面前
[00:00:14.320 --> 00:00:15.820]  去侍奉敬拜您
[00:00:15.820 --> 00:00:18.940]  讓我們今天能夠翻開您的聖經
[00:00:18.940 --> 00:00:21.300]  被您去提醒、激勵
[00:00:21.300 --> 00:00:24.480]  願您開我們耳朵
[00:00:24.480 --> 00:00:25.800]  讓我們留心聽
[00:00:25.800 --> 00:00:27.300]  開我們眼睛
[00:00:27.300 --> 00:00:28.700]  能夠沾用您的榮光
[00:00:28.700 --> 00:00:30.700]  以致我們用我們的行動去回應
[00:00:30.700 --> 00:00:32.160]  由於無人口中的言語
[00:00:32.160 --> 00:00:33.600]  頂止每次間的心思意念
[00:00:33.600 --> 00:00:34.800]  蒙聖靈的啟迪
[00:00:34.800 --> 00:00:36.000]  蒙主的悅納
[00:00:36.000 --> 00:00:38.200]  禱告奉耶穌基督的名
[00:00:38.200 --> 00:00:44.400]  我很記得在我小時候讀書的時候
[00:00:44.400 --> 00:00:46.700]  我不是一個很勤力讀書的人
[00:00:46.700 --> 00:00:49.700]  不過我都很喜歡去討論和思考某些問題
[00:00:49.700 --> 00:00:52.700]  有一次我記得我跟同學聊天
[00:00:52.700 --> 00:00:54.300]  我問了一個很深的問題
[00:00:54.300 --> 00:00:55.500]  就是我問同學
[00:00:55.500 --> 00:00:58.600]  你們有沒有想過你人生的目標
[00:00:58.600 --> 00:01:00.700]  接下來長大後會有什麼志願?
[00:01:00.700 --> 00:01:03.100]  同學覺得很奇怪地看著我
[00:01:03.100 --> 00:01:05.400]  為什麼你突然間問我這麼認真的問題呢?
[00:01:05.400 --> 00:01:06.900]  我一向都不是很認真的人
[00:01:06.900 --> 00:01:11.000]  其實因為我收到豐朝的老師要我寫我的志願的題目
[00:01:11.000 --> 00:01:13.100]  過去我寫這個題目的時候
[00:01:13.100 --> 00:01:15.600]  我寫的都是我想做歌星
[00:01:15.600 --> 00:01:17.900]  足球明星
[00:01:17.900 --> 00:01:19.400]  每次都被老師罵的
[00:01:19.400 --> 00:01:21.400]  你真是好高騖遠
[00:01:21.400 --> 00:01:23.300]  想一些不現實的東西
[00:01:23.300 --> 00:01:25.200]  這些當然是不行的
[00:01:25.200 --> 00:01:28.100]  所以當那一次我要寫這個題目的時候
[00:01:28.100 --> 00:01:30.100]  我就參考了大家的意見
[00:01:30.100 --> 00:01:31.400]  問了身邊的同學
[00:01:31.400 --> 00:01:32.600]  他們就回答我
[00:01:32.600 --> 00:01:34.100]  有人說我要做老師
[00:01:34.100 --> 00:01:35.100]  老師教書好
[00:01:35.100 --> 00:01:36.100]  在學英才
[00:01:36.100 --> 00:01:37.900]  有人就說我要做律師
