
[00:00:00.000 --> 00:00:02.800]  我們在聽聖經話語之前一起祈禱
[00:00:02.800 --> 00:00:05.600]  天父幫助我們
[00:00:05.600 --> 00:00:11.600]  讓我們在禮堂中適應不同的情況
[00:00:11.600 --> 00:00:14.600]  讓我們不僅專注在話語上
[00:00:14.600 --> 00:00:16.200]  我們也體諒別人
[00:00:16.200 --> 00:00:18.600]  讓我們這個愛你的家庭
[00:00:18.600 --> 00:00:21.400]  整個群體成為信仰之家
[00:00:21.400 --> 00:00:23.600]  求主教導我們聖經裡的話語
[00:00:23.600 --> 00:00:25.400]  讓聖靈引導我們明白
[00:00:25.400 --> 00:00:27.600]  祈禱奉耶穌基督 聖命祈求
[00:00:27.600 --> 00:00:28.600]  阿們
[00:00:30.000 --> 00:00:35.400]  很多家庭每年有一個慣例
[00:00:35.400 --> 00:00:37.200]  就是來到這個家庭主日
[00:00:37.200 --> 00:00:41.600]  也有一個慣例就是牧師要講兒童訊息
[00:00:41.600 --> 00:00:47.200]  所以今天我會跟大家講一個故事
[00:00:47.200 --> 00:00:50.000]  各位小朋友聽不聽故事
[00:00:50.000 --> 00:00:54.600]  這個故事叫做三棵小樹
[00:00:54.600 --> 00:00:56.400]  三棵小樹
[00:00:56.600 --> 00:01:03.400]  在很久之前有三棵小樹成長在高山上
[00:01:03.400 --> 00:01:06.400]  這三棵樹都有自己的夢想
[00:01:06.400 --> 00:01:09.200]  他們想我們的木材很有用
[00:01:09.200 --> 00:01:12.200]  大家將來想成為一個怎樣的樹呢
[00:01:12.200 --> 00:01:14.600]  第一棵樹就去想
[00:01:14.600 --> 00:01:19.600]  我知道 我要成為一個很漂亮的藏寶盒
[00:01:19.600 --> 00:01:23.200]  這個藏寶盒會藏著珠寶 藏著黃金
[00:01:23.200 --> 00:01:25.800]  很多很多寶藏藏在裡面
[00:01:26.000 --> 00:01:28.200]  第二棵樹就說
[00:01:28.200 --> 00:01:33.000]  我要成為一棵很強壯的樹
[00:01:33.000 --> 00:01:35.400]  以致成為一艘堅固的大船
[00:01:35.400 --> 00:01:38.000]  航行在很遠的海洋上
[00:01:38.000 --> 00:01:40.800]  第三棵樹就說
[00:01:40.800 --> 00:01:42.800]  我的心願很簡單
[00:01:42.800 --> 00:01:45.400]  我要盡量長得高一點
[00:01:45.400 --> 00:01:46.800]  盡量長得高一點
[00:01:46.800 --> 00:01:48.600]  讓人見到我的時候
[00:01:48.600 --> 00:01:50.800]  都指引他想起上帝
[00:01:50.800 --> 00:01:53.600]  三棵樹這樣談完之後
[00:01:53.600 --> 00:01:55.400]  他們等啊等 等啊等
[00:01:55.600 --> 00:01:57.000]  終於有一天
[00:01:57.000 --> 00:02:00.200]  有佛木的工人爬上這個高山
[00:02:00.200 --> 00:02:02.600]  這三棵樹很想知道
[00:02:02.600 --> 00:02:06.400]  到底天父會不會讓他們的願望成真
[00:02:06.400 --> 00:02:10.400]  當木匠逐棵將他們斬下的時候
[00:02:10.400 --> 00:02:13.800]  他們很期待自己會變成怎樣呢
[00:02:13.800 --> 00:02:17.200]  三棵樹斬下來
