
[00:00:00.000 --> 00:00:04.000]  弟兄姊妹早晨 主內平安
[00:00:04.000 --> 00:00:08.600]  今天來到今年大齋期的最後兩個禮拜
[00:00:08.600 --> 00:00:11.400]  今天宣講的經文也是來自
[00:00:11.400 --> 00:00:14.300]  這個禮拜經課的詩篇
[00:00:14.300 --> 00:00:16.200]  就是詩篇130篇
[00:00:16.200 --> 00:00:18.400]  我們剛才已經讀過
[00:00:18.400 --> 00:00:21.200]  為什麼大齋期會讀這篇詩篇呢?
[00:00:21.200 --> 00:00:25.500]  這篇詩篇是十五篇上行之詩的第十一篇
[00:00:25.500 --> 00:00:27.500]  現在的學者普遍都會同意
[00:00:27.500 --> 00:00:29.800]  就是這十五篇的上行之詩
[00:00:29.800 --> 00:00:34.900]  其實是朝聖者每年上行到耶路撒冷過節
[00:00:34.900 --> 00:00:37.300]  在那個朝聖的旅程
[00:00:37.300 --> 00:00:39.700]  或者在某些特別的禮儀裡面
[00:00:39.700 --> 00:00:42.100]  去頌唱的詩歌
[00:00:42.100 --> 00:00:43.800]  有人形容大齋期
[00:00:43.800 --> 00:00:45.000]  其實本身就是一個
[00:00:45.000 --> 00:00:48.800]  和主耶穌一起走向十字架的一個
[00:00:48.800 --> 00:00:51.500]  朝聖的屬靈旅程
[00:00:51.500 --> 00:00:53.300]  詩句裡面有提到
[00:00:53.300 --> 00:00:55.400]  剛才大家讀過應該都會留意到
[00:00:55.400 --> 00:00:59.400]  有提到罪孽、赦免、救恩、救贖
[00:00:59.400 --> 00:01:00.800]  這些字眼
[00:01:00.800 --> 00:01:02.400]  在最後四世紀的時候
[00:01:02.400 --> 00:01:07.400]  奧古士丁已經將它和另外其他六篇詩篇放在一起
[00:01:07.400 --> 00:01:10.200]  後來稱之為懺悔詩
[00:01:10.200 --> 00:01:15.500]  而大齋期也是一個特別強調認罪和懺悔的節期
[00:01:15.500 --> 00:01:17.200]  剛才讀完這篇詩篇之後
[00:01:17.200 --> 00:01:20.700]  不知道大家會不會覺得
[00:01:20.700 --> 00:01:23.700]  這篇詩篇好像沒有什麼特別
[00:01:23.700 --> 00:01:29.400]  都是重複整卷詩篇裡面一些經常出現的主題
[00:01:29.400 --> 00:01:32.300]  不過宗教改革者馬丁路德
[00:01:32.300 --> 00:01:34.900]  就很高度評價這篇詩篇
[00:01:34.900 --> 00:01:39.300]  他認為它是聖經之中真正的大師和教師
[00:01:39.300 --> 00:01:43.800]  就是將福音的基本真理都勾畫出來
[00:01:43.800 --> 00:01:45.900]  另外大家都可能會聽過
[00:01:45.900 --> 00:01:50.100]  秦道慧理會的創始人約翰衛斯理的事蹟
[00:01:50.100 --> 00:01:54.300]  他在一個靈性陷入低潮的晚上
[00:01:54.300 --> 00:01:56.700]  他得著了得救確具
[00:01:56.700 --> 00:01:59.400]  心裡面感到異常溫暖
[00:01:59.400 --> 00:02:04.100]  這就是大家經常說的艾德門街的經驗
[00:02:04.100 --> 00:02:07.400]  約翰衛斯理在日記裡面特別提到
[00:02:07.400 --> 00:02:10.400]  在那天下午他有一個祈禱會
[00:02:10.400 --> 00:02:17.000]  而在祈禱會裡面他正好還唱了詩篇130篇
[00:02:17.000 --> 00:02:19.100]  到底這篇詩篇有什麼特別?
[00:02:19.100 --> 00:02:21.700]  為什麼得到這麼高的評價
[00:02:21.700 --> 00:02:25.300]  可以感動和激勵人的心靈呢?
[00:02:25.300 --> 00:02:28.800]  按著說話的對象來劃分的話
[00:02:28.800 --> 00:02:34.000]  這篇詩篇可以分為一至四節和五至八節
[00:02:34.000 --> 00:02:36.000]  兩個大段落
[00:02:36.000 --> 00:02:39.300]  前半部分是私人對神的說話
[00:02:39.300 --> 00:02:44.200]  而後半部分不是以神作為說話的對象
