
[00:00:00.000 --> 00:00:04.180]  講關於安息 講關於安靜
[00:00:04.180 --> 00:00:07.340]  這個訊息對你來講有什麼意義呢?
[00:00:07.340 --> 00:00:10.460]  當你讀舊約 經常講安息日
[00:00:10.460 --> 00:00:12.680]  我們看過 看過《猜及記》
[00:00:12.680 --> 00:00:14.460]  我們又看過《耳塞書》
[00:00:14.460 --> 00:00:17.600]  講為什麼要安息 人們不安息會怎樣
[00:00:17.600 --> 00:00:19.820]  去到新約 其實你有印象
[00:00:19.820 --> 00:00:21.060]  四福音有講過的
[00:00:21.060 --> 00:00:23.380]  耶穌說 安息日是
[00:00:23.380 --> 00:00:25.300]  什麼呀?
[00:00:25.300 --> 00:00:26.420]  為人設立的
[00:00:26.420 --> 00:00:28.800]  人只是安息日的主
[00:00:28.800 --> 00:00:31.740]  除此以外 你有印象的經文
[00:00:31.740 --> 00:00:35.660]  就是上次我們一個月前講過的
[00:00:35.660 --> 00:00:36.960]  《馬太福音》
[00:00:36.960 --> 00:00:39.540]  它說我們要來到基督的面前
[00:00:39.540 --> 00:00:41.140]  來到主的腳前
[00:00:41.140 --> 00:00:42.460]  負他的額
[00:00:42.460 --> 00:00:44.780]  他的額是容易的
[00:00:44.780 --> 00:00:46.520]  他的擔子是輕散的
[00:00:46.520 --> 00:00:47.580]  有些recap
[00:00:47.580 --> 00:00:51.280]  希望讓你組織到底我們去到哪裡
[00:00:51.280 --> 00:00:52.720]  今天是另一段經文
[00:00:52.720 --> 00:00:54.740]  也是在新約裡面
[00:00:54.740 --> 00:00:58.360]  講關於安息很詳盡的一段經文
[00:00:58.360 --> 00:01:02.020]  是在《希伯來書》第三章和第四章
[00:01:02.020 --> 00:01:04.300]  其實我今天選了這段經文
[00:01:04.300 --> 00:01:05.640]  碰巧第一個星期
[00:01:05.640 --> 00:01:06.580]  我已經很害怕了
[00:01:06.580 --> 00:01:08.720]  因為這段經文又這麼長
[00:01:08.720 --> 00:01:10.360]  聖餐的崇拜
[00:01:10.360 --> 00:01:11.820]  講到的時間又短
[00:01:11.820 --> 00:01:12.560]  那怎麼辦呢?
[00:01:12.560 --> 00:01:13.320]  不過沒辦法
[00:01:13.320 --> 00:01:15.180]  選了就唯有繼續講
[00:01:15.180 --> 00:01:16.320]  咦?
[00:01:16.320 --> 00:01:19.040]  remote不行
[00:01:19.040 --> 00:01:20.880]  再來
[00:01:20.880 --> 00:01:23.260]  好 講回
[00:01:23.260 --> 00:01:24.580]  這個經文
[00:01:24.580 --> 00:01:26.480]  和《馬太福音》有很大分別
[00:01:26.480 --> 00:01:28.660]  若果我講到你有留意
[00:01:28.660 --> 00:01:31.540]  我提過《馬太福音》是一本很特別的書
[00:01:31.540 --> 00:01:34.160]  《馬太福音》總共有五篇講章
[00:01:34.160 --> 00:01:35.340]  你一直讀《馬太福音》
[00:01:35.340 --> 00:01:37.040]  為什麼28章這麼長呢?
[00:01:37.040 --> 00:01:39.540]  因為它有五篇講章在裡面
[00:01:39.540 --> 00:01:41.380]  那在《希伯來書》有什麼不同呢?
[00:01:41.380 --> 00:01:42.700]  和《馬太福音》
[00:01:42.700 --> 00:01:44.080]  都是有五個
[00:01:44.080 --> 00:01:46.360]  但不是五篇講章
[00:01:46.360 --> 00:01:49.060]  是五個warning
[00:01:49.060 --> 00:01:50.160]  警告
[00:01:50.160 --> 00:01:52.960]  在《希伯來書》的第三、第四章
[00:01:52.960 --> 00:01:54.240]  是第二個警告
[00:01:54.240 --> 00:01:55.800]  警告什麼呢?
[00:01:55.800 --> 00:02:00.620]  警告一群不願意進入安息的人
[00:02:00.620 --> 00:02:01.780]  警告啊
[00:02:01.780 --> 00:02:04.160]  你聽到警告有什麼感覺呢?
[00:02:04.160 --> 00:02:05.720]  都是這樣
[00:02:05.720 --> 00:02:07.880]  我發覺大部分人都是這樣的
[00:02:07.880 --> 00:02:11.420]  我們現在的force alarm(強制警告)太多了
[00:02:11.420 --> 00:02:13.040]  當我們聽到真的警告
[00:02:13.040 --> 00:02:14.680]  我們都是沒有反應的
[00:02:14.680 --> 00:02:18.400]  原本force alarm(強制警告)就是那些演習
[00:02:18.400 --> 00:02:19.880]  是希望train(訓練)你
[00:02:19.880 --> 00:02:21.140]  當有事的時候
[00:02:21.140 --> 00:02:22.900]  知道逃生在哪裡
[00:02:22.900 --> 00:02:28.000]  有誰坐飛機的時候會很留心聽他怎麼扣安全帶
[00:02:28.000 --> 00:02:30.640]  然後他就這樣指來指去
[00:02:30.640 --> 00:02:31.980]  有段短片給你
[00:02:31.980 --> 00:02:34.800]  通常那段時間你一是套著耳朵聽歌
[00:02:34.800 --> 00:02:36.000]  一是看書
[00:02:36.000 --> 00:02:38.680]  一是閉目養神等器機
[00:02:38.680 --> 00:02:41.160]  但如果真的發生事的時候
[00:02:41.160 --> 00:02:43.960]  其實這個warning(警告)
