
[00:00:00.000 --> 00:00:02.600]  大衛傳的第十一講
[00:00:02.600 --> 00:00:04.800]  我講了很多的系列
[00:00:04.800 --> 00:00:06.800]  這些系列主要的目的
[00:00:06.800 --> 00:00:09.500]  就是要幫助大家讀經
[00:00:09.500 --> 00:00:11.100]  如果你們讀經之前
[00:00:11.100 --> 00:00:15.100]  先聽一聽有關經文的講道
[00:00:15.100 --> 00:00:18.400]  是能夠幫助你更加認識經文
[00:00:18.400 --> 00:00:21.700]  而我在處每一部書
[00:00:21.700 --> 00:00:24.400]  第一講都是叫做
[00:00:24.400 --> 00:00:26.400]  為何要讀這部書
[00:00:26.400 --> 00:00:28.600]  就是對這部書的介紹
[00:00:28.600 --> 00:00:33.200]  當你聽了這個介紹的視頻
[00:00:33.200 --> 00:00:35.400]  是會幫助你更加明白
[00:00:35.400 --> 00:00:37.000]  當時的背景
[00:00:37.000 --> 00:00:40.800]  能夠更加明白這部書是講什麼
[00:00:40.800 --> 00:00:43.300]  今天我們會繼續講
[00:00:43.300 --> 00:00:47.600]  撒母以下的第三章和第四章
[00:00:47.600 --> 00:00:50.300]  我給它的名字叫做
[00:00:50.300 --> 00:00:55.000]  別高舉神明來假公濟私
[00:00:55.000 --> 00:00:56.600]  世上有很多人
[00:00:56.600 --> 00:00:59.400]  都是喜歡高舉神的名
[00:00:59.400 --> 00:01:02.500]  來做他們自己喜歡做的事
[00:01:02.500 --> 00:01:03.600]  他會和別人說
[00:01:03.600 --> 00:01:06.100]  這是好事所以我做
[00:01:06.100 --> 00:01:08.000]  甚至會說
[00:01:08.000 --> 00:01:10.300]  這是神的旨意
[00:01:10.300 --> 00:01:13.700]  替天行道
[00:01:13.700 --> 00:01:16.400]  其實這是假公濟私
[00:01:16.400 --> 00:01:19.200]  其實因為他們自己有私心
[00:01:19.200 --> 00:01:20.600]  想做這件事
[00:01:20.600 --> 00:01:22.000]  就借神的名
[00:01:22.000 --> 00:01:24.700]  來打響神的旗號
[00:01:24.700 --> 00:01:26.700]  我們要學習大衛
[00:01:26.700 --> 00:01:28.700]  大衛是剛剛相反
[00:01:28.700 --> 00:01:30.100]  大衛怎樣
