
[00:00:00.000 --> 00:00:04.640]  今日我們繼續藉著聆聽神的話語去敬拜上帝
[00:00:04.640 --> 00:00:10.280]  《少林傳》五章二十九到三十二節
[00:00:10.280 --> 00:00:12.720]  在碧白裏面
[00:00:12.720 --> 00:00:18.160]  使徒他們回應的四句經文
[00:00:18.160 --> 00:00:21.880]  最後這次聖經三十二節說
[00:00:21.880 --> 00:00:27.000]  使徒為耶穌復活的福音作見證
[00:00:27.120 --> 00:00:30.160]  聖靈亦為此事作見證
[00:00:30.160 --> 00:00:34.640]  今日不僅是我們去見證主
[00:00:34.640 --> 00:00:36.320]  是聖靈與我們一起
[00:00:36.320 --> 00:00:39.000]  因為聖靈住在我們每一個信徒裏面
[00:00:39.000 --> 00:00:42.480]  我們一起在神面前安靜
[00:00:42.480 --> 00:00:44.120]  我們再一次禱告
[00:00:44.120 --> 00:00:49.840]  求真理的靈引導我們進入祂的話語
[00:00:51.040 --> 00:00:57.280]  天父上帝,我們在生活的小事上去經歷祢
[00:00:57.280 --> 00:01:03.560]  我們亦在生活裏面的大事上去經歷祢
[00:01:03.560 --> 00:01:07.440]  有些大事我們不知如何回應
[00:01:07.440 --> 00:01:10.360]  我們看周圍的聲音
[00:01:10.360 --> 00:01:12.520]  望周圍的人
[00:01:12.520 --> 00:01:17.160]  但我們最終都是要仰望祢
[00:01:17.160 --> 00:01:18.800]  祢指教我們
[00:01:19.080 --> 00:01:23.320]  明白真理,指教我們每一個人當怎樣行
[00:01:23.320 --> 00:01:26.360]  求祢幫助教會,亦幫助我們
[00:01:26.360 --> 00:01:30.160]  好像一班使徒面對壓迫的時候
[00:01:30.160 --> 00:01:33.040]  他們是依靠聖靈去作見證
[00:01:33.040 --> 00:01:34.760]  他們不是靠自己
[00:01:34.760 --> 00:01:37.360]  因為他們是軟弱的器皿
[00:01:37.360 --> 00:01:42.440]  主我們求祢幫我們進入這段聖經
[00:01:42.440 --> 00:01:45.720]  明白當日祢的使徒如何面對
[00:01:45.720 --> 00:01:49.120]  今日我們亦都可以依靠神如何面對
[00:01:49.120 --> 00:01:55.400]  當日祢的使徒如何在困難裏面仍然能夠歡喜快樂
[00:01:55.400 --> 00:01:59.800]  覺得可以配為主的明壽肉而歡喜
[00:01:59.800 --> 00:02:02.280]  今日都讓我們有同一個心智
[00:02:02.280 --> 00:02:04.840]  求祢聆聽我們的禱告
[00:02:04.840 --> 00:02:06.840]  奉耶穌基督的聖名
[00:02:06.840 --> 00:02:12.200]  今日的講題叫「出於神,還是出於人?」
[00:02:14.200 --> 00:02:19.320]  最近新聞關於我們基督徒、基督教
[00:02:19.320 --> 00:02:24.200]  有兩段新聞我覺得是很特別的
[00:02:24.200 --> 00:02:29.320]  第一就是我們有一首詩歌很多人都聽過
[00:02:29.320 --> 00:02:32.200]  還是英文,因為香港是國際
[00:02:32.200 --> 00:02:34.200]  我想一下為何他們不唱中文
[00:02:34.200 --> 00:02:37.000]  英文有很多人認識
[00:02:37.000 --> 00:02:39.240]  Sing Hallelujah to the Lord
[00:02:39.240 --> 00:02:41.960]  有誰是懂得唱的?
[00:02:45.160 --> 00:02:47.800]  我就嫌錯得多個頭
[00:02:47.800 --> 00:02:51.480]  我通常就不是想大家唱
[00:02:51.480 --> 00:02:55.880]  我想講有第二個更吸引我們眼球的
[00:02:55.880 --> 00:02:59.400]  就是你知道在立法會那天
[00:02:59.400 --> 00:03:03.240]  有一個牧師跟警員說
[00:03:03.240 --> 00:03:07.720]  拜託你真的會衝擊
[00:03:07.720 --> 00:03:10.360]  不是,那個叫甚麼
[00:03:10.360 --> 00:03:13.720]  即是你們行動的時候請你們給訊號
[00:03:14.280 --> 00:03:16.600]  接著那個警員回答牧師是說甚麼
[00:03:16.600 --> 00:03:21.960]  有沒有人敢問過你
[00:03:21.960 --> 00:03:23.160]  當你傳福音的時候
[00:03:23.160 --> 00:03:26.280]  或者當你去跟別人見證
[00:03:26.280 --> 00:03:29.240]  或者講到信仰相關的事
[00:03:29.240 --> 00:03:30.520]  沒有嗎?
[00:03:30.520 --> 00:03:33.720]  即是他可能都
[00:03:33.720 --> 00:03:37.560]  但這樣講反映一件事
