
[00:00:00.000 --> 00:00:03.200]  我們繼續在《孕育愛》的系列裡面
[00:00:03.200 --> 00:00:06.000]  我今年在用哥倫多前書
[00:00:06.000 --> 00:00:08.000]  差不多用第一章可以看到以下
[00:00:08.000 --> 00:00:12.500]  其實如果你留意一下那個段落
[00:00:12.500 --> 00:00:15.700]  其實十二章講恩賜
[00:00:15.700 --> 00:00:17.400]  上一課
[00:00:17.400 --> 00:00:19.000]  就是上兩課
[00:00:19.000 --> 00:00:20.500]  我記得上次是幾次應該是
[00:00:20.500 --> 00:00:23.400]  對 這裡寫十月二十一 二十二號就講了
[00:00:23.400 --> 00:00:25.600]  追求恩賜是福是禍
[00:00:25.600 --> 00:00:27.600]  其實接著又會講
[00:00:27.900 --> 00:00:30.600]  保羅會寫第十四章
[00:00:30.600 --> 00:00:32.900]  恩賜與是奉去比較
[00:00:32.900 --> 00:00:35.400]  講到恩賜來 說謊言的恩賜
[00:00:35.400 --> 00:00:36.900]  其實可以跳過這一章
[00:00:36.900 --> 00:00:39.400]  我有時會想這章其實大家都很熟悉
[00:00:39.400 --> 00:00:42.400]  我們還講來幹什麼呢
[00:00:42.400 --> 00:00:44.900]  要記得我上一課
[00:00:44.900 --> 00:00:48.400]  就用了這幅漫畫去做結束
[00:00:48.400 --> 00:00:50.400]  不知道大家看的時候感覺如何
[00:00:50.400 --> 00:00:52.900]  通常漫畫比較搞笑一點
[00:00:52.900 --> 00:00:55.400]  好像一個諷刺性那樣
[00:00:55.700 --> 00:00:59.000]  想傻傻的自己打自己
[00:00:59.000 --> 00:01:02.800]  如果你記得保羅是用身體的器官
[00:01:02.800 --> 00:01:06.000]  形容弟兄姊妹運用恩賜的比喻
[00:01:06.000 --> 00:01:08.000]  你就知道其實他在講
[00:01:08.000 --> 00:01:09.800]  自己人打自己人
[00:01:09.800 --> 00:01:12.400]  如果你用同理心去代入這個人的時候
[00:01:12.400 --> 00:01:13.700]  你會覺得怎樣
[00:01:13.700 --> 00:01:16.600]  其實他都很可憐
[00:01:16.600 --> 00:01:18.000]  好像他有神經病
[00:01:18.000 --> 00:01:20.000]  為什麼會自己打自己呢
[00:01:20.000 --> 00:01:22.900]  當你進入第十三章的時候
[00:01:22.900 --> 00:01:26.700]  我們要想想保羅的心情是怎樣的呢
[00:01:26.700 --> 00:01:28.700]  如果你還記得我講過
[00:01:28.700 --> 00:01:31.700]  哥倫多教會當中有紛爭
[00:01:31.700 --> 00:01:34.700]  在一章十一節本裡我開始已經講了
[00:01:34.700 --> 00:01:38.700]  他作為一個哥倫多教會的創辦牧師
[00:01:38.700 --> 00:01:42.700]  他聽到他所創辦的教會裡面有紛爭
[00:01:42.700 --> 00:01:44.700]  去到第十一章他再講
[00:01:44.700 --> 00:01:47.700]  你們聚會的時候有分裂的事
[00:01:47.700 --> 00:01:51.700]  作為保羅的心情會是怎樣的呢
[00:01:52.700 --> 00:01:58.700]  他心裡面有一種很軟弱
[00:01:58.700 --> 00:02:02.700]  還有很悲慘的心情
[00:02:02.700 --> 00:02:06.700]  他要用哥倫多前書的第十三章
[00:02:06.700 --> 00:02:10.700]  他知道唯一能夠解決教會紛爭
[00:02:10.700 --> 00:02:12.700]  分黨分裂的問題
[00:02:12.700 --> 00:02:14.700]  就是一個字 是什麼
[00:02:14.700 --> 00:02:17.700]  愛 沒錯 是愛
[00:02:17.700 --> 00:02:21.700]  你看到第十三章是用了不同的一個題材
[00:02:21.700 --> 00:02:25.700]  是用詩歌的文學 詩歌的題材去寫的
[00:02:25.700 --> 00:02:29.700]  所以哥倫多教會需要愛
[00:02:29.700 --> 00:02:31.700]  你需要愛嗎
[00:02:31.700 --> 00:02:33.700]  聽不到的
[00:02:33.700 --> 00:02:35.700]  需要 我們需要什麼
[00:02:35.700 --> 00:02:37.700]  愛 教會需要愛
[00:02:37.700 --> 00:02:42.700]  今天我們的社會 我們的香港都需要愛
[00:02:42.700 --> 00:02:45.700]  所以到了第十二章尾 三一節
[00:02:45.700 --> 00:02:48.700]  保羅說我現在要將最美的道指示你們
[00:02:48.700 --> 00:02:53.700]  讓我們準備進入今天第十三章的篇章
[00:02:53.700 --> 00:02:55.700]  剛才謝謝秉文執事幫我們讀出了
[00:02:55.700 --> 00:02:57.700]  我們不重覆讀了
[00:02:57.700 --> 00:02:59.700]  不過一節三節裡面你會看到
[00:02:59.700 --> 00:03:02.700]  有一個很明顯 一個重覆的pattern
