
[00:00:00.000 --> 00:00:02.000]  各位電影姊妹 早晨
[00:00:02.000 --> 00:00:06.800]  Bertoldo Di Giovanni
[00:00:06.800 --> 00:00:09.000]  是文藝復興時期
[00:00:09.000 --> 00:00:11.500]  意大利一個雕塑家
[00:00:11.500 --> 00:00:14.000]  不是很多人聽過他的名字
[00:00:14.000 --> 00:00:16.800]  就算是很熱衷於藝術的人
[00:00:16.800 --> 00:00:19.000]  都可能不認識他
[00:00:19.000 --> 00:00:22.500]  但是他卻有一個學生
[00:00:22.500 --> 00:00:25.000]  是世界知名的
[00:00:25.000 --> 00:00:27.500]  這個學生就是
[00:00:27.500 --> 00:00:31.000]  Michelangelo 米高安哲羅
[00:00:31.000 --> 00:00:34.500]  原來米高安哲羅十四歲的時候
[00:00:34.500 --> 00:00:38.500]  就跟這個老師學習雕塑
[00:00:38.500 --> 00:00:42.000]  而這個老師很快就發現
[00:00:42.000 --> 00:00:45.500]  這個年輕人是天才橫刃
[00:00:45.500 --> 00:00:48.500]  於是他就盡力去幫助他
[00:00:48.500 --> 00:00:51.500]  去發揮他的潛質
[00:00:51.500 --> 00:00:53.000]  有一天
[00:00:53.000 --> 00:00:56.500]  米高安哲羅十幾歲的年輕人
[00:00:56.500 --> 00:00:58.500]  他就在這裡隨意地
[00:00:58.500 --> 00:01:00.500]  在這裡挑剔一些東西
[00:01:00.500 --> 00:01:02.500]  他是拿來玩的
[00:01:02.500 --> 00:01:04.500]  老師看到
[00:01:04.500 --> 00:01:07.500]  接著他就拿了一個鎚子
[00:01:07.500 --> 00:01:09.000]  衝上去
[00:01:09.000 --> 00:01:12.500]  一下子就將他挑剔的東西
[00:01:12.500 --> 00:01:14.000]  打破了
[00:01:14.000 --> 00:01:17.500]  然後他就說了一句話
[00:01:17.500 --> 00:01:20.500]  這句話就影響著
[00:01:20.500 --> 00:01:23.500]  米高安哲羅的一生
[00:01:25.000 --> 00:01:28.500]  他說天才是廉價
[00:01:28.500 --> 00:01:32.500]  但是忠誠卻是昂貴的
[00:01:32.500 --> 00:01:34.500]  Talent is cheap
[00:01:34.500 --> 00:01:38.500]  but dedication is costly
[00:01:38.500 --> 00:01:42.000]  米高安哲羅他的一生
[00:01:42.000 --> 00:01:45.500]  對藝術是忠誠
[00:01:45.500 --> 00:01:47.500]  從他的作品
[00:01:47.500 --> 00:01:49.500]  好像大遺像
[00:01:49.500 --> 00:01:51.500]  好像創世紀
[00:01:51.500 --> 00:01:53.500]  好像最後的審判
[00:01:53.500 --> 00:01:56.000]  這些作品我們都看到
[00:01:56.000 --> 00:02:00.000]  米高安哲羅那種忠誠
[00:02:00.000 --> 00:02:02.000]  無論在藝術界
