
[00:00:00.000 --> 00:00:01.660]  如果你有印象
[00:00:01.660 --> 00:00:03.740]  我們這次已經說到第三講了
[00:00:03.740 --> 00:00:05.440]  我們三個加起來
[00:00:05.440 --> 00:00:08.820]  都是《馬太福音》第一個段落的總結
[00:00:08.820 --> 00:00:11.520]  大家可能會記得
[00:00:11.520 --> 00:00:14.820]  一開始就已經是說登山部份
[00:00:14.820 --> 00:00:17.600]  一看登山部份的時候就會說
[00:00:17.600 --> 00:00:19.200]  其實天國是我們的
[00:00:19.200 --> 00:00:20.980]  天國是屬於甚麼人的呢
[00:00:20.980 --> 00:00:23.420]  大家都有很大很大的討論
[00:00:23.420 --> 00:00:25.600]  事實上在登山部份裏面
[00:00:25.600 --> 00:00:30.900]  是給我們有些提醒和憂慮的
[00:00:30.900 --> 00:00:33.100]  不過我很想給鼎師妹一個安慰
[00:00:33.100 --> 00:00:34.140]  和你加起來說
[00:00:34.140 --> 00:00:36.020]  你又可以上天堂的
[00:00:36.020 --> 00:00:38.240]  大家就很擔心
[00:00:38.240 --> 00:00:40.060]  嘩 真是天國的福音
[00:00:40.060 --> 00:00:41.820]  天國又是這些人的
[00:00:41.820 --> 00:00:44.220]  究竟我能不能進入天堂呢
[00:00:44.220 --> 00:00:46.440]  信主的就可以進入天堂了
[00:00:46.440 --> 00:00:48.840]  所以鼎師妹你不要有太大的憂慮
[00:00:48.840 --> 00:00:53.220]  不過事實上當我們一面對八福的時候
[00:00:53.220 --> 00:00:55.760]  心裏面是有些忐忑的
[00:00:55.760 --> 00:00:57.340]  因為你想想
[00:00:57.340 --> 00:01:01.200]  這八種人都真是不容易做的
[00:01:01.200 --> 00:01:04.300]  無論你說虛心 清心
[00:01:04.300 --> 00:01:06.040]  又要使人和睦
[00:01:06.040 --> 00:01:08.460]  最慘還是要畏異受逼迫
[00:01:08.460 --> 00:01:10.200]  天國才是他們的
[00:01:10.200 --> 00:01:13.460]  不知道你們在聽講道的時候
[00:01:13.460 --> 00:01:14.780]  有甚麼回應
[00:01:14.780 --> 00:01:16.140]  在少了討論的時候
[00:01:16.140 --> 00:01:18.080]  你會不會覺得其實都很艱難
[00:01:18.080 --> 00:01:20.020]  同時有時想靠著人
[00:01:20.020 --> 00:01:22.400]  能不能做到呢
[00:01:22.400 --> 00:01:24.060]  我記得我自小在教會長大
[00:01:24.060 --> 00:01:25.700]  聽這些道理都聽過很多
[00:01:25.700 --> 00:01:28.800]  你問我 事實上聽到的感覺都是
[00:01:28.800 --> 00:01:31.240]  頗紮心和頗擔心的
[00:01:31.240 --> 00:01:34.120]  嘩 覺得很難呀 怎麼搞呀
[00:01:34.120 --> 00:01:36.540]  自然很多傳道人一路教下去
[00:01:36.540 --> 00:01:38.020]  一路講下去的訊息
[00:01:38.020 --> 00:01:39.340]  我們很自然就講到
[00:01:39.340 --> 00:01:41.260]  我們要作光作炎
[00:01:41.260 --> 00:01:43.120]  你的燈又不能放在桌下
[00:01:43.120 --> 00:01:44.900]  要放在桌上
[00:01:44.900 --> 00:01:47.700]  所有的指向都要叫我們很努力
[00:01:47.700 --> 00:01:49.460]  很努力 很難的了
[00:01:49.460 --> 00:01:50.580]  用心一點
[00:01:50.580 --> 00:01:53.660]  所以你問我小時候做基督徒開不開心
[00:01:53.660 --> 00:01:56.200]  想起主耶穌的愛就開心
[00:01:56.200 --> 00:01:57.860]  但想起這裏要做好
[00:01:57.860 --> 00:01:59.500]  那裏要做好的時候
[00:01:59.500 --> 00:02:02.420]  其實都是有些辛苦的
[00:02:02.420 --> 00:02:03.980]  但是這十多年
[00:02:03.980 --> 00:02:06.320]  我不知信不信主女弟姐妹要留意
[00:02:06.320 --> 00:02:09.440]  整個基督教的氣氛是有些改變
[00:02:09.440 --> 00:02:12.700]  我們開始沒有那麼多罵人的傳道牧師了
[00:02:12.700 --> 00:02:14.660]  所以牧師嚴格兩句
[00:02:14.660 --> 00:02:17.620]  大家已經不是很受得了
[00:02:17.620 --> 00:02:21.200]  整個氣氛講了上帝的愛
[00:02:21.200 --> 00:02:23.000]  上帝是偉大的愛
