
[00:00:00.000 --> 00:00:02.000]  各位弟子妹平安
[00:00:02.000 --> 00:00:06.000]  邀請大家再次低頭祈禱
[00:00:06.000 --> 00:00:10.000]  請主我們感謝祢
[00:00:10.000 --> 00:00:12.000]  感謝祢的呼喚 祢的吸引
[00:00:12.000 --> 00:00:14.000]  讓我們在聖主的清晨
[00:00:14.000 --> 00:00:18.000]  可以聚集在聖殿裡的敬拜
[00:00:18.000 --> 00:00:20.000]  請主我們獻上感謝
[00:00:20.000 --> 00:00:22.000]  也獻上懇求的
[00:00:22.000 --> 00:00:25.000]  讓祢的靈去安靜我們的心
[00:00:25.000 --> 00:00:26.000]  也賜給我們的悟性
[00:00:26.000 --> 00:00:28.000]  能夠明白祢的話語的奧秘
[00:00:28.000 --> 00:00:32.000]  願聽的和說的都同夢理的願
[00:00:32.000 --> 00:00:34.000]  祈禱奉主耶穌基督的名求
[00:00:34.000 --> 00:00:36.000]  阿們
[00:00:36.000 --> 00:00:38.000]  想問問大家
[00:00:38.000 --> 00:00:42.000]  知不知道什麼叫白蟻?
[00:00:42.000 --> 00:00:45.000]  當然知道了
[00:00:45.000 --> 00:00:47.000]  有沒有見過?
[00:00:47.000 --> 00:00:49.000]  有見過
[00:00:49.000 --> 00:00:51.000]  有沒有被它侵害過?
[00:00:51.000 --> 00:00:53.000]  當然不好
[00:00:53.000 --> 00:00:57.000]  我其實不太知道什麼叫白蟻
[00:00:57.000 --> 00:01:00.000]  於是就上網去找找
[00:01:00.000 --> 00:01:03.000]  原來它的名字叫白蟻
[00:01:03.000 --> 00:01:05.000]  但它不屬於螞蟻類
[00:01:05.000 --> 00:01:08.000]  通常在下雨天的時候會出現
[00:01:08.000 --> 00:01:10.000]  很喜歡燈光
[00:01:10.000 --> 00:01:12.000]  所以大家在下雨的時候
[00:01:12.000 --> 00:01:15.000]  你的家裡會有很多飛蟻進來
[00:01:15.000 --> 00:01:18.000]  這些飛蟻就是白蟻的幼蟲
[00:01:18.000 --> 00:01:21.000]  在這段時間它們會交配
[00:01:21.000 --> 00:01:24.000]  繁殖的力量非常大
[00:01:24.000 --> 00:01:28.000]  黏性都會像螞蟻一樣變成蟻喉
[00:01:28.000 --> 00:01:31.000]  它長大之後就會成為白蟻
[00:01:31.000 --> 00:01:33.000]  會駐空木材
[00:01:33.000 --> 00:01:36.000]  所以下次你家裡見到飛蟻
[00:01:36.000 --> 00:01:37.000]  你要小心
[00:01:37.000 --> 00:01:40.000]  因為它會變成白蟻
[00:01:40.000 --> 00:01:41.000]  我以前有位同事
[00:01:41.000 --> 00:01:44.000]  當他發現家裡有白蟻的時候
[00:01:44.000 --> 00:01:49.000]  已經被它們駐了很多東西
[00:01:49.000 --> 00:01:51.000]  不單吃木材
[00:01:51.000 --> 00:01:53.000]  連石屎也吃
[00:01:53.000 --> 00:01:57.000]  所以不要輕看這些細小的昆蟲
[00:01:57.000 --> 00:02:00.000]  昨晚陳英堂說
[00:02:00.000 --> 00:02:02.000]  他家裡也試過
[00:02:02.000 --> 00:02:06.000]  也造成很大的傷害破壞
[00:02:06.000 --> 00:02:07.000]  我今天為大家訂了題目
[00:02:07.000 --> 00:02:09.000]  叫「舌頭的威力」
[00:02:09.000 --> 00:02:12.000]  我們每個人都有運用舌頭的自由
[00:02:12.000 --> 00:02:15.000]  不過也像注意白蟻一樣
[00:02:15.000 --> 00:02:17.000]  注意它們的威力
[00:02:17.000 --> 00:02:20.000]  因為它們所帶來的影響
[00:02:20.000 --> 00:02:24.000]  甚至比白蟻更加巨大
[00:02:24.000 --> 00:02:30.000]  剛才施浪堂委為我們讀出今天的經文
[00:02:30.000 --> 00:02:31.000]  傳統認為
[00:02:31.000 --> 00:02:35.000]  雅各書是耶穌的兄弟雅各所寫的
[00:02:35.000 --> 00:02:39.000]  他是早期耶路撒冷教會的領袖
[00:02:39.000 --> 00:02:42.000]  我們從《少林寺行傳》十五章可以看到
