
[00:00:00.000 --> 00:00:02.540]  歡迎大家來到我們的《周圍崇拜》
[00:00:02.540 --> 00:00:06.680]  五個月前我們開始了一個新的講道系列
[00:00:06.680 --> 00:00:10.880]  我們要宣講的是《新約聖經》裏面的《約翰福音》
[00:00:10.880 --> 00:00:15.640]  我們宣講的題目是「榮耀、溫和」
[00:00:15.640 --> 00:00:17.240]  系列一開始的時候
[00:00:17.240 --> 00:00:20.500]  我們花了三篇的講道去研讀
[00:00:20.500 --> 00:00:23.640]  《約翰福音》裏面偉大的序言
[00:00:23.640 --> 00:00:27.960]  「太子派有道 道與上帝同在 道就是上帝」
[00:00:27.960 --> 00:00:31.920]  接著一章第十四節「道成了欲 身處在我們當中
[00:00:31.920 --> 00:00:34.940]  充充滿滿的有恩典有真理
[00:00:34.940 --> 00:00:42.080]  我們也看見過他的榮光 正是復讀一兒子的榮光」
[00:00:42.080 --> 00:00:43.840]  讀完了序言之後
[00:00:43.840 --> 00:00:45.920]  我們用了兩篇的講道
[00:00:45.920 --> 00:00:52.580]  來研讀施洗約翰的悔改洗禮和基督的見證
[00:00:52.580 --> 00:00:57.440]  耶穌在約旦河受洗領受了天降的聖靈
[00:00:57.440 --> 00:00:59.660]  從此以後施洗約翰
[00:00:59.660 --> 00:01:05.460]  肯定耶穌就是上帝所揀選所應許的救主君王
[00:01:05.460 --> 00:01:08.500]  他叫耶穌做上帝的羔羊
[00:01:08.500 --> 00:01:11.080]  他要除掉世界的罪
[00:01:11.080 --> 00:01:13.140]  於是他由那時候開始
[00:01:13.140 --> 00:01:18.100]  他將很多的門徒都引到耶穌那裏去
[00:01:18.100 --> 00:01:21.460]  去到《約翰福音》第一章的結束的時候
[00:01:21.460 --> 00:01:24.740]  我們發現耶穌一共收了五個門徒
[00:01:24.740 --> 00:01:29.860]  先是約翰、安德烈、西門、彼得和肥歷
[00:01:29.860 --> 00:01:32.680]  接著還有五號兒子拿丹葉
[00:01:32.680 --> 00:01:35.300]  拿丹葉是一個真以色列人
[00:01:35.300 --> 00:01:37.020]  他心裏沒有詭詐
[00:01:37.020 --> 00:01:38.800]  不是我講的 是耶穌講的
[00:01:38.800 --> 00:01:43.300]  拿丹葉在無花果樹底下被耶穌所看見
[00:01:43.300 --> 00:01:46.440]  我相信他在無花果樹底下
[00:01:46.440 --> 00:01:50.720]  可能是在思想《撒該約書》第三章第十節
[00:01:50.720 --> 00:01:54.420]  無花果樹底下的一個基督的應許
[00:01:54.420 --> 00:01:56.540]  將來的基督會來
[00:01:56.540 --> 00:02:00.460]  接著有一群人聚集在無花果樹底下
[00:02:00.460 --> 00:02:05.760]  他在這樣的場景裏被耶穌所呼召
[00:02:05.760 --> 00:02:10.040]  可悲的是前面四個門徒不同拿丹葉
[00:02:10.040 --> 00:02:12.280]  他們心裏充滿詭詐
[00:02:12.280 --> 00:02:13.960]  拿丹葉就沒有詭詐
[00:02:13.960 --> 00:02:17.320]  他們就心裏充滿著詭詐
[00:02:17.320 --> 00:02:20.560]  他們所追求的是地上的榮耀
[00:02:20.560 --> 00:02:21.960]  他們必須要領受
[00:02:21.960 --> 00:02:25.440]  將來領受耶穌基督的聖靈洗禮
[00:02:25.440 --> 00:02:28.360]  才可以重生 才可以進入天國
[00:02:28.360 --> 00:02:32.920]  才可以真正的敬拜天父
[00:02:32.920 --> 00:02:34.640]  於是就這樣
[00:02:34.640 --> 00:02:39.840]  耶穌帶著五個門徒進入了《約翰福音》第二章
[00:02:39.840 --> 00:02:40.840]  正如學者告訴我們
[00:02:40.840 --> 00:02:43.140]  《約翰福音》第二章至第四章
[00:02:43.140 --> 00:02:46.680]  是一個精心編排的整體
