
[00:00:00.000 --> 00:00:03.440]  我今天要和大家分享的題目就是
[00:00:03.440 --> 00:00:06.260]  「我還缺少什麼?」
[00:00:06.260 --> 00:00:10.740]  當我們看到PowerPoint上有一張的砌圖
[00:00:10.740 --> 00:00:13.820]  其實我們的人生都好像一幅砌圖
[00:00:13.820 --> 00:00:15.380]  有很多的板塊
[00:00:15.380 --> 00:00:17.940]  可能那些板塊是來自我們的家庭
[00:00:17.940 --> 00:00:19.680]  來自我們的教會
[00:00:19.680 --> 00:00:21.560]  來自我們的工作
[00:00:21.560 --> 00:00:24.720]  來自我們很多不同的生活層面
[00:00:24.720 --> 00:00:26.180]  當這一塊的砌圖
[00:00:26.180 --> 00:00:28.380]  我們說什麼叫做完整無缺
[00:00:28.380 --> 00:00:30.700]  什麼叫做完美的砌圖呢
[00:00:30.700 --> 00:00:33.620]  就是將這些板塊砌好漂亮
[00:00:33.620 --> 00:00:35.820]  凹凹凸凸的
[00:00:35.820 --> 00:00:38.340]  就成為一個完美的砌圖
[00:00:38.340 --> 00:00:40.060]  當我們思想我們的人生
[00:00:40.060 --> 00:00:41.500]  什麼叫做完整
[00:00:41.500 --> 00:00:43.980]  什麼叫做圓滿的時候
[00:00:43.980 --> 00:00:45.100]  我不知道弟兄姊妹
[00:00:45.100 --> 00:00:46.340]  你心裏面想
[00:00:46.340 --> 00:00:49.720]  你自己的生命怎樣才叫做完美
[00:00:49.720 --> 00:00:53.340]  可能你想的和我想的都不同
[00:00:53.340 --> 00:00:55.940]  可能我們在人生不同的進程
[00:00:55.940 --> 00:00:57.140]  不同的階段
[00:00:57.140 --> 00:00:59.340]  我們想的都會不同
[00:00:59.340 --> 00:01:01.740]  我記得在我小時候
[00:01:01.740 --> 00:01:03.100]  我讀幼稚園
[00:01:03.100 --> 00:01:04.300]  你問我什麼叫做好
[00:01:04.300 --> 00:01:06.340]  我們醫療當中都有很多
[00:01:06.340 --> 00:01:08.300]  是有小朋友的家長
[00:01:08.300 --> 00:01:09.700]  在幼稚園的時候
[00:01:09.700 --> 00:01:10.940]  我記得有一幕
[00:01:10.940 --> 00:01:13.700]  就是那個字很厲害
[00:01:13.700 --> 00:01:17.380]  就考了這個幼稚園的優醫生
[00:01:17.380 --> 00:01:18.780]  站在台上
[00:01:18.780 --> 00:01:19.900]  拿著一張沙
[00:01:19.900 --> 00:01:21.580]  和老師拍了一張照片
[00:01:21.580 --> 00:01:23.140]  那一刻我很開心
[00:01:23.140 --> 00:01:24.780]  我覺得我很厲害
[00:01:24.780 --> 00:01:26.420]  我很圓滿
[00:01:26.420 --> 00:01:28.660]  但當一個人長大了
[00:01:28.660 --> 00:01:29.940]  我們讀完書
[00:01:29.940 --> 00:01:31.620]  去到職場的時候
[00:01:31.620 --> 00:01:33.100]  我們想什麼叫做好
[00:01:33.100 --> 00:01:34.780]  我們又會加了一些東西
[00:01:34.780 --> 00:01:36.540]  我們有一份什麼工作
[00:01:36.540 --> 00:01:39.020]  那份工作有沒有前途
[00:01:39.020 --> 00:01:40.540]  我們在社會裏面
[00:01:40.540 --> 00:01:44.020]  我們能不能夠成為一個具有影響力的人
[00:01:44.020 --> 00:01:45.980]  然後又看看旁邊左右
[00:01:45.980 --> 00:01:48.980]  我的朋友開始結婚了
[00:01:48.980 --> 00:01:50.460]  開始生孩子了
[00:01:50.460 --> 00:01:52.740]  我的家庭生活又怎樣呢
[00:01:52.740 --> 00:01:54.380]  我們又會想這些
[00:01:54.380 --> 00:01:56.660]  到年紀一路一路地長大
[00:01:56.660 --> 00:01:57.940]  去到哥哥姐姐
[00:01:57.940 --> 00:02:00.180]  你知不知道他們每天早上
[00:02:00.180 --> 00:02:03.500]  他們很擔心很掛心的一樣是什麼
[00:02:03.500 --> 00:02:05.260]  就是量血壓
[00:02:05.260 --> 00:02:08.940]  他會看著血壓指數漂亮不漂亮呢
[00:02:08.940 --> 00:02:11.660]  對於一些年長的哥哥姐姐
[00:02:11.660 --> 00:02:13.460]  可能他在心裏面想
[00:02:13.460 --> 00:02:14.740]  什麼叫做好
[00:02:14.740 --> 00:02:17.980]  就是有關身體的狀況
[00:02:17.980 --> 00:02:20.500]  而我們在講9月份
[00:02:20.500 --> 00:02:21.700]  大家記不記得
[00:02:21.700 --> 00:02:25.140]  我們週六崇拜的時間會改
[00:02:25.140 --> 00:02:26.340]  記得吧
[00:02:26.340 --> 00:02:27.460]  禮拜日就不改
[00:02:27.460 --> 00:02:28.860]  禮拜六我們就改
[00:02:28.860 --> 00:02:31.180]  變成三點半和五點半
[00:02:31.180 --> 00:02:33.540]  為什麼要有這個改變
[00:02:33.540 --> 00:02:35.060]  為著的都是希望
[00:02:35.060 --> 00:02:37.660]  我們在整個崇拜的安排裏面
[00:02:37.660 --> 00:02:39.420]  能夠更加好
[00:02:39.420 --> 00:02:41.220]  人一生就在什麼叫做好
[00:02:41.220 --> 00:02:43.300]  什麼叫做圓滿的事情上面
[00:02:43.300 --> 00:02:44.980]  不停地去投資
[00:02:44.980 --> 00:02:46.620]  不停地去改變
[00:02:46.620 --> 00:02:50.340]  希望去到達至一個圓滿的終點站
[00:02:50.340 --> 00:02:52.700]  而今天我和大家所選的經文
[00:02:52.700 --> 00:02:56.420]  在《馬太福音》第十九章十六到二十三節
[00:02:56.420 --> 00:02:58.620]  那裏正正就有一個人
[00:02:58.620 --> 00:03:01.220]  他來到耶穌面前問耶穌
[00:03:01.220 --> 00:03:03.060]  我還缺少什麼
[00:03:03.060 --> 00:03:09.180]  才去到完美的終點站呢
[00:03:09.180 --> 00:03:12.180]  而耶穌對這個少年人
[00:03:12.180 --> 00:03:14.340]  他給了他三個功課
[00:03:14.340 --> 00:03:15.700]  就是如果你要知道
[00:03:15.700 --> 00:03:16.980]  你正在問的問題就是
[00:03:16.980 --> 00:03:18.420]  我還缺少什麼
[00:03:18.420 --> 00:03:21.260]  才能夠成為一個完全的人的時候
[00:03:21.260 --> 00:03:22.820]  這三個功課就是
[00:03:22.820 --> 00:03:23.940]  你要知道
[00:03:23.940 --> 00:03:27.260]  究竟自己正在面對的軟弱是什麼呢
[00:03:27.260 --> 00:03:28.380]  你要學會
[00:03:28.380 --> 00:03:30.620]  哪一個是生命的主
[00:03:30.620 --> 00:03:34.780]  還有你要放下你的自我為中心
